id,FalseSent,OptionA,OptionB,OptionC,label
69,supermarkets rise prices for a year-end clearance,supermarkets want to attract more customers in the year-end,supermarkets sell high-quality commodities,some people prefer expensive commodities,A
70,the farm is destroyed by a tomato,tomatoes are not threatening plants for a farm,the tomato is rotting,the farm is not suitable to grow tomatoes,A
71,he is so famous that nobody has heard of him,famous people don't listen to others,he doesn't look handsome,to be famous is to be known by many people,C
72,i like her songs because she is a good cook,cooks usually sing beautifully,she cooks delicious meals,singers can usually sing better,C
73,there are many trees in the pond,trees don't grow in the pond,trees are not tall enough,trees need a lot of water to grow,A
74,the moon is a planet of the solar system,the moon is the earth's natural satellite,the moon is quite close to the sun,the moon is a sphere,A
75,we stopped at the power plant because we needed gasoline,the power plant runs out of gasoline itself,power plants don't provide gasoline,gasoline is a limited natural resource,B
76,Lily goes to the cinema to listen to a concert,the cinema is next to Lily's house,Lily loves listening to music,a cinema is not equipped for concerts,C
77,centigrade is a measure of acidity,acidity need not to measured,acidity is usually measured by PH value,centigrade is not accurate enough for acidity,B
78,the ancients used a satellite as a guidance,satellites are so expensive that the ancients cannot afford,satellites are contemporary inventions,the ancients did not need guidance,B
79,the fire was caused by a glass of water,water can easily get burnt,water puts out fire instead of causing it,the fire was too big to be put out,B
80,December is the 13th month of a year,there are only 12 months in a year,it is very cold in December,Christmas falls in December,A
81,a prince is a piece used in the game of chess,a prince is not powerful enough to be used in chess,no pieces are named after a prince,a prince should be kept away from playing chess,B
82,maid is an important member of a family,a maid is a woman hired and working for a family,a maid can do housework well,a maid spends most of her time with the family,A
83,he opens the door with a lock,the lock is in a special shape,the lock does not match the door,a lock can only keep the door firmly closed,C
84,a sea is a large body of sweet water,we put too little sugar into the sea,no sea water tastes sweet,sea water is not drinkable,B
85,a rooster can lay eggs,a rooster is too old to lay eggs,male chicken doesn't lay eggs due to its biological structure,a rooster doesn't like to lay eggs,B
86,farmers are growing mushrooms under the sun,fungi prefer darkness and humidity better than sunshine,mushrooms cannot be planted,farmers don't want to harvest mushrooms,A
87,Tom buys his girlfriend a bunch of carnations on Valentine's Day,carnations are mostly used on Mother's Day,carnations are cheaper,Tom's girlfriend likes carnations better,A
88,soup is best eaten with a fork,soup is delicious,a fork is too small for soup,it is impossible to ladle soup with a fork,C
89,there are many fishes in the desert,fishes live in the water rather than sand,a desert is too hot for living creatures,deserts are hard to find,A
90,i fly to Paris to see the Statue of Liberty,the Statue of Liberty stands on an island in New York harbor,the Statue of Liberty was made in France,the Statue of Liberty attracts thousands of visitors every day,A
91,nissan is a foreign plane manufacturer,nissan is an automobile manufacturer and sells cars,nissan doesn't have enough money to make a plane,nissan doesn't know how to sell the plane it makes,A
92,food is stored in the pan,a pan is used for heating not for storage,a pan can't store much food,everyone has a pan in there home,A
93,the image of the cat seems to be reflected many times in the glass,the glass is too thick to reflect lights,there are many cats in the glass,normal glasses cannot reflect lights,C
94,she goes traveling on weekdays,she likes traveling better than work,weekdays are days where people have to work,her boss never gets angry at her absence,B
95,laughter is a sign of sorrow,it is easy for human beings to laugh,laughter makes people sad,people laugh when they are happy,C
96,Mary sits at the closet and begins reading,sitting at the closet is a new way of reading,she feels comfortable sitting at the closet,a closet is used for storing things,C
97,Jim practices running on the bed every morning,Jim cannot get up in the morning,bed is not suitable for running,there are no playgrounds near Jim's house,B
98,he climbs up the mountain with the help of a ribbon,ribbons are colorful and can make people feel pleasant,a ribbon is long enough,a ribbon is not firm enough and can only be used as decorations,C
99,he opens a storybook and begins to cook,he enjoys cooking while reading stories,cooking has nothing to do with stories,a storybook teaches people how to cook,B
100,i put some chili powder to create a sweet flavor,the chili powder is a fake,chili powder tastes spicy rather than sweet,i put chili powder by accident,B
101,Bob looks up a word in a shopping list,words are too expensive to be listed on a shopping list,shopping lists don't tell the meaning of words,Bob doesn't know what to buy,B
102,she begins working for relaxation,she feels relaxed already,she loves working better than anything else,working can't make people feel relaxed,C
103,people usually work on Sundays,Sunday is part of a weekend which is conventionally seen as a holiday,God ceased from all the work he had set himself to do on Sunday,everyone needs a break on Sunday,A
104,Santa Claus pretends to be a parent to give children presents,parents don't have spare money to buy children presents,Santa Claus does not exist in reality,Santa Claus finds it impossible to get in the house from the chimney,B
105,he sells something to eat to the convenient store,the convenient store runs out of food,he can't eat all the food he has before shelf life,convenient store sell things to customers rather than buy from them,C
106,he killed the driver to thank him for a free ride,the driver is not very kind to him,killing people is not the right way to express gratitude,killing people is a way to set them free,B
107,she feels ill and goes to see a teacher,she can learn from a teacher,teachers don't know how to treat illness,she respects her teacher a lot,B
108,i buy a CD to listen to the latest advertisements,a CD is usually made to record songs,advertisements always sounds attractive,advertisements are always recorded on CDs,A
109,it takes me 3 seconds to read the book,there aren't many pages in the book,people can't read a book in 3 seconds yet,i can read very fast,B
110,he is allergic to cats so he keeps a cat as a pet,it takes him a lot of money to buy the cat,cats are hard to get along with,he can't even get close to a cat otherwise he may die,C
111,he runs faster than no one and wins the champion,judges want to encourage him,he tries really hard to win,a champion is usually awarded to the one who runs the fastest,C
112,i wear a belfry to be informed of the time,a belfry is a building and cannot be worn,the belfry cannot inform me of the right time,a belfry is out of date so i no longer like it,A
113,a plane beats its wings and flies off,a plane doesn't have the energy to beat wings while flying,a plane cannot beat its wings,only birds can beat their wings,B
114,Jim invites Amy to dance in a pool,people don't dance in the water,the water is not very deep for people to dance,both Jim and Amy can swim well,A
115,people lived in houses made of wool in the past,wool is too soft to be made into houses,people in the past don't like wool,wool is not widely used as building materials in the past,A
116,it is rainy so they go camping,rainy days are inconvenient for camping,rainy days are usually not very hot,people won't get sunburnt camping in rainy days,A
117,the regular meeting is held at 2 o'clock in the morning,staff stay up late every night,people are usually sleeping at 2 o'clock in the morning,it is more effective to hold meetings in the morning,B
118,"heat the drink with some ice, please",the drink tastes bad after been heated,i don't really want to have the drink,ice has a lower temperature than normal drinks,C
119,i eat apples because of my illness,an apple is not a cure for a disease,an apple is nutritious enough to fight against a disease,eating apples can make me happy,A
120,he catches a subway train in a bus stop,the subway train stops just for him,a subway train doesn't stop at a bus stop,he has a serious carsickness,B
121,Mary asks questions when taking an exam to get a high score,Mary doesn't like taking exams,one can only get scores by answering questions the test paper asks,Mary often gets high scores,B
122,human beings shake tails to express their happiness,human beings don't have tails,human beings know how to control their happiness,shaking tails doesn't mean happy for human beings,A
123,he had his hair cut at the butcher's,a butcher doesn't do hair cuts,he is very familiar with the butcher,a butcher do hair cuts for free,A
124,i drink some glass,glass tastes better than water,human beings cannot drink a glass,i don't drink because of thirst,B
125,Tim and Mary got married on February 31st,Tim and Mary don't want to get married at all,February doesn't have 31 days,February 31st is not a good day for marriage,B
126,she writes diaries in a magazine,she can write down more things in a magazine,magazines are not designed to be written in,magazines are made of papers,B
127,the girl next to Mary in the photo is her nephew,Mary's nephew doesn't like taking photos with her,Mary takes good care of her nephew,a nephew is a male relative,C
128,i spend a dollar to buy a diamond ring,i am not very fond of the ring,a diamond ring is an affordable jewelry for me,a diamond is an expensive jewel worthing far more than a dollar,C
129,Cinderella lives a happy life before she meets the prince,Cinderella is a beautiful and kind girl,her stepmother and stepsisters treat her badly,Cinderella's mother died before she meets the prince,B
130,children take music classes in the gym,a gym is built for P.E. classes,a gym is big enough for all kids to stay in,children like music,A
131,Obama has served as President of the USA for twelve years,serving as President for over eight years is against the US Constitution,Obama was the first African American to be elected to the presidency,Obama is a member of the Democratic Party,A
132,children like flying planes in the spring,children cannot get a license to fly a plane at their age,planes are so expensive that few children can afford,children fly planes more easily in spring,A
133,people must have a driver's license to travel abroad,driver's license carries personal identity,traveling abroad doesn't mean one must know how to drive a car,a car is a mass transportation for traveling,B
134,it is snowy and very hot outside,rain turns into snow only in cold days,people are happy to see snowflakes in hot weathers,snow takes away heat when it melts,A
135,the car stops at the green light,the driver knows nothing about traffic lights at all,you can go when traffic lights are green,the driver doesn't care about breaking traffic rules,B
136,people take off clothes when they feel cold,clothes act as decorations to human beings,clothes are used to keep people warm,clothes don't heat people up in cold weathers,B
137,Trump was Emperor of the USA in 2018,the USA is not a monarchy,Trump lived in the White House in the year of 2018,Trump makes many decisions for the USA,A
138,he puts the radio next to his mouth to hear more clearly,he really suffers from poor hearing,"he wants to speak more clearly, too",people use their ears to hear,C
139,he is honored for vandalizing cultural heritages,he vandalize cultural heritages in a clean and thorough way,vandalizing cultural heritages is against the law,governments don't pay enough attention to cultural heritage,B
140,i buy a toy for my small brother for a shell,shells are no longer used as money,a toy is not too expensive to afford for me,i picked the shell at a beach a long time ago,A
141,they have to live in a mansion because of poverty,a mansion is sometimes very far away from the downtown,people always want to live in large and impressive houses,a mansion is too expensive for the poor to afford,C
142,it is a pity that she only comes the first in the competition,the first is the best position to get,she hasn't try her best to win the competition,judges made a wrong decision at the result,A
143,they get out of an air-raid shelter to avoid bombs,an air-raid shelter reinforces against bombing,there isn't enough fresh air in an air-raid shelter,a bombing doesn't last for a long time,A
144,the Taj Mahal is made of white maples,maple trees can be found near the Taj Mahal,maple trees are good materials for buildings,the Taj Mahal is not a wooden building,C
145,they speak in c++ in order to communicate with each other,c++ is for computer programming rather than interpersonal communications,c++ is too hard for all people to master because of its unique grammatical system,c++ is a universal language for people around the world,A
146,Stephen William Hawking was a great actor,his theory contributed greatly to cosmology,he played a role in the tv series the Big Bang Theory,he was respected and admired by people around the world,A
147,it is really painful for a father to give birth to his baby,fathers cannot pregnant up to now,fathers cannot endure the pain at all,fathers need to have a cesarean section to bear a baby,A
148,they sleep in a hotel while camping in the forest,it is very comfortable to live in a hotel,they don't have enough money to sleep in a hotel,sleeping in a hotel cannot be called as camping,C
149,i water my mp3 player two times a week,two times a week is far beyond enough to water an mp3 player,an mp3 player will be damaged after been watered,my mp3 player wastes too much water,B
150,Mongolia is mass surrounded by water,Mongolia is a landlocked country,Mongolia locates in the northern hemisphere,Mongolia is not a developed country yet,A
151,she wears clothes because of nearsightedness,a nearsighted person cannot see clearly from far away,she likes buying all kinds of clothes,clothes cannot help to correct myopia,C
152,Tim buys a pair of socks to prevent his bike from being stolen,nowadays bikes are not as widely used as they were,his bike is newly bought and very expensive,socks cannot ensure the safety of a bike,C
153,the cook treats his patients carefully,cooks are usually very careful,the cook is very kind to everyone he knows,cook doesn't treat illness,C
154,the Titanic struck a life buoy and sank,the Titanic is not structured sound enough,a life buoy cannot damage the Titanic,there weren't enough lifebuoys on the Titanic,B
155,he paints the ceiling with cola,cola is not thick enough to be used as paints,cola cannot color the ceiling,cola doesn't have a pleasing color,B
156,she writes to her pen pal because they meet each other every day,few people write letters because emails are more convenient,pan pals are friends who write letters to each other,people usually don't write to people they meet frequently,C
157,a lemon tastes sour when it goes bad,bad lemons sell better,not all people are fond of a bad lemon's taste,a fresh lemon also tastes sour,C
158,pumpkins can be made into carriages for people to ride on,Cinderella rides a pumpkin carriage to meet her prince,pumpkins are not big enough in reality,a pumpkin is not a good material because it goes bad easily,B
159,she is cut by a carpet accidentally,a carpet is too soft to even hurt people,she hasn't changed her carpet for a long time,she is not very fond of the carpet,A
160,i use pencils to cut paper cuts,i cannot cut beautiful paper cuts without a pencil,pencils are not sharp enough to cut papers,pencil marks on papers can be erased,B
161,people burnt ice for warmth th the past,ice is nonflammable,ice cannot burn at a temperature to make people feel warm,ice absorbs heat while burning,A
162,Tony gives his girlfriend chocolates to break up,Tony's girlfriend is not so fond of chocolates,breaking up with his girlfriend is not the end of Tony's world,chocolates is more commonly seen as an expression of love,C
163,she brings a scarf because of the rain,a scarf can keep her body warmth,a scarf cannot protect people from the rain,she looks much better while wearing the scarf,B
164,i will pick you up on the CD disk,the CD disk plays beautiful music,CD disks are not a place for persons to stay,i don't know where to find a CD disk at all,B
165,we had lunch together on March 33rd,there aren't 33 days in March,we will have lunch right now,we don't have enough time to have lunch together,A
166,he practices running on noodles every morning,he runs to get some noodles for breakfast,he can run very fast,noodles are not for running,C
167,the dog sits there without even a mew,the dog is too lazy to make a mew sound,mew is a sound a cat makes,the dog forgets how to make a sound,B
168,he walks in from the wall,he doesn't come in by walking,people cannot walk through a wall,he builds a door on the wall temporarily to walk in,B
169,she rides a chair to work,chairs are not a form of transportation,she takes a day off today,her chair is broken and cannot be repaired today,A
170,he writes his homework on the dew,you cannot write on the dew,he hands in the dew on time,teachers don't have homework for him today,A
171,a rabbit likes eating meat,meat is going bad and not suitable for a rabbit to eat anymore,the rabbit has already had enough food,a rabbit is a herbivorous,C
172,the lake will be frozen in summer,there is too little water in the lake in summer,the temperature in summer is above the freezing point,a lake in summer is a great place to pay a visit to,B
173,she washes her computer with warm water,computers break when being washed with water,her computer is too dirty to wash,warm water cannot clean a computer thoroughly,A
174,i cut a piece of cloth with chopsticks,chopsticks have not got cutter edges,the piece of cloth is too sturdy to be cut,chopsticks are very easy to use,A
175,Mary adds some detergent to her bread,Mary enjoys having bread for meals,detergent is not eatable,Mary's bread is too dirty to eat,B
176,i am preparing for the trip yesterday,i have traveled for many times,no one can prepare for yesterday,yesterday was a good day for traveling,B
177,i begin walking as soon as the light turns purple,purple is not very easy to recognize at day,traffic lights don't have the color of purple,traffic lights are broken,B
178,i drink coke with a chopstick,coke tastes not so good with chopsticks,chopsticks are more often used in pairs,chopsticks are not designed for liquid,C
179,the knitting wool enjoys playing cats,the knitting wool is not a living creature,cats are good pets to keep,cats don't know how to tidy knitting wool up after playing,A
180,she takes attractive selfies with her headphone,she is an attractive girl,headphones aren't equipped with cameras,she enjoys listening to music with her headphone,B
181,i buy a boyfriend for my sister,people cannot be purchased,my sister reaches marriageable age yet single,no man on earth is worthy of my sister,A
182,His father got excited because he failed the math exam,Parents will get angry if their son or daughter fails the exam,The math exam was very easy for him,He did very well in the math class,A
183,I go to the museum to get my clothes cleaned,Paintings are of great aesthetic value,Clothes need cleaning once a while,Museums are places for exhibiting famous paintings and precious artifacts,C
184,Bob bought chocolate for his enemy on Valentine's Day,chocolate is a perfect gift on Valentine's Day,people buy gifts for their loved ones instead of hated ones on Valentine's Day,Bob's enemy love chocolate,B
185,French fries are made of oranges,oranges can't be used to make French fries,oranges are very sweet and juicy,the potato is vegetable,A
186,Mars is the most suitable homeland for human beings,"there's no oxygen and liquid water on Mars, which are necessities for human beings",no human being has ever been to Mars,human beings have sent rovers to Mars,A
187,Harry stoops down to throw the basketball into the basket,Harry has to stoop down to reach the basket,the basket is usually higher than a human and stooping down will make Harry lower instead of higher,Harry loves playing basketball with his body stooped down,B
188,I'm thirsty so I drink seawater,a human cannot drink seawater directly,seawater contains salt that is beneficial for thirsty people,seawater will make people more thirsty,A
189,Alice is running on the sea,running near the sea is dangerous,the sea is too deep to run on,a human cannot run on water like sea,C
190,Bob looks delightful because he hurts his fingers,hurting fingers will cause pain instead of delight,Bob looks delightful before he hurts his fingers,delightful people tend to get hurt more often,A
191,Maria coughs when she breathes in fresh air,fresh air usually will not cause coughing,"when mixed with haze, fresh air can cause coughing",breathing in fresh air can cure coughing,A
192,African lions enjoy eating grass,grass contains vitamins beneficial for African lions,African lions live in grasslands,"lions are carnivorous, so they eat meat instead of grass",C
193,I graduated from college at the age of 3,I failed on 3 courses but I still graduated from college,I spent 3 years researching in labs before graduated from college,three-year-olds are too young to go to college,C
194,Bears stay underwater during hibernation,bears drink lots of water before hibernation,bears will drown and die if hibernate underwater,hibernation is necessary for bears because water will freeze in winter,B
195,Alice go to the bathroom for repletion,there's no food in the bathroom,a feeling of repletion make Alice go to the bathroom,Alice has a feeling of repletion before going to the bathroom,A
196,I went underwater and took a deep breath,a human will drown if breathing underwater,taking a deep breath in advance is helpful to stay longer underwater,I was fascinated by the underwater world so I took a deep breath,A
197,Dogs can feed blood to their young ones,young dogs might have the blood type the same as their parents,blood is not a type of food for young dogs,young dogs are so thirsty that they drink blood of their parents,B
198,Frank goes to the bank to save people,"you don't save people in a bank, instead you put money into your bank account",Frank is a doctor working in a hospital near the bank who saved hundreds of people,Frank can get more interests saving people than saving money in the bank,A
199,Jack can read books before learning basic words,human can understand books only after grasping basic words,human can understand books by guessing even without any knowledge of words,human cannot learn basic words before reading books,A
200,Kids fly kites in a windless day,kites need the power of wind to fly,kites will fly steadily without wind,kids can run fast enough to fly kites in a windless day,A
201,People get together to fight on Christmas Eve,Christmas Eve is noisy that some people want to fight,people fight together to celebrate Christmas Eve,Christmas is a peaceful holiday to celebrate,C
202,Jason put a tea bag into his cup to make a cup of coffee,"a tea bag will produce a cup of tea, not a cup of coffee",tea bags are convenient for making cups of tea,a cup of coffee will taste better with a tea bag in it,A
203,Harry feels grieved seeing his old friends,his old friends are grieved to see Harry,meeting with friends usually makes a person happy,Harry is in a state of grief before seeing his friends,B
204,Gloria determines to lose weight so she eats more,eating more will usually lead to putting on weight instead of losing weight,her corpulence is mainly because of junk food instead of eating too much,she determines to eat more pills to lose weight,A
205,"Saying ""Hello"", he walked out of the classroom and went home","""Hello"" is used at the time of greeting instead of leaving","""Hello"" is said by him at the time he walked into his home","""Hello"" is said by him to please his classmates in the classroom",A
206,Danis put his smartphone into the washing machine,Danis wants to control the washing machine with his smartphone,smartphone will get cleaned if washed by a washing machine,smartphone will break if washed by a washing machine,C
207,Billy rides an ant to cross the bridge,an ant is too small for a person to ride,an ant is too slow for a person to ride,an ant cannot be ridden unless trained properly,A
208,Bell takes a raft rushing up the waterfall,the waterfall is too high to rush up with a raft,the raft can go up the waterfall given enough speed,water runs from high to low,C
209,George put a broom in his mouth to brush teeth,a broom cannot be used to brush teeth,a broom is too heavy to be used to brush teeth,George's mouth is too small to hold a broom,A
210,I closed my mouth against the bright light,the light is not bright enough to harm my mouth,I felt thirsty when bright light touched my mouth,bright light is not harmful to mouth,C
211,My heart beats slower when I quicken my pace,moving faster usually results in a faster heartbeat,"moving faster makes me relief, so my heart beats slower",my pace is so quick that my heartbeat can't keep up with it,A
212,Bob plays basketball with his cute dog,Bob's dog is too short to play basketball,Bob's dog is exhausted so he can't play basketball,dogs can't play basketball in most cases,C
213,Fitz uses a pen to open the lock,Fitz breaks the pen while opening the lock,the pen is too short to open the lock,pens are not for opening locks,C
214,Frank had s stomachache so he drank more cold water,cold water usually worsen the stomachache instead of alleviating it,cold water can cool down the stomach to alleviate stomachache,"drinking too much water, regardless of its temperature, usually leads to stomachache",A
215,Eric told a lie and his mother praised him,his mother praised him for being honest about that lie,telling lies is dishonorable,Eric lied about the fact that his mother praised him,B
216,Henry flew to the USA sitting in a car,it's not legal to fly a car to the USA,the fuel of a car is not enough for flying too far,a car cannot fly at present,C
217,Carter opened the window of the airplane to get some fresh air,the window of the airplane is too small to be opened,the window of the airplane is sealed and cannot be opened,the air outside of the window is freezing,B
218,"On my birthday, we lighted up birthday cakes for celebration",birthday cakes are expensive,birthday cakes are foods instead of decorations,birthday cakes are of great importance for my birthday,B
219,the solar system is located in Earth,Earth is the most habitable planet of the solar system,the sun is a planet of the Earth system,Earth is a planet of the solar system,C
220,"When you smile at others, they will cry to you",smiling at others is offensive and can lead to crying,people usually smile back at someone who smiles at them,people usually smile at someone who is crying,B
221,"His favorite color is purple, the same color as the sky",the sky is covered by purple clouds,he had a dream of purple sky,"the sky is blue, not purple",C
222,Jenny ordered a hot dog in a pet store,the hot dog is a kind of food served in a restaurant,the hot dog is sold out in that pet store,Jenny prefers dogs that are cold instead of hot,A
223,I dried my hair before using shampoo,shampoo will resolve if it contacts with my wet hair,"when you use shampoo, you wet your hair first",my hair is too wet to use shampoo,B
224,The man in black cured him with a bullet,a bullet is used to cure someone from death,a bullet is used to shoot someone to death,he traded the cure with the man for a bullet,B
225,She boiled the egg and the egg turned into liquid,the temperature of the boiling water is too high,the egg will melt after boiled,the egg will solidify after boiled,C
226,Elisa was terrified bitten by a book,the snake might be poisonous while the book might not,a book cannot bite,the book is about a terrifying story,B
227,"In the dark, I turn off the light to read a book",the book is about turning off the light in the dark,the light is so bright that I cannot see the words in the book clearly,it makes reading much harder to turn off the light in the dark,C
228,Atlantic is the biggest continent in the world,Atlantic is not big enough,Atlantic is an ocean instead of a continent,Asia is a continent instead of an ocean,B
229,"The cat is sitting on the blanket, because she is warm",a blanket is not as warm as a cat,a cat is warm has nothing to do with whether she sits on the blanket,"cats cannot sit on blankets, because it is poisonous",B
