id,sent0,sent1,label
6521,Joan soaked the tea in water.,Joan soaked the tea in oil.,1
8618,He unlocked the door with his port key,He unlocked the door with his car key,1
9233,I write with a pencil,I write with a comb,1
5090,Not a soup was heard.,Not a sound was heard.,0
8999,the waiter gave him a menu to order food,the waiter gave him a bill to order food,1
4729,I was early for the office because of the traffic jam,I was late for office because of the traffic jam,0
7895,He often smiles to others and everyone thinks he is fierce.,"He often stares at others, and everyone thinks he is fierce.",0
735,He put worms on his menu.,He put spice on his food.,0
342,A passport is necessary to travel from one country to another.,A passport is necessary to travel from one restaurant to another.,1
9743,the plane landed smoothly in the parking lot,the plane landed smoothly at the airport,0
8126,She uses the trash bin to cook,She uses the pot to cook,0
5022,They built a monument for all the dead heroes during the warfare,They built a cinema for all the dead heroes during the warfare,1
9471,he is a nice boy because he yells at everyone,he is a nice boy because he smiles to everyone,0
1997,The airport went to her.,She went to the airport.,0
9991,She decided to eat more healthy foods like vegetables,She decided to eat more healthy foods like hamburgers,1
5493,people can overcome disasters with technology,people can overcome disasters with cola,1
2612,He turned the videogame a car,He turned the videogame on,0
5641,"If you don't eat anything all day, that is called eating fast.","If you don't eat anything all day, that is called ""fasting.""",0
9464,the drink is too iced because I dropped many ice cubes in,the drink is too iced so I dropped many ice cubes in,1
2044,The man used toothpaste to paint his house.,The man used paint to paint his house.,0
5719,the people who have mental issues need someone to talk to,the people who have mental issues need someone to fight with,1
2203,He drives a horse.,He drives a car.,0
2705,He typed his body into the computer,He typed his essay into the computer,0
4414,Fish can swim.,Birds can swim.,1
2519,He sand with his voice.,He sang with his table.,1
6878,People sleep in bed.,People sleep on air conditioner.,1
6111,rats are timid,rats are fearless,1
969,Most cities have a football team.,Some cities have a football team.,0
6903,Build a house out of water.,Build a house out of cement.,0
4700,The prisoner is set free after three years in prison,The prisoner is set free after executing his death penalty,1
2762,I put water on my burger,I put ketchup on my burger,0
5617,The ball had a ball at the ball.,Belle had a ball at the ball.,0
1082,The boy went to school to learn from a teacher.,The boy went to a restaurant to learn from a teacher.,1
6678,Teachers should select class representatives.,Students should select class representatives,1
2738,MY SISTER EATS A  PIECE OF WOOD AFTER BREAKFAST EVERYDAY,MY SISTER EATS AN APPLE AFTER BREAKFAST EVERYDAY,0
2811,Students go to police station everyday,Students go to school everyday,0
4327,Cigarettes do harm to health.,Cigarettes are good for health.,1
754,He won the whole universe.,He just won 100 dollars.,0
6676,Lions make shoes,Workers make shoes,0
3830,People hug with their arms.,People hug with their legs.,1
1522,I live inside a cactus.,I live in a house.,0
466,He pluck the flower from the stone,He pluck the flower from the plant,0
6088,he writes his report with his pen,he writes his report with his cup,1
3405,He got into a tree,He got into his car,0
1210,He used bells to make silent,He used bells to make noise,0
5361,he raised his hand as if to take off his hat,he raised his hand as if to take off his car,1
503,He wore helmet to protect his head,He wore cooker to protect his head,1
3963,A person wants enough mummy to take care of his family.,A person wants enough money to take care of his family.,0
8540,All Koreans like pickles.,Koreans like pickles.,0
6456,A sphere has six faces.,A cube has six faces.,0
7789,"During the race, Mr. Taylor chats with the driver using a loudspeaker.","During the race, Mr. Taylor talks to the driver using a headset.",0
4938,Too much exercise can lead to health,Too much exercise can lead to injury,0
4222,The shape of the earth is square,The shape of the earth is oval,0
1525,Hannah was late to school because she missed the helicopter,Hannah was late to school because she missed the bus.,0
6533,Birds like to eat bones.,Dogs like to eat bones.,0
4043,The patient is recovering from illness in a market.,The patient is recovering from illness in the hospital.,0
1077,HE AND SHE GOES FOR  DINNER TO THE LIBRARY.,HE AND SHE GOES FOR DINNER  TO THE HOTEL.,0
5199,computer makes it possible for people from different parts of the world to talk to face,cake makes it possible for people from different parts of the world to talk to face,1
3840,You can read in a library,You can sing in a library,1
6756,Table emit light.,Fireflies emit light.,0
5674,"My baby was allergic to my cat, so I decided to give the baby away.","My baby was allergic to my cat, so I decided to give the cat away.",0
5857,most people become more energetic after excessive bleeding,most people become more tired after excessive bleeding,0
1236,A computer is a natural item,A computer is an electronic item,0
4209,susan uses his mobilephone to call john.,susan uses his bike to call john.,1
314,he cut the cheese with knife,he cut the cheese with axe,1
9939,she prepares a custom-designed evening dress for the ceremony,she prepares a custom-designed nightgown for the ceremony,1
497,A man walked into the bank and made a deposit,A man went to the pool and deposited cash,1
1153,All state flowers are the scarlet carnation.,The New Jersey state flower is the scarlet carnation.,0
2387,Eating too much lettuce is unhealthy,Eating too much fast food is unhealthy.,0
7613,I went to donate blood yesterday.,I went to donate fingers yesterday.,1
9607,I need inspirations to clean bowls,I need inspirations to design bowls,0
2431,Fish can be found in rivers.,Rabbits can be found in rivers.,1
930,He ate ice cream for dessert.,He ate nails for dessert.,1
5530,increasing pollution threatens to end human life on our moon,increasing pollution threatens to end human life on our planet,0
7470,He often plays football on the football field,He often plays football on the basketball court,1
8684,The duty of students is to teach and educate people.,The duty of students is to study hard.,0
2958,She would like to get a punishment for her effort.,She would like to get a bonus for her effort.,0
1060,I rode a beaver to work.,I rode the bus to work.,0
6256,dad drives his own car,dad can drive two cars at the same time,1
8167,Squirrels have very big tails,Squirrels have very small tails,1
6532,People brush their teeth with a comb every day.,People brush their teeth with toothbrushes every day.,0
1760,He types using a piano.,He types using a keyboard.,0
1149,I enjoy teaching my 8 year old son to ride a motor cycle,I enjoy teaching my 7 year old son to ride a bicycle,0
2540,My brother  eats an fruit after a dinner every day,My brother eats an plastic after a dinner every day,1
8347,Ships need to travel on land.,Ships need to sail on the sea.,0
7784,Mike is such a hypocritical person that he's well-liked among friends.,Mike is such a genuine person that he's well-liked among friends.,0
1667,Fiber helps people poop.,A walrus helps people poop.,1
354,He stored rice in a pen drive,He stored music files in a pen drive,0
4384,I can talk to others without opening my mouth.,I can listen to others without opening my mouth.,0
8214,My mom bought the sofa at the department store,My mom bought the sofa at the electric power company,1
1571,he grew vegetable in the paper,he grew vegetable in the pot,0
9191,the driver rotated the steering wheel and the car halted,the driver rotated the steering wheel and the car turned,0
6206,a balloon can illuminate the entire room,a candle can illuminate the entire room,0
3932,Dropping an object into water causes the water to splash.,Dropping an object into ice causes the ice to splash.,1
6194,humans are the most intelligent animals on earth,man does not belong to animals,1
7614,I often go to the library to borrow money.,I often go to the library to borrow books.,0
9696,plastic surgery is for health,plastic surgery is for beauty,0
1384,He put the letter in the mailbox,He put the child in the mailbox,1
329,He puts the lotion in the basket,He rubs the lotion on the basket,1
7280,usually there are many buildings in a forest,usually there are many trees in a forest,0
8981,he bought his new coat at the clothing store,he bought his new coat at the grocery store,1
849,pour milk in the tea cup,pour kerosene in the tea cup,1
8549,We can spit everywhere.,We can't spit everywhere.,0
9701,garbage recycling is a green lifestyle,burying garbage is a green lifestyle,1
6069,a car can feel pain,a dog can feel pain,0
6078,there are many kind of animals in the zoo,there are many kind of books in the zoo,1
3798,Lily brought her umbrella with her today in case of a heavy rain,Lily brought her lotion with her today in case of a heavy rain,1
6965,We drink water with the desk,We drink water with a cup,0
3297,Serial killers are safe.,Serial killers are dangerous.,0
1723,he saw snake and took pictures with his comb,he saw snake and took pictures with his camera,0
9703,starving people care little about food quality,starving people care little about food sources,1
3283,He used a banana to call his sister.,He used a phone to call his sister.,0
2707,He ironed his food to warm it up.,He microwaved his food to warm it up.,0
4732,People will be happy if you greet them when you see them,People will be happy if you ignore them when you see them,1
8899,Mary answers questions when taking an exam to get a high score,Mary asks questions when taking an exam to get a high score,1
2005,A logger is a person who plant trees in order that we have wooden objects we need,A logger is a person who cuts down trees in order that we have wooden objects we need,0
2348,Fathers must leave their children for them to develop normally.,Fathers must nurture their children for them to develop normally.,0
8592,It rained last night and the road was wet,It rained last night and the road was dry,1
6197,She put some stones in the cup,She put some tea in the cup,0
332,He read a wardrobe in rhe table,He read a book in the table,0
2077,The sun rises in the East,The sun rises in the West,1
6441,He has some stones for breakfast every day.,He has some bread for breakfast every day.,0
2863,Johny eats dinner out of a bottle,Johny eats dinner out of a plate,0
7153,I usually have lunch with a comb.,I usually have lunch with chopsticks.,0
7634,The official was accused of corruption.,The official was accused of integrity.,1
8952,i cut a piece of cloth with scissors,i cut a piece of cloth with chopsticks,1
7573,He puts on a helmet to listen to music,He puts on a pair of headphones to listen to music,0
6090,octopus has many tentacles,octopus has many brains,1
6422,Mosquito coil can kill mosquitoes,Mosquito coil can kill spiders,1
1681,he put honey in his car,he put gas in his car,0
8985,he received many gifts at his birthday party,he received many complaints at his birthday party,1
7619,I use a comb to start the car,I use the key to start the car.,0
2296,She brought a new cat for her fishtank,She brought a new fish for her fishtank,0
1951,A house has arms.,A house has windows.,0
9409,a thousand people are going to listen to his speech today,a thousand microphones are going to listen to his speech today,1
2011,You would eat computers for dessert.,You would eat ice cream for dessert.,0
7386,John is using a spoon to eat his soup,John is using a knife to eat his soup,1
2564,The man waited for an airplane at the bus stop.,The man waited for the bus at the bus stop.,0
7917,He took a long bath in the tub after a day's work.,He took a long bath in the pot after a day's work.,1
3643,She gave the plant oil.,She gave the plant water.,0
9396,I drove from China to Russia,I drove from China to the North Pole,1
9660,I burned myself accidentally when I was cooking,I burned myself accidentally when I was taking a shower,1
3805,You are likely to find a pair of pants in a closet,You are likely to find a pair of pants in a closet strongbox,1
496,The chicken laid an egg,The chicken laid a dog,1
1084,He floated a green fence to space.,He floated a red balloon to space.,0
1669,the music hear me,I hear the music,0
8156,A magnifying glass magnifies objects insight,A magnifying glass zooms out objects insight,1
9153,sally hatched some eggs for the Christmas eggnog,sally cracked some eggs for the Christmas eggnog,0
8016,Oranges live in the south,Oranges live in the north,1
9672,we can't breathe without the lungs,we can't breathe without the noses,1
7182,too much exercise can cause fatigue,too much exercise can cause sadness,1
1308,He made an apple pie,He made an apple of pies,1
7037,The human body is very cold.,The human body is very warm.,0
7787,Tom is praised for his repeated absence from school.,Tom is criticized for his repeated absence from school.,0
9221,the gardener put seeds in the soil to make his plants flourish,the gardener put fertilizer in the soil to make his plants flourish,0
8721,Different races have different skin color,Different races have the same skin color,1
4218,Punching someone is for hurt someone.,Punching someone is for help someone.,1
385,He took his animal to a painter for treatment,He took his animal to a vet for treatment,0
7175,There will be many ponds in the jungle.,There will be many ponds in the desert.,1
4123,Wedding cards are unexpensively finished,Wedding cards are expensively finished,0
5465,the students began to get in rice as soon as they got in the playground,the students began to get in rice as soon as they got in the field,0
4675,"""My brother was killed in the car crash"", he said","""I was killed in the car crash"", he said",1
1191,She went to the store to buy milk.,She went to the bank to buy milk.,1
6854,Bob put the knife in the bag.,Bob packed the rice in a bag.,0
7525,The fish can live without air,The fish can not live without air,0
696,Susy cleaned her home with pork grease,Susy cleaned her home with bleach,0
2691,High school can be done after completing middle school.,high school  is done in the hotel.,1
2731,She smelled the moon.,She smelled the cheese.,0
9766,we are vaccinated for the cure of the disease,we are vaccinated for disease prevention,0
1011,I washed off the stain on my face with clean oil.,I washed off the stain on my face with clean water.,0
2308,He ran over a extinct animal,He ran over a turkey,0
7057,Mineral water contains a lot of salt.,Seawater contains a lot of salt.,0
8868,i fly to New York to see the Statue of Liberty,i fly to Paris to see the Statue of Liberty,1
1603,he played football with his bike,He played football with his friend,0
246,He took his dog to the veterinary to take his vaccines,He took his dog to the gym to take his vaccines,1
6569,The stewardess works on the plane.,The stewardess works on the spaceship.,1
3058,He liked to watch television with his mom,He liked to watch television with his giraffe,1
7162,Cats swim fast in the water.,Sharks swim very fast in the water.,0
2092,Some sons are older than their biological fathers.,All fathers are older than their biological sons.,0
3003,An airplane can cross the ocean.,A human can cross the ocean,1
4255,The baby held grandma.,Grandma held the baby.,0
2272,She also cooked cow legs for the entree.,She cooked frog legs for the appetizer.,0
6888,Tony goes to school by spaceship.,Tony goes to school by bike.,0
3545,He petted a fridge.,He petted a cat.,0
4178,Difference between a strip mall and a patio: a patio is public,Difference between a strip mall and a patio: a patio is private,0
4999,The last movie of the game is awesome,The last chapter of the game is awesome,0
9952,the accident happened because Jack drank water before driving,the accident happened because Jack drank alcohol before driving,0
1488,Wheels are square.,Wheels are round.,0
9425,I bought a ticket and act in a movie at the cinema,I bought a ticket and watch a movie at the cinema,0
6316,Mother uses a baking machine to melt iron,Mother uses a baking machine to make a cake,0
4836,There is a person hiding under the bed,There is an elephant hiding under the bed,1
2206,The cat ran into the wall,The donut ran into the wall,1
4540,We felt very full after we left the gym.,We felt very full after we left the restaurant.,0
7523,He was in such a hurry that he jumped off the tall building,He was in such a hurry that he ran downstairs,0
7443,The wood sank to the bottom,The wood floats on the water,0
9441,"because he is rich, he lives a frugal life","although he is rich, he lives a frugal life",0
3227,The child wanted to have some ice cream on a hot day outside.,The child wanted to have some hot cocoa on a hot day outside.,1
9380,"when you are drowning, a computer can save your life","when you are drowning, a lifeguard can save your life",0
7032,Pens are made of wood.,Pencils are made of wood.,0
8990,he printed out the form and crossed out the blanks,he printed out the form and filled in the blanks,0
666,There was a mammoth in the zoo.,There was an elephant in the zoo.,0
9324,People usually travel to the other side of the earth on foot,People usually travel to the other side of the earth by plane,0
484,She can see a ship in the sea,She can see a ship in the pond,1
2225,I baked an apple pie for dessert.,I baked a roast beef for dessert.,1
5020,The driver stored all the luggage in the trunk of the car,The driver stored all the luggage in the tyre of the car,1
3368,A circle is a square,A circle is a shape,0
5250,we used the branch of an old tree as a seat,we used the branch of an old gun as a seat,1
2568,The vegan ate 1kg of salad,Veganbo ate a plate of pork,1
5075,The spirit is not suitable for kids since it contains too much alcohol,The spirit is not suitable for kids since it contains too much water,1
8608,"Grandma has no teeth, so she often eats nuts","Grandma has no teeth, so she can't eat nuts",0
7603,An iron bar can ignite a big forest fire.,A lit cigarette can ignite a big forest fire.,0
1796,He put dirty dishes in a dishwasher,He put clothes in the dishwasher,1
627,There was a house made of bricks.,There was a house made of paper.,1
3148,He drank a glass of water.,He drank a glass of gasoline.,1
8904,she writes diaries in a notebook,she writes diaries in a magazine,1
32,He planted cucumber seeds in the couch.,He planted cucumber seeds in the garden.,0
9914,the administrator cleared her throat because the meeting was commenced,the administrator cleared her throat because the meeting was postponed,1
7030,Proper exercise is good for health,Excessive exercise is good for health.,1
9200,bob said my breath smelled of garlic so I brushed my teeth,bob said my breath smelled of garlic so I wiped my mouth,1
5886,there are lots of mountains on the continent,there are lots of mountains in the ocean,1
6443,She often rides a bird to school.,She often rides a bike to school.,0
229,The eagle flies deep in the ocean,The eagle flew high in the sky,0
2639,He checked time in his mobile phone,he checked time in his shoes,1
184,He rode his car across the ocean,He rode his car across the highway,0
7334,an ant has six legs,a spider has six legs,1
2328,he buys a house to live with his family,he buys a table to live with his family,1
6766,Universe Contains Air,Earth contains air.,0
6821,Sam lives in space.,Tom lives in a house.,0
6537,The courier delivered the goods to his home.,The courier delivered the courier to his home.,0
5579,Use a blade to shave,Use an eraser to shave,1
5879,there are lots of pens in a book,there are lots of words in a book,0
7885,The film star was arrested because of taking cold medicine.,The film star was arrested because of taking psychedelic drugs.,0
4966,I saw a tiger in the zoo yesterday,I saw a tiger in the sky yesterday,1
3536,Coffee is served hot,Soda is served hot,1
8473,People need to walk standing up.,People need to sit and walk.,1
6027,elephants like eating plants,elephants like eating meat,1
7344,you must stop when there is a stop sign,you can go when there is a stop sign,1
5219,"if you swim in the river, you know that the water is salty","if you swim in the sea, you know that the water is salty",0
9765,my boss checks read messages carefully every day,my boss checks unread emails carefully every day,0
9368,a first class airline seat is for rich people,a first class airline seat is for fat people,1
1354,men don't have hair,Women have long hair.,0
5539,seeing the monsters reminded me of my hometown,seeing the rice noodles reminded me of my hometown,0
4304,a car is opaque,A car is lucent,1
7514,My father praised me for getting good grades,My father praised me for indulging in games,1
508,He wore glasses for eye,He wore glasses for finger,1
9702,thanks to the seat belt I survived in the car accident,thanks to the leather belt I survived in the car accident,1
2847,Light is an indispensable factor for photosynthesis to be performed.,Happiness is an indispensable factor for photosynthesis to be performed.,1
2240,Something you will find on a chess board is a queen,Something you will find on a chess board is a president,1
1565,Mary ate a rock.,Mary ate an orange.,0
9895,he found the tv show boring so he recorded it,he found the tv show boring so he turned it off,0
2628,Polar bears are rare,Polar bears are fake,1
7239,There was a theft here so I called the travel agency,There was a theft here so I called the police,0
9004,DVD can be used to store information,DVD can be used to search for information,1
8448,Family environment is very important for children.,Family environment is not important for children.,1
3779,The Pope is the leader of the catholic religion,The Buddha is the leader of the catholic religion,1
94,he shaved his teeth,he shaved his beard,0
3578,The child cried when she lost the race.,The rock cried when she lost the race,1
7145,There will be no breathing after death.,There will be breathing after death.,1
6454,Flour supplements calcium in human body.,Milk powder supplements calcium in human body.,0
9960,she cleans her teeth with toothpaste,she cleans her teeth with shampoo,1
8581,"He had spent all his money, so there was no money in wallet","He had spent all his money, so there was still a lot of money in wallet",1
8106,Earthworms have no sex,Cats have no sex,1
5016,The ship harvested lots of fishes from the mountains,The ship harvested lots of fishes from the ocean,0
3704,The enemy shares your joys and sorrows,The friend shares your joys and sorrows,0
9115,Ariel wanted to surprise Beth by buying her a puppy,Ariel wanted to surprise Beth by calling her a puppy,1
5201,"Because of the heavy rain, there are traffic jams everywhere","Because of the heavy rain, there are traffic water everywhere",1
2050,He drove his sock.,He drove his car.,0
7304,I want to go to the South Pole to see penguins,I want to go to the North Pole to see penguins,1
8163,The body can only sweat through the tongue,The body can sweat through the skin,0
4898,the sun will rise up from the west,the sun will rise up from the east,0
3108,She spilled the car on the floor.,She spilled the soy sauce on the floor.,0
4126,If you want to chat with friends then you should get onto the computer,If you want to chat with friends then you should get onto the TV,1
1960,THe sun makes you freeze,The sun makes you warm,0
2037,A man had a burrito for breakfast.,A man had a building for breakfast.,1
6713,He uses a basin to hold a whale.,He uses a basin to load his clothes.,0
1078,Fishes can only live in water.,Fishes can only live on land.,1
4996,The pianist earned face palm in the hall,The pianist earned applause in the hall,0
7482,He buys some chips in McDonald's,He buys some fresh seafood in McDonald's,1
1682,Cristobal wants me to drink some things down for him,Cristobal wants me to write some things down for him.,0
2475,You should put your dirty clothes in the washing machine.,You should put your dirty clothes in the fireplace.,1
8949,a rabbit likes eating carrots,a rabbit likes eating meat,1
5374,plants cannot grow without water,plants cannot grow without oil,1
9016,he ate some sleeping pills in order not to fall asleep,he ate some coffee beans in order not to fall asleep,0
1330,It is helpful to carry an umbrella when it is a rainy day.,It is helpful to close an umbrella when it is a rainy day.,1
4532,We hold a birthday party for someone's birthday.,We hold a wedding party for someone's birthday.,1
3280,"To play football, you need pigs, grass, paint, and plastic.","To play football, you need a ball, cleats, a field, and pads.",0
1237,Ants are hard-working insects,Elephants are hard-working insects,1
2411,He lives in the fridge,He lives in an apartment,0
2621,If you want to buy a used car you should not check the parts,If you want to buy a used car you should check the parts,0
7569,People sleep under the bed,People sleep on the bed,0
8982,the traffic light turned green from red,the traffic light turned white from red,1
6011,he worked out the problem and went to ask his classmates,he couldn't do the problem and went to consult his classmates,0
652,SHE LOVES TO EAT A BOAT.,SHE LOVES TO EAT CRABS.,0
2682,he wrote something on the plate with his pen,he wrote something on the note with his pen,0
8290,Cold is a curable disease.,Cold is an incurable disease.,1
2692,At the driving range you hit golf balls.,At the driving range you hit hockey pucks.,1
2007,He put his backpack in the closet.,He put his closet in the backpack.,1
3041,A parent can teach that praying to god is good,A parent can teach the child that praying to god is bad,1
5721,people use blotter to absorb extra ink from a fountain pen,people use clothes to absorb extra ink from a fountain pen,1
2539,John likes to eat worms for breakfast.,John likes to eat cereal for breakfast.,0
4620,The thing you need to do before you go on holiday is sing,Something you need to do before you go on a vacation is pack,0
5611,Don't put diesel fuel into a diesel engine.,Don't put gasoline fuel into a diesel engine.,0
7555,I am on the plane,I an on the wings of the plane,1
3683,They're cutting down trains.,They're cutting down trees.,0
4958,All leaves are not necessarily green,All the leaves are green,1
2205,He threw his house into the trash bin,He threw his food waste into the trash,0
3684,Something that might happen when you go to the hairdresser is getting your hair washed and dried,Something that might happen when you go to the hairdresser is getting your feet washed and dried,1
1725,she will be going to the movie hall to return the books.,she will be going to the library to return the books.,0
1020,People can only learn a language when they are young.,People learn languages when they are young.,0
4840,"If you don't know how to solve the problem, just answer it","If you don't know how to solve the problem, just skip it",0
830,She gets scared by watching happy movies.,She Gets scared by watching horror movies.,0
2250,People eat coal,People eat chocolate,0
4225,a viola is for eating,a viola is for playing,0
9276,I like to fail,I like to win,0
6152,she loses weight by overeating,she loses weight by doing exercises,0
8237,You should go to school late,You should go to school early,0
3903,Jeff stole a bar.,Jeff stole a candy bar.,0
8089,He used to drink diesel every morning,He used to drink coffee every morning,0
51,Mary took her dog for a walk,Mary took her moth for a walk,1
6677,He eats with chopsticks,Crocodiles eat with chopsticks,1
9363,microphone is often a remarkable character of the speaker,confidence is often a remarkable character of the speaker,0
2304,Books can read people.,People can read books.,0
4720,He turned on the radio before he is going to make an U turn,He turned on the indicate before he is going to make an U turn,0
305,The rain made my t-shirt wet.,The sun made my t-shirt wet.,1
8837,we took photos to commemorate important days,we took television sets to commemorate important days,1
1989,Computers use a mouse and keyboard to work.,Computers use a dog and cheese to work.,1
4953,Machines will go wrong,Machines never go wrong,1
5574,She loves to watch movies at the local laundromat.,She loves to watch movies at the local theater.,0
7638,This car was so slow that it vanished from my sight within seconds.,This car was so fast that it vanished from my sight within seconds.,0
3412,He built a house with the help of wood,He built a house with the help of water,1
1055,He cut the grass with a pair of scissors.,He cut the grass with a riding lawn mower.,0
5788,a boy wears high-heeled shoes,a girl wears high-heeled shoes,0
8800,my family used to watch radio together after dinner,my family used to watch TV together after dinner,0
1575,Eggs come from chickens,Eggs come from mammals,1
9302,males are those who get pregnant and give birth to the next generation,females are those who get pregnant and give birth to the next generation,0
6801,Lion is a primate,Man is a primate,0
9032,jim wrote a message with a finger on a piece of paper,jim wrote a message with a pencil on a piece of paper,0
6219,the days are longer in summer than winter,the days are longer in winter than summer,1
5504,our proposals were rejected regardless of their merits,our proposals were rejected regardless of their tastes,1
7656,The operation of the computer needs water.,The operation of the computer needs electricity.,0
6884,The teacher is lecturing in the classroom.,The teacher is lecturing at the cinema.,1
8213,We collected shells on the lawn,We collected shells on the beach,0
8246,Pedestrians should abide by traffic rules,Pedestrians should not obey traffic regulations,1
6371,Grandpa caught a blue whale,Grandpa caught a big fish,0
2915,The doctor rushed to the hospital to see his patient.,The doctor rushed to the hospital to see a movie.,1
1995,He flew a car.,He flew the airplane.,0
8823,teachers teach sports with a globe,teachers teach geography with a globe,0
3580,River is flowing still while there is no water.,River is flowing down the narrow path.,0
7127,I like to use my shoes to talk to my friends in the distance.,I like to use my mobile phone to talk to my friends in the distance.,0
1668,the cat wore a monocle,cats have furry bellies,0
6221,he put his clothes in washing machine to clean,he put all plates in washing machine to clean,1
7371,There is a turtle living in my fish tank,There is a shark living in my fish tank,1
1227,He lit the water.,He lit the lamp.,0
7906,The clusters of rubbish in the garden look gorgeous.,The clusters of flowers in the garden look gorgeous.,0
2164,He parked the car in the garage.,He parked a diesel in the garage.,1
3833,Before babies are born they breath amniotic fluid,After babies are born they breath amniotic fluid,1
4462,A landlord can raise the rent.,A renter can raise the rent.,1
9902,miley scrubbed the stain on the floor and she got dirt on the floor,miley scrubbed the stain on the floor and she got rid of the stain,0
3710,RMB is made of iron,RMB is made of paper,0
7148,I like to go for a walk in the park.,I like to go for a walk on the sea.,1
3648,The red rose grew in the garden.,The red rose grew on the moon.,1
6041,green plants produce water,green plants produce oxygen,0
3663,He put a child in the car seat,He put pudding in the car seat,1
4751,The crab is served with ginger vinegar,The crab is served with chocolate sauce,1
5347,I feel sick. can I have some poison?,I feel sick. can I have some medicine?,0
9003,he used chopsticks to eat soup,he used spoons to eat soup,0
5533,students should be exposed to video games.,students should be exposed to artistic activities.,0
8325,Minors are not allowed to buy cigarettes,Minors can buy cigarettes,1
4227,It's cold since it's snowing.,It's hot since it's snowing.,1
7892,"The hotel has exclusive access to the beach, and everyone can walk from here.","The hotel has exclusive access to the beach, and only its customers can walk from here.",0
4667,The waitress served him coffee when he was in the airplane,The waitress served him coffee when he was in the metro,1
3583,"The tea was too astringent, and needed to cool down","The tea was too hot, and needed to cool down",0
49,We use a clock to know the time,We use book to know the time,1
6554,Flower tea is fermented tea.,Black tea is fermented tea.,0
9156,jones lost some weight and his clothes fit loosely,jones gained some weight and his clothes fit loosely,1
7748,Coffee helps people relieve fatigue because it contains caffeine.,Coffee helps people relieve fatigue because it contains sugar.,1
1013,The Earth is a planet,The flower is a planet,1
6564,Plastic bottles can hold boiling water.,Glass bottles can hold boiling water.,0
3401,Horses can run fast.,Turtles can run fast.,1
6703,moon revolves around the sun,moon revolves around the earth,0
9573,my mother found that she was pregnant yesterday,my father found that he was pregnant yesterday,1
8535,We can smoke in public.,We can't smoke in public.,0
125,He took the curb to the trash.,He took the trash out to the curb.,0
8966,Alice is running on the sea,Alice is running on a playground,0
280,He put frozen turkey in the freezer.,He put a cat in the freezer.,1
8244,Don't take other people's things without permission,You can take other people's things without permission,1
8526,They went camping and lived in tents.,They went camping and lived in five-star hotels.,1
5994,rainbow usually appears after rain,rainbow usually appears after sand storm,1
2979,Most dogs have two eyes.,Most dogs have three eyes.,1
1466,Custodians clean buildings at night,Custodians design buildings at night,1
2474,I am inside my house,My house is inside of me,1
3755,We can't know a book if we don't read it.,We can know a book by reading it.,0
5214,he goes to a restaurant and he wants to have some eggs,he goes to a toilet and he wants to have some eggs,1
9432,I paid to grow longer hair,I wait to grow longer hair,0
7082,The dog likes wagging its tail.,The dog likes to do his homework.,1
1033,He went to the hospital to withdraw money.,He went to the bank to withdraw money.,0
5096,he covered himself with a quilt.,he covered himself with a lion.,1
8408,People can drive on the road without a license.,People can't drive on the road without a license.,0
8736,People should read selectively.,People don't need to read selectively.,1
6752,He's operating with a scalpel.,He's operating with a  toothpicks.,1
