id,FalseSent,ref1,ref2,ref3
57,Baby is taking dictionary,It is too heavy,A baby doesn't read so wouldn't take a dictionary,Dictionaries are heavy books that a baby cannot lift or take.
58,the school was open for summer,summertime is typically vacation time for school,Schools are closed in the summer for break.,In most countries schools is out for summer.
59,The chocolate cried,Chocolate is a melting solid therefore cannot cry,chocolate doesn't cry,"Chocolate is an inanimate, non human thing and cannot cry."
60,There are barbecues in the middle of a television program,barbecues are a physical object not like commercials,Barbecues cannot be placed in a tv show.,"barbecues are in gardens or yards, not in the middle of television programs"
61,He was tired and so he went to get into his car.,One should not drive when one is tired.,A car is not a place to sleep.,If you are tired you want to sleep and people sleep in beds
62,You never puke after getting drunk,Too much alcohol in our organism makes us puke,Alcohol when consumed in high amounts can cause nausea and for many people this inducing vomiting.,Drinking alcohol can make people puke.
63,You can use a jellyfish to hold checks.,A jellyfish is a sea creature not intended to hold anything.,Jellyfish live in the sea and the water would ruin the checks.,jellyfish are too jelly to hold things
64,Lawyers are people who play characters in television or theatre,lawyers are people who provide legal aid,Real lawyers do not play characters on TV or theatre,Lawyers defend or prosecute people charge with crimes.
65,A giraffe drove a car,A giraffe is too big to fit into a car,Giraffes cannot drive or even fit inside a car.,A giraffe would not fit inside a car.
66,A small dog is called a kitten,a kitten is a small cat,kitten is a small of cat,A kitten is a small cat.
67,The parrot went to work,Parrots do not have jobs,Parrots are animals and don't have jobs.,A parrot doesn't work
68,My daughter always takes bath in a kitchen sink and avoids bath tub,Kitchen sink is not big enough to take bath in it,The kitchen sink is smaller and harder to get into than the bathtub.,My daughter is too big to fit in the sink
69,He killed him with a programming language,Programming language is not a weapon,A person cannot kill someone with a programming language,Programming language lives in a virtual world and not in the physical world in a form that could kills someone
70,The cinema shared popcorn with them,You can't share food with an establishment,The cinema is not a person.,A cinema is not capable of sharing.
71,Rotten food smells nice.,Rotten food is decomposing and producing toxic smelly gasses.,rotten food smells terrible,Rotten food isn't fresh but gone off so it can't smell nice.
72,An actor wear a toaster.,Toasters are not clothing,A toaster in an electrical product and not a outfit.,Toaster is a electrical device it could not be wear.
73,The man slept on the volcano.,Beds are generally comfortable while volcanoes cause destruction.,Volcanos are very hot and would kill anyone who would fall asleep on one.,Volcanos are very hot and one would not be able to fall asleep if one stays alive at all.
74,She spoke to a ghost at the door.,Ghosts don't exist.,ghost is not visible to spoke,GHOST IS NOT A MAN
75,You will never see a teacher inside of a school.,A school requires teachers in order to run and teach the pupils so a teacher would always be in a school.,Teachers work in schools so you will always see them there,Teachers work at schools.
76,She cuts a pizza with an advertising board.,An advertising board is much larger than a pizza.,Advertising boards are not used for cutting.,advertising boards are too large to cut pizza with
77,They built the sun,The sun is a natural object created from space,No one built the Sun.,The sun was naturally created.
78,The man put some buildings in the microwave,People do not heat buildings in the microwave,buddings don't fit in microwaves,Buildings don't fit inside a microwave.
79,There was a chicken flying.,Chickens do not fly.,Chickens don't often fly.,Chickens do not fly
80,He played the cow very well,Cows are not musical instruments,A cow is an animal and not a musical instrument,you don't play a cow
81,You are still alive if you do not have a heartbeat.,Your heartbeat is what keeps you alive and breathing by transporting blood so without it you are dead.,"If a person does not have a heartbeat, they are not alive.",Heart must beat for a living thing to stay alive.
82,the trampoline jumped on him,a trampoline is not sentient and cannot jump,Trampolines are still objects that do not perform actions.,Trampoline can't jump
83,Georgia Tech trains dragons,Dragons are not a creature that exists,Dragons don't exist,Georgia tech trains people
84,She was going to school in a lunch box,Lunch box is a container to carry food,A person would not fit inside of a lunch box.,It is impossible to travel anywhere in a lunch box
85,The moon gets fixed and that's how it returns to full,"The moon doesn't change sizes, the light that helps us see it changes and that affects what shape it looks to us",The moon is not broken and does not get fixed,the moon isn't broken when its not full
86,The man paid the bill with water.,Water usually does not hold up while money is tangible.,Water is not currency.,"No one pays a the bill with water, water is not a form of payment."
87,You are cooking the music,Music is not cookable,"Music is not something that can be touched, so therefore can't be cooked","you don't cook music, you make music."
88,She write the story in water,Water has no capacity to show the story letters,Water will not stay still so you cannot write in it.,You cant write on water
89,The storage in every computer is unlimited.,A computer has limited space in a hard-rive so the storage cannot be unlimited.,Computers have finite storage,The computer has limited storage
90,People only cry when they are angry.,Crying is a natural response to being sad and many people cry when they are sad to express the feeling.,"People cry for many different reasons, not only when they are angry",People cry for many different reasons.
91,Most people like to have hamburgers and pudding in the morning.,"Hamburgers are a lunch or dinner food, and pudding is a dessert.",Most people find hamburgers to be a heavy meal and it is recommended to eat something light for breakfast.,"Hamburgers and pudding are lunch or dinner options, not breakfast."
92,Frank hit Will with a pillow causing him pain,A pillow is softer than a stone and does not cause injuries,pillows are soft and do not cause pain if thrown at someone,Pillows are light and soft and cannot cause pain.
93,he put the sock on the drum.,A drum is much larger than a sock.,socks don't fit on drums,A drum doesn't wear clothes.
94,he shaved his teeth,there is no hair on teeth,Teeth don't have hair.,A person does not shave their teeth.
95,She put mustard on a star.,A star is too far away for someone to but a condiment on.,A star is not food.,The stars are too far a way to put anything on except for a spaceship.
96,they put on ghillie suits to go outside,shoes are needed to walk outside,A ghillie suit is for niche purpose.,Ghillie suits aren't worn outside.
97,He was playing fridge,Fridge is a tool and is not a musical instrument,A fridge is not an instrument.,You can't play a fridge.
98,A person is not allowed to visit their relatives.,"It is a human right to visit a relative and there are no laws against it, so you can visit a relative.",Relatives are able to visit each other.,People frequently visit family.
99,Tight shoes are comfortable.,Tight shoes make walking unbearable.,tight shoes hurt feet,"If shoes are tight, they are not comfortable"
100,Low blood pressure is a hazardous way to diet and lose weight.,"Lowering high blood pressure, and weight loss is the result of eating healthy and exercising.",Losing weight lowers blood pressure,Having low blood pressure isn't a way to diet
101,Plants can make computers,Computers are not organic products and are made by humans,Plants are unable to make computers.,Plants only make oxygen and fruits or vegetables not things made out of plastic like computers
102,My friend like to eat electronic goods.,No one can digest electronic goods.,Electronic products must not be eaten,you would die if you ate electronics
103,Europe is in france,Europe is a continent but france is a country,Europe is a larger area than France.,Europe is a continent and is too large to be in a small country like France.
104,He drove his car to the moon,There is no road leading to the moon,The moon is in outer space.,It is impossible to get to the moon by car
105,The babies birthday is the day their parents met.,A birthday refers to the day you were conceived as a way to refer to your age so it cannot be the day your parents met.,the day of their birth is their birth day,A baby is not born on the day the parent's met.
106,A sheep shops at Walmart,Walmart is a store for persons not animals,Sheep do not shop anywhere.,Sheep do not shop
107,You can not get drunk from alcohol.,"Alcohol is the only thing you can get drunk from and by drinking it, your brain becomes drunk.","Alcohol, by it's chemical nature,  has an intoxicating effect.",Drinking alcohol will eventually get a person drunk.
108,The fire hydrant shot a bullet,Fire hydrants do not have firing mechanisms,fire hydrants are inanimate therefore cannot do anything,A fire hydrant doesn't have ammunition.
109,A forest is an area covered with snow,"the multitude of trees makes up a forest, and the presence or absence of snow is irrelevant",Forests are not always covered with snow.,"forests are normally covered with trees, that is what makes it a forest"
110,The building built him,The building is not alive,A building is not alive or mobile.,building can't do anything.
111,The grass is singing.,Grass does not have voice or mouth to make noise.,grass doesn't sing,Grass is not alive and has no mouth.
112,She cut the meat with a fridge.,A refrigerator is much larger than a meat.,A fridge can't be held in your hand.,A fridge is not sharp and is unable to cut food.
113,I ran to the sky.,"You can't run the sky,because you will go the sky use the space rocket.",I have to stay in contact with the ground when I run,It is impossible for humans to reach the sky without the help of aircraft; gravity makes this impossible.
114,No one uses pens to write with.,Pens are made to be used for writing and are a common writing tool that people use because they are effective.,Everyone uses pens,Pens are a writing implement used by many people.
115,The whale swims in a bathtub.,The whale is much larger than a bathtub.,Whales are big animals and can't fit in bathtubs.,Standard bath tubs could not hold a whale.
116,A boxer would never punch in a boxing match.,A boxer needs to punch in a boxing match to score points and win. A referee makes them punch.,If you don't punch in a boxing match you cannot claim to be a boxer,A boxing match is all about boxing.
117,There was a person drinking sulfuric acid.,People do not drink sulfuric acid because it would kill them.,Sulfuric acid is not edible.,Sulfuric acid would kill a person so usually people do not drink it.
118,She drank a cup of tires.,Tires cannot be drunk.,tires don't fit in a cup,Humans cannot drink tires.
119,He was changing tv channels with screwdriver,Screwdriver is a passive mechanical tool,Screwdrivers cannot control a tv.,A screwdriver does not control a television
120,The giraffe swam through the ocean,The whale can swim much better than a giraffe,Giraffes live on land.,Giraffes are land animals and do not swim in oceans
121,He moved a city to his belongings,A city is too big to fit into whatever belongings the person has.,Cities are not mobile-and have affixed infrastructures that cannot be transported from place to place.,A city is a place and can't be moved.
122,he put the ice cream in the closet,ice cream would easily melt in a closet,The ice cream would melt in the closet so it is very unlikely that he put it there.,ice cream would melt in the closet
123,The people were full of planes,Planes are much bigger than people,"People cannot be full of planes, but a plane can be full of people",Planes are larger than people.
124,She went to the shop to buy hands,You can't buy hands from a shop.,You cannot buy hands at stores or shops.,Hands can't be bought in a store.
125,He took the curb to the trash.,You can't take a curb from it's spot.,the curb is much heavier to take,A curb is a place.
126,Alice lit a rock at night,Rocks cannot be lit easily,Rocks don't catch fire.,Alice cannot light a rock
127,She flew on a pizza.,Pizzas do not have engines to be flown.,Pizzas do not fly.,She flew on a plane
128,A musician can perform a surgery,only a qualified surgeon can perform a surgery,"If a person is a musician, that does not mean they are able to perform surgery",Musicians are trained in the specialty of music not surgery
129,She brushed her teeth with a truck.,A truck is bigger than a tooth.,A truck will not clean teeth.,A person does not brush their teeth with a truck
130,The house entered the man,the house is bigger than the man,A house is too big to enter a man,"A house is an object so it cannot enter anything, especially a man."
131,He put a whale on the shelf.,A whale is too large to fit on a shelf.,Whales are way too big for any shelf to fit on.,Whale is biger then the shelf.
132,Jill ate the wizard in her book.,You cannot eat wizards.,"If the wizard is in the book, then it is imaginary and cannot be eaten",Wizards can protect themselves from being eaten.
133,He travels by a laptop to reach the office.,Laptop is not a vehicle which can be driven.,He uses a laptop at the office,laptops do not provide physical transportation
134,He buys a book to eat.,Book is not eatable.,Books are not edible,Books are not edible.
135,The table melts at room temperature.,A table does not melt at room temperature.,Tables don't melt.,tables don't melt
136,He walked to mars,Mars is another planet,You cannot walk through outer space.,The only way to get to mars is by spaceship.
137,He lifted a tractor with his hands.,A tractor is too heavy to lift with its hands.,tractors are too heavy,A tractor is too heavy to lift with your hands.
138,Dwight cut down a mountain,Mountains are much larger than trees,A mountain can't be cut down.,mountains are too big to be cut down
139,he swam in the lava,lava is too hot to swim in it,He would die if he did that,you would die in lava
140,He put a horse in his wallet.,A horse is much larger than a wallet.,"A person cannot put a horse into a wallet, it would not fit",A horse is too large to fit inside a wallet.
141,The woman wrote down the story with a spoon on paper,A person can't write down something with a spoon.,A person does not use a spoon to write,"Spoons are used for eating, not writing."
142,she ate a brick,bricks cannot be eaten,People eat food and a brick is not a food and it is also too hard to chew.,Brick is not allowed to eat
143,Swords use me,A sword is not alive,Swords are inanimate,Swords are not alive
144,Geralt flies his car every day,Cars have wheels and cannot fly,Cars do not fly.,Cars do not fly
145,She needed to call her mother but she could not find her car keys,car keys are for locking or unlocking the car rather than calling people,A person does not use car keys to make a phone call,car keys do not make phone calls
146,He served a globe for dinner,Globes are made of materials you cannot eat,A globe is not food.,"A globe is not edible, thus cannot be served as dinner"
147,He went to  beauty parlour because he feels hungry,beauty parlour does not provide food for your hunger,Beauty parlors do not sell food,parlors don't have food for hunger
148,The Piano was hit,"The piano is an instrument we play, not hit",You cannot get music out of the piano by hitting it.,you don't hit a piano
149,today will be 30 hours,One day is only 24 hours,Every day by definition is 24 hours long,In the day only 24 hours
150,A cup is for holding a gas you plan to drink.,You can not drink gas.,"A person does not drink gas, from a cup or anything else.",A gas would not stay in a cup.
151,I dress a lion,A lion is a wild animal,Lions don't wear clothes.,You don't put clothes on a lion.
152,He threw an anvil into the basket.,An anvil is too heavy to throw in a basket.,An anvil is very heavy and could not be thrown through a basket,Anvils are too large and heavy to throw.
153,I like to eat cooked ice cream,Ice creams are for taking not for cooking,you don't COOK ice creams,Ice cream would melt if cooked.
154,He ate a crane.,A crane and made of metal is not fit for eating.,A crane is not food.,A crane is not something that is eaten- it is not food.
155,He danced on the spoon,Spoon is an utensil,A spoon is too small to dance on.,Spoons are too small to dance on.
156,A landscape is a painting or a photograph which focuses on the face of a person,landscapes portray land rather than individual people,Landscapes focus on a wider scale and more about the environment than an individual.,"A landscape focuses on a natural setting, not a person."
157,The child ate mud off of his face.,Humans do not eat mud.,Mud is not edible.,Mud is not edible.
158,A man defrosted a chicken using a lighter.,You can not defrost a chicken using a lighter because the heat generated is too small and focuses on only one part of the chicken.,Lighters are not designed for defrosting frozen items.,A lighter is much too small to defrost a chicken.
159,He was walking on the water.,Water has no solid surface to hold someone above it.,water does not support human weight,A person cannot walk on water
160,A shark interviews a fish.,Sharks and fish do not talk.,A shark cannot talk,Fish cannot talk
161,She lifted a tractor.,A tractor is too heavy for one person.,It is physically impossible for only one person to lift a tractor.,Tractors are too heavy to be lifted by a normal person
162,She makes a call by the stove.,The stove is for cooking.,The stove is not for calls,stoves don't call people
163,The sun shines bright in the night,The sun does not appear at night,At night the sun does not shine.,"At night, we cannot see the sun and therefore it does not shine brightly at nighttime."
164,The book eats,The book is not alive,A book is not alive.,Books are made of paper and have no way to eat
165,The woman writes in the sky.,Heaven has no pages like the book.,you cannot write the sky,A woman can not physically write in the sky.
166,the country of liegenpoofa exists,Denmark exists and Liegenpoofa does not,There is no country known as liegenpoofa.,There is no country named liegenpoofa
167,You will never find dust on a desktop.,Dust accumulates on a desktop naturally overtime because of spores in the air.,Dust can be found everywhere,Dust lands anywhere.
168,Dogs eat extension cords.,Extension cords are inedible.,"Extension cords are not food and should not be eaten, as a rule.",dogs would die if they ate cords
169,Children love doing the laundry,The laundry is generally viewed as a boring activity,Laundry is not a fun activity for children.,children don't love doing chores
170,You can take a bath in a blender,A blender is too small,people would die in a blender,A blender is too small to take a bath in.
171,The coin was made of cheese,Cheese is a food and silver is metal,Cheese is too soft and edible to be made into a coin.,Coins are typically made of metal not food.
172,A fork is used for cutting bread,"a fork, unlike a knife, cannot cut",A knife is used to cut bread,Forks are not sharp enough to cut bread.
173,She makes omelette with horse's egg.,Horse does not lay eggs.,Horses don't lay eggs,Horses do not lay eggs.
174,She lay on the pool water to sleep,No one can sleep over water.,She swims in pool water,A person would sink in a pool.
175,The water froze on the stove.,Stoves get hot and you cannot freeze water in the heat.,Stoves are hot so the water would boil not freeze,"A stove heats things, not freezes them."
176,A horse spun a web,Horses do not have the glands to produce materials to spin webs.,Horses don't spin webs.,A horse is not capable of spinning a web.
177,she bought minecraft to play netball with,minecraft is a virtual game,"Minecraft is a computer game, not a toy.",Netball is a sport game and Minecraft is a computer game that is not about sports.
178,She put a house in her purse.,A house is much larger than a purse.,houses don't fit in purses,A house is too large to fit in a purse.
179,She took a battle tank in the car.,A battle tank is much larger than a car.,A battle tank is bigger than a car.,A battle tank is much larger than a car and would not fit
180,He put the shoes in his mouth,"Shoes go on feet, not in mouths.","Shoes are not meant for consumption and generally do not taste good, therefore there is no reason to put them in one's mouth.",Shoes don't fit in a person's mouth.
181,He put a teapot over his head,Teapots are not clothing,A teapot put over a head would most likely fall and break so one should not do that.,"TEAPOTS DO NOT GO ON YOUR HEAD, THEY ARE NOT HEADWEAR"
182,You will never find a dog that likes to eat meat.,Meat is the preferred food to dogs because they are carnivores and it has all their nutritional needs.,Dogs are genetically inclined to have meat as part of their natural diet,Dogs are carnivores.
183,The door opened him,The door is not alive,Doors cannot open people.,A door is not alive.
184,He rode his car across the ocean,Cars cannot ride across the ocean,the ocean do not has roads for cars,There are no roads on the ocean.
185,I put my bowling alley on the couch,A bowling alley can't be put on a couch.,A bowling alley is a place.,A bowling alley won't fit on a couch
186,There was an ant wrapped around a tree.,Ants have a body that is too small to curl up in a tree.,Ants are too small to wrap all the way around a tree.,An ant is too small to wrap around a tree
187,He played the piano with a ship.,A ship is much larger than a piano.,A person does not use a ship to play a piano,Ships are giant  and cannot be used to play a piano
188,A pocket knife is useless.,A pocket knife has many uses because it has a blade and can cut things like food or wood.,POCKET KNIFE IS NOT USELESS,A pocket knife can do a lot of things.
189,He ate a lion sandwich,You cannot eat a lion,Lions are not used to make sandwiches or eaten by humans,Lion isn't type of meat people it or put in the sandwich.
190,The cat bites a cloud.,A cloud is too high relative to the cat.,Clouds are in the sky and cats are on the ground.,"cloud is not a biting thing, it's too high on the sky."
191,The fish got into the car and drove off,A fish has no intelligence to drive a car,Fish cannot drive cars - they do not have legs or arms,Fish do not have the body nor brain to operate a car.
192,Cleveland is a state in America,Cleveland is a city not a state.,Cleveland is a city,Cleveland is a city in the state of Ohio
193,I broiled a gluten-free cake.,"Broiling is a process to cook meat, not cake.",Cakes are baked not broiled,Cakes are baked not broiled.
194,He plays tennis with a basketball ball,A basketball ball cannot be played in tennis due to its size,Tennis is played with a tennis ball.,basketballs are too large for tennis rackets
195,There was one person pulling a massive ten ton block.,One person just can't pull a ten ton block.,One person is not strong enough to pull a ten ton block.,A ten to block is too heavy for only one person to pull.
196,a computer a day keeps doctors away,using computers daily increases the risk of heart disease,doctors like computers,A computer has no benefit to your health.
197,She put a shirt on her foot.,A shirt is not for the foot.,A shirt goes on your chest.,shirts go on the body not the foot
198,Whales rain from the sky.,Whales are to heavy to be apart of the water cycle.,Whales are animals and do not occur like rain,"whales don't fall from sky, they are too big"
199,A child can breath fire.,Breathing fire is not something humans can do.,Children do not breath fire,A human cannot create fire inside their body.
200,There was a zebra hunting a lion.,Zebras do not hunt lions.,"Zebras do not hunt lions, they are hunted by lions.",Zebras are herbivores so they don't hunt.
201,The dog chased the bed.,Beds do not move and thus cannot be chased.,Beds do not run anywhere so there is not need for chasing them.,The bed can't run away
202,Scales are used for measuring distances between things,scales are used for measuring the weight of things,A scale is used for measuring weight.,Scales are used to weigh things
203,A footballer would never kick a football.,A footballer gets paid to kick a football into a goal and so he needs to do so.,Footballers kick footballs all the time.,If you don't every kick a football then you can't claim the title footballer
204,He went on holiday to Chicken,Turkey is a country and chicken is a bird,Chicken is not a place a person can visit.,"chicken is poultry, not a place"
205,"When it is dark at home, you can turn on the heaters",turning on the heaters will not help you see things in the dark,A heater doesn't make light.,The heather will not provide light in the dark
206,Cooking gourmet meals is the number one way to make mistakes such as kitchen fires.,"Kitchen fires, and or mistakes are not a direct result of cooking gourmet meals.","Kitchen fires are not often caused by cooking gourmet meals, therefore cannot be the number one cause",you can always have kitchen fires
207,He drinks beer in a dog,Dog is an animal which cannot be used to drink beer,Dogs are not containers nor will they hold liquid.,You don't drink beer out of a dog
208,The family came back from the moon,The moon is not a destination everyday people can visit,"Families cannot travel to the moon, there is no oxygen there",The moon is a heavenly star
209,Sugar is bad for humans,Sugar is widely used by humans with no  fear,"Sugar is not bad for humans, it can also be good in some cases",People like to eat sweet things.
210,It rains often in Sahara,"Sahara is a desert, which means that it receives very little rain",The Sahara is a desert and there is not much rain in deserts.,The Sahara is a desert which happens when there is no rain
211,The man had an automobile for dinner,People do not eat automobiles for food,you cannot eat an automobile,An automobile isn't food.
212,she washed her hair with milk,milk will not clean your hair,Milk doesn't clean hair.,A person does not use milk to wash hair
213,taking a dump in the park can be good for your health,doing the toilet in public places is wrong,Taking a dump in the park is illegal and unsanitary.,If you take a dump in the park you might get beaten up by cops and get injured and being injured is not healthy.
214,Something you find at a water cooler is a living dinosaur,Dinosaurs are extinct,Dinosaurs are extinct.,There are no living dinosaurs.
215,She jumped into the water of a glass.,A glass is much smaller than a pool.,A glass is too small to jump into.,A glass is too small to jump into.
216,She lives in a snow globe.,A snow globe is too small for a person to live in,A snow globe is not designed for habitation.,A snow globe is too small to live in.
217,John plays the milk.,Milk is a liquid not an musical instrument.,milk is not a substance one can play,Milk is not an instrument that can be played
218,You cannot hydrate yourself by drinking water.,Water is the most efficient way to hydrate yourself compared to other liquid.,You can hydrate by drinking water,Water is the best way to hydrate
219,My medicine take me,Medicines are not alive,Medicine does not any physical actions by itself.,You take the medicine
220,He pulled a fan from the bottle.,Fan do not fit in bottles.,A fan is bigger than a bottle,FANS WOULDNT FIT IN A BOTTLE
221,Tomorrow is a water bottle.,Water bottle is not a day of the week.,A water bottle is not a day of the week.,"Tomorrow is an abstract, general concept and cannot be put in anything, such as a water bottle."
222,He cooks a bed in the pan.,The bed is too big for a pan.,A bed would not fit inside a pan.,Beds are much bigger than pans and don't fit in them
223,Dirty dishes cannot be cleaned in a dishwasher.,A dishwashers purpose is too clean dishes and was invented to do so.,dishes 100% can be cleaned in a dishwasher,A dishwasher is supposed to clean dirty dishes.
224,He put a shark into the cabinet.,The shark can't fit into the cabinet.,A shark would not fit in a cabinet.,A person would not put a shark into a cabinet
225,The girl likes to eat plastic.,Plastic is not food.,Plastic is generally not edible.,People do not eat plastic
226,The cat barked at the mailman.,Cats do not bark.,Cats do not bark they meow,Cats don't bark.
227,"If before you go to the pub and you drink a lot, then afterwards you are drunk","You usually drink at the pub, not before the pub","You drink at the pub, not before.",Alcohol can be consumed to become intoxicated.
228,The woman played television,Television is not a game or sport,Television is not a sport.,you can't play a television
229,The eagle flies deep in the ocean,Eagles do not go into bodies of water,birds don't fly in the oceon,Eagles cannot swim in the water.
230,She went to the moon on Sunday,People don't go the moon casually,Most people can't travel to the moon.,Most humans do not have the capability for space travel and the trip could not be made in one day anyway.
231,200 is one hundred,200 is not one hundred in the international system,200 is two hundred,This is mathmatically incorrect
