falsesent,id,ref
I use internet on my radio,41,Internet can not be used on a radio
I use internet on my radio,41,You could use the internet to listen to the radio
I use internet on my radio,41,radio doesn't use internet
She drove her children to the moon.,42,The moon is not reachable by car.
She drove her children to the moon.,42,The moon is in space.
She drove her children to the moon.,42,The moon is in outer space.
She parachuted into the grocery store from a plane.,43,"If you jumped from a plane to get groceries, you would have no way to get them home."
She parachuted into the grocery store from a plane.,43,You can't land inside a store
She parachuted into the grocery store from a plane.,43,This is a place you should walk or drive to.
The fish swam in the desert.,44,"A desert has no water, so a fish could not swim there."
The fish swam in the desert.,44,A desert is dry and has no water and fish need water to swim
The fish swam in the desert.,44,The desert has no water.
There was a dead ice creature walking in the snow.,45,Dead ice creatures do not exist.
There was a dead ice creature walking in the snow.,45,Dead things can't walk.
There was a dead ice creature walking in the snow.,45,Dead creatures don't walk.
I swim under a tap,46,There are not enough water under a tap to swim
I swim under a tap,46,"You swim in pools, seas or rivers usually"
I swim under a tap,46,I swim in a pool.
A person eats mountains,47,A mountain is much bigger than a person
A person eats mountains,47,A mountain isn't edible.
A person eats mountains,47,Mountains are not food.
Jane saw a giraffe in her purse.,48,A purse is too small for a giraffe to be in.
Jane saw a giraffe in her purse.,48,The giraffe wouldn't fit.
Jane saw a giraffe in her purse.,48,GIRAFFE IS BIGGER THEN A PURSE SO IT'S NOT POSSIBLE
We use book to know the time,49,A book is used to study
We use book to know the time,49,A book does not have the ability to show what time it is.
We use book to know the time,49,Books don't tell the time
I was playing basketball with a rock,50,"You need a bouncing objet for playing basketball, and a rock does not bounce"
I was playing basketball with a rock,50,Usually people use a ball of some sort to play basketball
I was playing basketball with a rock,50,A rock will not bounce
Mary took her moth for a walk,51,it is unusual to keep a moth as a pet
Mary took her moth for a walk,51,A moth does not walk.
Mary took her moth for a walk,51,You can't effectively walk an insect.
I like to listen colours as I commute,52,Colours cannot being listened
I like to listen colours as I commute,52,Colours don't have sound.
I like to listen colours as I commute,52,Colours don't make sound.
I run in the air,53,Walking is not possible in the air
I run in the air,53,The air is not solid to run on.
I run in the air,53,Gravity keeps us on the ground.
There was a blonde woman riding a dragon.,54,Dragons do not exist.
There was a blonde woman riding a dragon.,54,Unfortunately dragons don't exist and so a woman (blonde or otherwise) can't ride them
There was a blonde woman riding a dragon.,54,Dragons aren't real.
He ate the book,55,Book is not a food
He ate the book,55,Books are not edible
He ate the book,55,A book is not food.
Jake ate artificial mango,56,Human can't eat artificial made fruits
Jake ate artificial mango,56,Artificial mango isn't real food so it's not edible.
Jake ate artificial mango,56,"Artificial foods are not,  by definition, the actual foods they emulate."
Baby is taking dictionary,57,It is too heavy
Baby is taking dictionary,57,A baby doesn't read so wouldn't take a dictionary
Baby is taking dictionary,57,Dictionaries are heavy books that a baby cannot lift or take.
the school was open for summer,58,summertime is typically vacation time for school
the school was open for summer,58,Schools are closed in the summer for break.
the school was open for summer,58,In most countries schools is out for summer.
The chocolate cried,59,Chocolate is a melting solid therefore cannot cry
The chocolate cried,59,chocolate doesn't cry
The chocolate cried,59,"Chocolate is an inanimate, non human thing and cannot cry."
There are barbecues in the middle of a television program,60,barbecues are a physical object not like commercials
There are barbecues in the middle of a television program,60,Barbecues cannot be placed in a tv show.
There are barbecues in the middle of a television program,60,"barbecues are in gardens or yards, not in the middle of television programs"
He was tired and so he went to get into his car.,61,One should not drive when one is tired.
He was tired and so he went to get into his car.,61,A car is not a place to sleep.
He was tired and so he went to get into his car.,61,If you are tired you want to sleep and people sleep in beds
You never puke after getting drunk,62,Too much alcohol in our organism makes us puke
You never puke after getting drunk,62,Alcohol when consumed in high amounts can cause nausea and for many people this inducing vomiting.
You never puke after getting drunk,62,Drinking alcohol can make people puke.
You can use a jellyfish to hold checks.,63,A jellyfish is a sea creature not intended to hold anything.
You can use a jellyfish to hold checks.,63,Jellyfish live in the sea and the water would ruin the checks.
You can use a jellyfish to hold checks.,63,jellyfish are too jelly to hold things
Lawyers are people who play characters in television or theatre,64,lawyers are people who provide legal aid
Lawyers are people who play characters in television or theatre,64,Real lawyers do not play characters on TV or theatre
Lawyers are people who play characters in television or theatre,64,Lawyers defend or prosecute people charge with crimes.
A giraffe drove a car,65,A giraffe is too big to fit into a car
A giraffe drove a car,65,Giraffes cannot drive or even fit inside a car.
A giraffe drove a car,65,A giraffe would not fit inside a car.
A small dog is called a kitten,66,a kitten is a small cat
A small dog is called a kitten,66,kitten is a small of cat
A small dog is called a kitten,66,A kitten is a small cat.
The parrot went to work,67,Parrots do not have jobs
The parrot went to work,67,Parrots are animals and don't have jobs.
The parrot went to work,67,A parrot doesn't work
My daughter always takes bath in a kitchen sink and avoids bath tub,68,Kitchen sink is not big enough to take bath in it
My daughter always takes bath in a kitchen sink and avoids bath tub,68,The kitchen sink is smaller and harder to get into than the bathtub.
My daughter always takes bath in a kitchen sink and avoids bath tub,68,My daughter is too big to fit in the sink
He killed him with a programming language,69,Programming language is not a weapon
He killed him with a programming language,69,A person cannot kill someone with a programming language
He killed him with a programming language,69,Programming language lives in a virtual world and not in the physical world in a form that could kills someone
The cinema shared popcorn with them,70,You can't share food with an establishment
The cinema shared popcorn with them,70,The cinema is not a person.
The cinema shared popcorn with them,70,A cinema is not capable of sharing.
Rotten food smells nice.,71,Rotten food is decomposing and producing toxic smelly gasses.
Rotten food smells nice.,71,rotten food smells terrible
Rotten food smells nice.,71,Rotten food isn't fresh but gone off so it can't smell nice.
An actor wear a toaster.,72,Toasters are not clothing
An actor wear a toaster.,72,A toaster in an electrical product and not a outfit.
An actor wear a toaster.,72,Toaster is a electrical device it could not be wear.
The man slept on the volcano.,73,Beds are generally comfortable while volcanoes cause destruction.
The man slept on the volcano.,73,Volcanos are very hot and would kill anyone who would fall asleep on one.
The man slept on the volcano.,73,Volcanos are very hot and one would not be able to fall asleep if one stays alive at all.
She spoke to a ghost at the door.,74,Ghosts don't exist.
She spoke to a ghost at the door.,74,ghost is not visible to spoke
She spoke to a ghost at the door.,74,GHOST IS NOT A MAN
You will never see a teacher inside of a school.,75,A school requires teachers in order to run and teach the pupils so a teacher would always be in a school.
You will never see a teacher inside of a school.,75,Teachers work in schools so you will always see them there
You will never see a teacher inside of a school.,75,Teachers work at schools.
She cuts a pizza with an advertising board.,76,An advertising board is much larger than a pizza.
She cuts a pizza with an advertising board.,76,Advertising boards are not used for cutting.
She cuts a pizza with an advertising board.,76,advertising boards are too large to cut pizza with
They built the sun,77,The sun is a natural object created from space
They built the sun,77,No one built the Sun.
They built the sun,77,The sun was naturally created.
The man put some buildings in the microwave,78,People do not heat buildings in the microwave
The man put some buildings in the microwave,78,buddings don't fit in microwaves
The man put some buildings in the microwave,78,Buildings don't fit inside a microwave.
There was a chicken flying.,79,Chickens do not fly.
There was a chicken flying.,79,Chickens don't often fly.
There was a chicken flying.,79,Chickens do not fly
He played the cow very well,80,Cows are not musical instruments
He played the cow very well,80,A cow is an animal and not a musical instrument
He played the cow very well,80,you don't play a cow
You are still alive if you do not have a heartbeat.,81,Your heartbeat is what keeps you alive and breathing by transporting blood so without it you are dead.
You are still alive if you do not have a heartbeat.,81,"If a person does not have a heartbeat, they are not alive."
You are still alive if you do not have a heartbeat.,81,Heart must beat for a living thing to stay alive.
the trampoline jumped on him,82,a trampoline is not sentient and cannot jump
the trampoline jumped on him,82,Trampolines are still objects that do not perform actions.
the trampoline jumped on him,82,Trampoline can't jump
Georgia Tech trains dragons,83,Dragons are not a creature that exists
Georgia Tech trains dragons,83,Dragons don't exist
Georgia Tech trains dragons,83,Georgia tech trains people
She was going to school in a lunch box,84,Lunch box is a container to carry food
She was going to school in a lunch box,84,A person would not fit inside of a lunch box.
She was going to school in a lunch box,84,It is impossible to travel anywhere in a lunch box
The moon gets fixed and that's how it returns to full,85,"The moon doesn't change sizes, the light that helps us see it changes and that affects what shape it looks to us"
The moon gets fixed and that's how it returns to full,85,The moon is not broken and does not get fixed
The moon gets fixed and that's how it returns to full,85,the moon isn't broken when its not full
The man paid the bill with water.,86,Water usually does not hold up while money is tangible.
The man paid the bill with water.,86,Water is not currency.
The man paid the bill with water.,86,"No one pays a the bill with water, water is not a form of payment."
You are cooking the music,87,Music is not cookable
You are cooking the music,87,"Music is not something that can be touched, so therefore can't be cooked"
You are cooking the music,87,"you don't cook music, you make music."
She write the story in water,88,Water has no capacity to show the story letters
She write the story in water,88,Water will not stay still so you cannot write in it.
She write the story in water,88,You cant write on water
The storage in every computer is unlimited.,89,A computer has limited space in a hard-rive so the storage cannot be unlimited.
The storage in every computer is unlimited.,89,Computers have finite storage
The storage in every computer is unlimited.,89,The computer has limited storage
People only cry when they are angry.,90,Crying is a natural response to being sad and many people cry when they are sad to express the feeling.
People only cry when they are angry.,90,"People cry for many different reasons, not only when they are angry"
People only cry when they are angry.,90,People cry for many different reasons.
Most people like to have hamburgers and pudding in the morning.,91,"Hamburgers are a lunch or dinner food, and pudding is a dessert."
Most people like to have hamburgers and pudding in the morning.,91,Most people find hamburgers to be a heavy meal and it is recommended to eat something light for breakfast.
Most people like to have hamburgers and pudding in the morning.,91,"Hamburgers and pudding are lunch or dinner options, not breakfast."
Frank hit Will with a pillow causing him pain,92,A pillow is softer than a stone and does not cause injuries
Frank hit Will with a pillow causing him pain,92,pillows are soft and do not cause pain if thrown at someone
Frank hit Will with a pillow causing him pain,92,Pillows are light and soft and cannot cause pain.
he put the sock on the drum.,93,A drum is much larger than a sock.
he put the sock on the drum.,93,socks don't fit on drums
he put the sock on the drum.,93,A drum doesn't wear clothes.
he shaved his teeth,94,there is no hair on teeth
he shaved his teeth,94,Teeth don't have hair.
he shaved his teeth,94,A person does not shave their teeth.
She put mustard on a star.,95,A star is too far away for someone to but a condiment on.
She put mustard on a star.,95,A star is not food.
She put mustard on a star.,95,The stars are too far a way to put anything on except for a spaceship.
they put on ghillie suits to go outside,96,shoes are needed to walk outside
they put on ghillie suits to go outside,96,A ghillie suit is for niche purpose.
they put on ghillie suits to go outside,96,Ghillie suits aren't worn outside.
He was playing fridge,97,Fridge is a tool and is not a musical instrument
He was playing fridge,97,A fridge is not an instrument.
He was playing fridge,97,You can't play a fridge.
A person is not allowed to visit their relatives.,98,"It is a human right to visit a relative and there are no laws against it, so you can visit a relative."
A person is not allowed to visit their relatives.,98,Relatives are able to visit each other.
A person is not allowed to visit their relatives.,98,People frequently visit family.
Tight shoes are comfortable.,99,Tight shoes make walking unbearable.
Tight shoes are comfortable.,99,tight shoes hurt feet
Tight shoes are comfortable.,99,"If shoes are tight, they are not comfortable"
Low blood pressure is a hazardous way to diet and lose weight.,100,"Lowering high blood pressure, and weight loss is the result of eating healthy and exercising."
Low blood pressure is a hazardous way to diet and lose weight.,100,Losing weight lowers blood pressure
Low blood pressure is a hazardous way to diet and lose weight.,100,Having low blood pressure isn't a way to diet
Plants can make computers,101,Computers are not organic products and are made by humans
Plants can make computers,101,Plants are unable to make computers.
Plants can make computers,101,Plants only make oxygen and fruits or vegetables not things made out of plastic like computers
My friend like to eat electronic goods.,102,No one can digest electronic goods.
My friend like to eat electronic goods.,102,Electronic products must not be eaten
My friend like to eat electronic goods.,102,you would die if you ate electronics
Europe is in france,103,Europe is a continent but france is a country
Europe is in france,103,Europe is a larger area than France.
Europe is in france,103,Europe is a continent and is too large to be in a small country like France.
He drove his car to the moon,104,There is no road leading to the moon
He drove his car to the moon,104,The moon is in outer space.
He drove his car to the moon,104,It is impossible to get to the moon by car
The babies birthday is the day their parents met.,105,A birthday refers to the day you were conceived as a way to refer to your age so it cannot be the day your parents met.
The babies birthday is the day their parents met.,105,the day of their birth is their birth day
The babies birthday is the day their parents met.,105,A baby is not born on the day the parent's met.
A sheep shops at Walmart,106,Walmart is a store for persons not animals
A sheep shops at Walmart,106,Sheep do not shop anywhere.
A sheep shops at Walmart,106,Sheep do not shop
You can not get drunk from alcohol.,107,"Alcohol is the only thing you can get drunk from and by drinking it, your brain becomes drunk."
You can not get drunk from alcohol.,107,"Alcohol, by it's chemical nature,  has an intoxicating effect."
You can not get drunk from alcohol.,107,Drinking alcohol will eventually get a person drunk.
The fire hydrant shot a bullet,108,Fire hydrants do not have firing mechanisms
The fire hydrant shot a bullet,108,fire hydrants are inanimate therefore cannot do anything
The fire hydrant shot a bullet,108,A fire hydrant doesn't have ammunition.
A forest is an area covered with snow,109,"the multitude of trees makes up a forest, and the presence or absence of snow is irrelevant"
A forest is an area covered with snow,109,Forests are not always covered with snow.
A forest is an area covered with snow,109,"forests are normally covered with trees, that is what makes it a forest"
The building built him,110,The building is not alive
The building built him,110,A building is not alive or mobile.
The building built him,110,building can't do anything.
The grass is singing.,111,Grass does not have voice or mouth to make noise.
The grass is singing.,111,grass doesn't sing
The grass is singing.,111,Grass is not alive and has no mouth.
She cut the meat with a fridge.,112,A refrigerator is much larger than a meat.
She cut the meat with a fridge.,112,A fridge can't be held in your hand.
She cut the meat with a fridge.,112,A fridge is not sharp and is unable to cut food.
I ran to the sky.,113,"You can't run the sky,because you will go the sky use the space rocket."
I ran to the sky.,113,I have to stay in contact with the ground when I run
I ran to the sky.,113,It is impossible for humans to reach the sky without the help of aircraft; gravity makes this impossible.
No one uses pens to write with.,114,Pens are made to be used for writing and are a common writing tool that people use because they are effective.
No one uses pens to write with.,114,Everyone uses pens
No one uses pens to write with.,114,Pens are a writing implement used by many people.
The whale swims in a bathtub.,115,The whale is much larger than a bathtub.
The whale swims in a bathtub.,115,Whales are big animals and can't fit in bathtubs.
The whale swims in a bathtub.,115,Standard bath tubs could not hold a whale.
A boxer would never punch in a boxing match.,116,A boxer needs to punch in a boxing match to score points and win. A referee makes them punch.
A boxer would never punch in a boxing match.,116,If you don't punch in a boxing match you cannot claim to be a boxer
A boxer would never punch in a boxing match.,116,A boxing match is all about boxing.
There was a person drinking sulfuric acid.,117,People do not drink sulfuric acid because it would kill them.
There was a person drinking sulfuric acid.,117,Sulfuric acid is not edible.
There was a person drinking sulfuric acid.,117,Sulfuric acid would kill a person so usually people do not drink it.
She drank a cup of tires.,118,Tires cannot be drunk.
She drank a cup of tires.,118,tires don't fit in a cup
She drank a cup of tires.,118,Humans cannot drink tires.
He was changing tv channels with screwdriver,119,Screwdriver is a passive mechanical tool
He was changing tv channels with screwdriver,119,Screwdrivers cannot control a tv.
He was changing tv channels with screwdriver,119,A screwdriver does not control a television
The giraffe swam through the ocean,120,The whale can swim much better than a giraffe
The giraffe swam through the ocean,120,Giraffes live on land.
The giraffe swam through the ocean,120,Giraffes are land animals and do not swim in oceans
He moved a city to his belongings,121,A city is too big to fit into whatever belongings the person has.
He moved a city to his belongings,121,Cities are not mobile-and have affixed infrastructures that cannot be transported from place to place.
He moved a city to his belongings,121,A city is a place and can't be moved.
he put the ice cream in the closet,122,ice cream would easily melt in a closet
he put the ice cream in the closet,122,The ice cream would melt in the closet so it is very unlikely that he put it there.
he put the ice cream in the closet,122,ice cream would melt in the closet
The people were full of planes,123,Planes are much bigger than people
The people were full of planes,123,"People cannot be full of planes, but a plane can be full of people"
The people were full of planes,123,Planes are larger than people.
She went to the shop to buy hands,124,You can't buy hands from a shop.
She went to the shop to buy hands,124,You cannot buy hands at stores or shops.
She went to the shop to buy hands,124,Hands can't be bought in a store.
He took the curb to the trash.,125,You can't take a curb from it's spot.
He took the curb to the trash.,125,the curb is much heavier to take
He took the curb to the trash.,125,A curb is a place.
Alice lit a rock at night,126,Rocks cannot be lit easily
Alice lit a rock at night,126,Rocks don't catch fire.
Alice lit a rock at night,126,Alice cannot light a rock
She flew on a pizza.,127,Pizzas do not have engines to be flown.
She flew on a pizza.,127,Pizzas do not fly.
She flew on a pizza.,127,She flew on a plane
A musician can perform a surgery,128,only a qualified surgeon can perform a surgery
A musician can perform a surgery,128,"If a person is a musician, that does not mean they are able to perform surgery"
A musician can perform a surgery,128,Musicians are trained in the specialty of music not surgery
She brushed her teeth with a truck.,129,A truck is bigger than a tooth.
She brushed her teeth with a truck.,129,A truck will not clean teeth.
She brushed her teeth with a truck.,129,A person does not brush their teeth with a truck
The house entered the man,130,the house is bigger than the man
The house entered the man,130,A house is too big to enter a man
The house entered the man,130,"A house is an object so it cannot enter anything, especially a man."
He put a whale on the shelf.,131,A whale is too large to fit on a shelf.
He put a whale on the shelf.,131,Whales are way too big for any shelf to fit on.
He put a whale on the shelf.,131,Whale is biger then the shelf.
Jill ate the wizard in her book.,132,You cannot eat wizards.
Jill ate the wizard in her book.,132,"If the wizard is in the book, then it is imaginary and cannot be eaten"
Jill ate the wizard in her book.,132,Wizards can protect themselves from being eaten.
He travels by a laptop to reach the office.,133,Laptop is not a vehicle which can be driven.
He travels by a laptop to reach the office.,133,He uses a laptop at the office
He travels by a laptop to reach the office.,133,laptops do not provide physical transportation
He buys a book to eat.,134,Book is not eatable.
He buys a book to eat.,134,Books are not edible
He buys a book to eat.,134,Books are not edible.
The table melts at room temperature.,135,A table does not melt at room temperature.
The table melts at room temperature.,135,Tables don't melt.
The table melts at room temperature.,135,tables don't melt
He walked to mars,136,Mars is another planet
He walked to mars,136,You cannot walk through outer space.
He walked to mars,136,The only way to get to mars is by spaceship.
He lifted a tractor with his hands.,137,A tractor is too heavy to lift with its hands.
He lifted a tractor with his hands.,137,tractors are too heavy
He lifted a tractor with his hands.,137,A tractor is too heavy to lift with your hands.
Dwight cut down a mountain,138,Mountains are much larger than trees
Dwight cut down a mountain,138,A mountain can't be cut down.
Dwight cut down a mountain,138,mountains are too big to be cut down
he swam in the lava,139,lava is too hot to swim in it
he swam in the lava,139,He would die if he did that
he swam in the lava,139,you would die in lava
He put a horse in his wallet.,140,A horse is much larger than a wallet.
He put a horse in his wallet.,140,"A person cannot put a horse into a wallet, it would not fit"
He put a horse in his wallet.,140,A horse is too large to fit inside a wallet.
The woman wrote down the story with a spoon on paper,141,A person can't write down something with a spoon.
The woman wrote down the story with a spoon on paper,141,A person does not use a spoon to write
The woman wrote down the story with a spoon on paper,141,"Spoons are used for eating, not writing."
she ate a brick,142,bricks cannot be eaten
she ate a brick,142,People eat food and a brick is not a food and it is also too hard to chew.
she ate a brick,142,Brick is not allowed to eat
Swords use me,143,A sword is not alive
Swords use me,143,Swords are inanimate
Swords use me,143,Swords are not alive
Geralt flies his car every day,144,Cars have wheels and cannot fly
Geralt flies his car every day,144,Cars do not fly.
Geralt flies his car every day,144,Cars do not fly
She needed to call her mother but she could not find her car keys,145,car keys are for locking or unlocking the car rather than calling people
She needed to call her mother but she could not find her car keys,145,A person does not use car keys to make a phone call
She needed to call her mother but she could not find her car keys,145,car keys do not make phone calls
He served a globe for dinner,146,Globes are made of materials you cannot eat
He served a globe for dinner,146,A globe is not food.
He served a globe for dinner,146,"A globe is not edible, thus cannot be served as dinner"
He went to  beauty parlour because he feels hungry,147,beauty parlour does not provide food for your hunger
He went to  beauty parlour because he feels hungry,147,Beauty parlors do not sell food
He went to  beauty parlour because he feels hungry,147,parlors don't have food for hunger
The Piano was hit,148,"The piano is an instrument we play, not hit"
The Piano was hit,148,You cannot get music out of the piano by hitting it.
The Piano was hit,148,you don't hit a piano
today will be 30 hours,149,One day is only 24 hours
today will be 30 hours,149,Every day by definition is 24 hours long
today will be 30 hours,149,In the day only 24 hours
A cup is for holding a gas you plan to drink.,150,You can not drink gas.
A cup is for holding a gas you plan to drink.,150,"A person does not drink gas, from a cup or anything else."
A cup is for holding a gas you plan to drink.,150,A gas would not stay in a cup.
I dress a lion,151,A lion is a wild animal
I dress a lion,151,Lions don't wear clothes.
I dress a lion,151,You don't put clothes on a lion.
He threw an anvil into the basket.,152,An anvil is too heavy to throw in a basket.
He threw an anvil into the basket.,152,An anvil is very heavy and could not be thrown through a basket
He threw an anvil into the basket.,152,Anvils are too large and heavy to throw.
I like to eat cooked ice cream,153,Ice creams are for taking not for cooking
I like to eat cooked ice cream,153,you don't COOK ice creams
I like to eat cooked ice cream,153,Ice cream would melt if cooked.
He ate a crane.,154,A crane and made of metal is not fit for eating.
He ate a crane.,154,A crane is not food.
He ate a crane.,154,A crane is not something that is eaten- it is not food.
He danced on the spoon,155,Spoon is an utensil
He danced on the spoon,155,A spoon is too small to dance on.
He danced on the spoon,155,Spoons are too small to dance on.
A landscape is a painting or a photograph which focuses on the face of a person,156,landscapes portray land rather than individual people
A landscape is a painting or a photograph which focuses on the face of a person,156,Landscapes focus on a wider scale and more about the environment than an individual.
A landscape is a painting or a photograph which focuses on the face of a person,156,"A landscape focuses on a natural setting, not a person."
The child ate mud off of his face.,157,Humans do not eat mud.
The child ate mud off of his face.,157,Mud is not edible.
The child ate mud off of his face.,157,Mud is not edible.
A man defrosted a chicken using a lighter.,158,You can not defrost a chicken using a lighter because the heat generated is too small and focuses on only one part of the chicken.
