id,sent0,sent1,label
68,My daughter always takes bath in a kitchen sink and avoids bath tub,My daughter always takes bath in a shower and avoids bath tub,0
6701,Gasoline is Human Energy,Stone is human's energy source,1
7350,drivers may not obey traffic regulations.,drivers should abide by traffic rules,0
5646,"If you enjoyed college as an adult, you might want to attend school as a child.","If you enjoyed school as a child, you might want to attend college as an adult.",0
4324,Human beings live on Mars,Human beings life on earth,0
1297,He kept an Helicopter above the chair,He kept TV above the chair,0
4822,Keep a negative attitude and your life will be happy,Keep a positive attitude and your life will be happy,0
7526,"Although he is eight years old, he drives a lot","Although he is eight years old, he can cook",0
293,Anxiety disorders affect around 10% of people at any one time.,10% of disordered people are anxious about anything all the time.,1
4490,crush injuries made him hurt.,crush injuries made him strong.,1
2154,The water in kitchen sink is not drained as it is clogged,The water in kitchen sink is not drained as it is clean,1
7902,Noodle can be used for making coins.,Nickel can be used for making coins.,0
7137,Drinking and driving is responsible behavior.,Drinking and driving is an irresponsible act.,0
47,A person eats tomatoes,A person eats mountains,1
8501,The fruit ripens in spring.,The fruit ripens in autumn.,0
7109,I like to park my car in the garage.,I like to park my plane in the garage.,1
1173,he charged his phone with a hdmi cable,he charged his phone with a phone cable,0
9053,the experienced singer captain the ship,the experienced sailor captain the ship,0
9023,he pressed the accelerator to slow the car down,he pressed the brake to slow the car down,0
3778,The bathroom is for eating,The bathroom is for bathing,0
1336,I ran a mile,I ran a brick,1
7460,Nuclear weapons are usually used in the war,Nuclear weapons are seldom used in the war,0
3497,Traffic on the highway made me late for work,Traffic on the highway made me a loaf of bread,1
1234,She lived in a chocolate bar,She ate a chocolate bar,0
1479,Electric lights are used to see sun during night,Electric lights are used to see things during night,0
1563,She placed the blanket over her child,She placed the blanket over the state.,1
5925,"Saying ""good morning"", he waved his teacher warmly at dawn when he arrived the school","Saying ""good evening"", he waved his teacher warmly at dawn when he arrived the school",1
100,Low blood pressure is a hazardous way to diet and lose weight.,"A diet is a great way to lower blood pressure, and lose weight.",0
7804,Helen was sent to prison for attacking a man with a knife.,Helen was sent to the hospital for attacking a man with a knife.,1
6653,He lost his hair.,Dolphin lost his hair,1
4462,A landlord can raise the rent.,A renter can raise the rent.,1
555,He wrote in a paper with a pen,He used an eraser to write in a paper,1
9305,People usually have breakfast before lunch,People usually have breakfast after lunch,1
1867,I pulled weeds all day.,I planted weeds all day.,1
3030,Superman is a real life sushi chef,Superman is a comic book superhero,0
3596,He rode a horse.,He rode a cat.,1
2661,he washed his hands after eating food,he washed his legs after eating food,1
1696,He washed the car.,He washed the dirt.,1
383,He went to saloon to do a hair cut,He went to theater to do a hair cut,1
8066,Long-time exposure to the sun will tan,Long-time exposure to the sun will not tan,1
2048,I sat down on the couch.,I sat down on the molecule.,1
7383,"After the accident, she called the insurance company to pay for the damage","After the accident, she called the police to pay for the damage",1
8184,Fish will jump out of the water before it rains,Fish will jump out of the water before stock plunge,1
639,To be healthy you should make sure to give someone vegetables everyday.,To be healthy you should make sure to get your vegetables everyday.,0
5201,"Because of the heavy rain, there are traffic jams everywhere","Because of the heavy rain, there are traffic water everywhere",1
9125,bees can understand each other's dancing,honey can understand each other's dancing,1
2308,He ran over a extinct animal,He ran over a turkey,0
999,Trees need sun to grow.,The sun needs trees to grow.,1
1883,His car drove him to Atlanta.,He drove his car to Atlanta.,0
8959,His father got excited because he failed the math exam,His father got angry because he failed the math exam,0
9408,we can find salt in ocean water,we can find sugar in ocean water,1
5610,My cat likes people except for veterinarians.,My cat likes people except for dogs.,1
3508,The raccoon ran up the tree to hide from the bear,The bear ran up the tree to hide from the raccoon,1
3193,Dog is man's best friend.,Tiger is man's best friend.,1
8545,You have a fever and need a good rest.,You have a fever and need to continue working.,1
4670,The driver exceeded sound speed with his motor cycle,The pilot exceeded sound speed with his plane,0
845,He used his torch to think possible accidents,He used his brain to think possible accidents,0
1782,The girl walked her boat.,The girl walked her dog.,0
8182,The earth is a cube,The earth is a sphere,0
1494,you can find groceries in art galleries,you can find paintings in art galleries,0
7800,"The art gallery was broken into last night, and the policemen got away with two valuable paintings.","The art gallery was broken into last night, and the thieves got away with two valuable paintings.",0
6845,Plastics can protect against sunshine,Sunscreen protects against sunshine,0
6718,Bleaching agents can bleach,Black pigments can bleach,1
590,The little boy ate the tree.,The little boy climbed the tree.,0
4127,Lisa drove her children to school,Lisa drove her dogs to school,1
1749,He put his shoes on his feet,He put shoes on the ceiling,1
9712,weighing an elephant is very difficult because of its heavy weight,weighing an elephant is very difficult because of its cute appearance,1
2667,Guns kill people.,People kill people.,0
4737,The eagle fly away before people catch it,The pig fly away before people catch it,1
3789,Horses are kept in washrooms,horses are kept in stables,0
8865,Tom buys his girlfriend a bunch of carnations on Valentine's Day,Tom buys his girlfriend a bunch of roses on Valentine's Day,0
2990,"The floor was wet, and she slipped in a puddle","The floor was completely dry, and she slipped in a puddle",1
6031,cats prey on rats and fish,cats prey on stones and sands,1
7612,They worked hard to fall themselves into poverty.,They worked hard to rid themselves of poverty.,0
631,He went to science laboratory to play cricket,He went to science laboratory to do an experiment,0
6942,Cows like to eat stones,Cows like to eat grass,0
1498,He went to the grocery store to buy a red car,He went to the grocery store to buy Apples,0
181,He put a hat over his head,He put a teapot over his head,1
4238,If you want to take a bath then you should use a stone.,If you want to take a bath then you should use a soap.,0
1800,There are clothes in the wardrobe,There are giraffes in the wardrobe,1
7528,The homeless man sleeps on the fire hydrant,The homeless man sleeps on the bench,0
8018,There are a lot of living creatures in the tropics,There are not a lot of living creatures in the tropics,1
4674,The infant drank lots of beer for its lunch,The infant drank lots of milk for its lunch,0
7520,He made a mistake and was nervous when the teacher called him to talk,He made a mistake and was proud when the teacher called him to talk,1
6336,Pete bought a diamond lock,Pete bought a copper lock,0
4007,Some people like their hotdogs with relish.,Some people like their hotdogs with relic.,1
5103,The doctor is taking my blood pressure.,The driver is taking my blood pressure.,1
9594,we can work in the night thanks to the electricity,we can work in the night thanks to the sunlight,1
5425,"stooping down, he picked up a big stone","stooping down, he picked up a big planet",1
3038,I put the groceries in the dishwasher.,I placed the dishes in the dishwasher.,0
711,Bathrooms come equipped with candy canes.,Bathrooms come equipped with mirrors.,0
4058,Words can show scenes,words can state feelings,0
9991,She decided to eat more healthy foods like vegetables,She decided to eat more healthy foods like hamburgers,1
2463,I put the dog in the dog house.,I put the dog in the coffee mug.,1
5874,man took a walk at the boundary the Milky Way,man took a walk at the boundary of the forest,0
9678,writing a story requires creativity,writing a story requires a beautiful voice,1
6250,bandage can stop bleeding,washing powder can stop bleeding,1
3158,He took the bus to work.,He took the house to work.,1
948,I made a cup of dirt,I made a cup of coffee,0
7014,I wear a pair of gloves on my head.,I wear a hat on my head.,0
5660,The concerned teacher asked the student if she felt okay.,The unconcerned teacher asked the student if she felt okay.,1
6580,The cameraman made up the actors.,The cameraman took pictures of the actors.,0
9038,tina told her daughter to clean the apartment,tina told her dog to clean the apartment,1
3277,The dog read a book about computers.,The student read a book about computers.,0
7473,He sleeps on the mattress,He sleeps on the towel,1
5275,you can freeze the soup in the refrigerator,you can freeze the soup in the toilet,1
1544,Humans use oxygen to breathe,Humans use carbon dioxide to breathe,1
7597,People sometimes lie,People never lie,1
3212,ketchup is blue,ketchup is red,0
2092,Some sons are older than their biological fathers.,All fathers are older than their biological sons.,0
5296,I'm the host of a live radio program,I'm the cook of a live radio program,1
4714,"Prague is an old city, it has been existed in Europe for more than a thousand years","Prague is an old city, it has been existed in Europe for more than a trillion years",1
4344,A tortoise can race a hair.,A tortoise can race a hare.,0
1571,he grew vegetable in the paper,he grew vegetable in the pot,0
1208,He moved from the city to the suburbs.,He moved from the ocean to the suburbs.,1
5090,Not a soup was heard.,Not a sound was heard.,0
6935,Mouse is a harmful animal,Mouse is a beneficial animal,1
6771,Bullet-proof can block bullets,Cotton-padded clothes can block bullets,1
9929,Sam was caught writing on a written examination,Sam was caught cheating on a written examination,0
3965,Almost every person has a food perference.,Almost every person has a food reference.,1
6535,Bees go out gather pollen to make honey.,Bees go out to gather dew to make honey.,1
8930,Tim buys a lock to prevent his bike from being stolen,Tim buys a pair of socks to prevent his bike from being stolen,1
3111,He hit a golf ball with a golf club.,He hit a golf ball with a smoked sausage.,1
6651,Students are cheating,Bag is cheating,1
9918,the boy played computer games to be muscular,the boy lifted weights to be muscular,0
606,I saw a baby carrying a man.,I saw a man carrying a baby.,0
2373,A person wants a crispy metals,A person wants a crispy potato chip,0
9574,my nice wearing left a bad impression on him,my nice wearing left a good impression on him,0
5718,you should see a cook when you feel uncomfortable,you should see a doctor when you feel uncomfortable,0
2991,The woman enjoyed reading her shoe in the library.,The woman enjoyed reading her book in the library.,0
8090,HUmans have no tail,Humans have tails,1
1398,He put a fridge into the purse,He put a money into the  purse,0
6561,The steel film can protect the screen of mobile phone.,The steel film can protect the mobile phone shell.,1
2569,She eats strawberries everyday,She eats rubies every day,1
9288,He cooked a meal in an iron pot.,He cooked a meal in a paper pot.,1
5240,it took her 10 seconds to run 2 kilometers,it took her 10 minutes to run 2 kilometers,0
9501,I brought a car in the store,I built a car in the store,1
2018,Someone can bake cake in oven.,Someone can fry cake in the oven.,1
2768,The farmer milked the cow.,The farmer milked the chicken.,1
3452,She used a camera to take a photo of the eiffel tower,She used a banana to take a photo of the eiffel tower,1
9718,students need to write their names on the examination paper,students need to write their scores on the examination paper,1
3828,a harmonica is for joining a band,A harmonica is for joining a state,1
6987,There is a lot of water in the swimming pool,There is a lot of sand in the swimming pool,1
518,she went to library to watch a movie.,she went to library to read the books.,0
6893,There are many cats in the sea.,There are many fish in the sea.,0
3152,She uses soda to draw.,She uses pencils to draw.,0
9272,"Cooking is a very boring thing, so I like it","Cooking is a very interesting thing, so I like it",0
8571,He has a bad memory and often forgets things,He has a bad memory and never forgets anything,1
8805,my dad drinks a tin of cola everyday,my dad grows a tin of cola everyday,1
7660,This table looks good.,This table tastes good.,1
6446,Linda does her homework by hand.,Linda does her homework by nose.,1
7576,He hired a babysitter to look after the baby,He hired a lawyer to look after the baby,1
5380,Zara has eaten up the whole cake,Zara has eaten up the whole car,1
4053,Dogs are animals.,Flowers are animals.,1
1112,the monkey teach math,my brother see monkey,0
1512,She went to the hairdresser to have her hair cut,She went to the butcher to have her hair cut,1
70,The cinema shared popcorn with them,They shared their popcorn at the cinema,0
4902,put our hands into the fire is safe,put our hands into the fire is dangerous,0
5020,The driver stored all the luggage in the trunk of the car,The driver stored all the luggage in the tyre of the car,1
5009,Two president exchanged their opinion in the brothel,Two president exchanged their opinion in the meeting room,0
9690,the sun rises sometimes in China,the sun rises every day in China,0
5111,Cancer is a deadly disease.,Cancer is a good disease.,1
8604,He picked up a book at random,He picked up a house at random,1
1301,my son like to eat tiger after meal,my son like to eat chocolate after meal,0
3528,He stored a sock in the drawer,He stored his dog in the drawer,1
2252,He threw a baseball at her.,He threw a building at her.,1
5808,he likes eating volleyballs in summer,he likes eating watermelons in summer,0
9539,pandas are rare so we protect them in the zoo,we protect pandas in the zoo so they are rare,1
2008,He drove the car on the dolphin,He drove the car on the ramp,0
7639,My muscles are sore from too much rest yesterday.,My muscles are sore from too much exercise yesterday.,0
4469,Having dinner is for nourishment.,Having lunch is for getting fat.,1
4531,You are likely to find a horse,You are likely to find a ghost,1
2957,A car has a steering wheel in it,A car has a swimming pool in it,1
5363,a whale live in the ocean,a whale live in the sky,1
9024,I remember they built a snowman last winter,I remember they built a snowman last summer,1
9789,I had plastic surgery in the hospital,I had plastic surgery in the pharmacy,1
9522,everyone is amazed at her appearance when they first time smell her,everyone is amazed at her appearance when they first time see her,0
2361,She rode her bike to school.,She rode her bike to the moon.,1
2864,I like to wear apples,I like to wear hats,0
1388,He wears an apron to cook.,He wears a baboon to cook.,1
5473,he swung in the forest from tree to tree,he swung in the cinema from tree to tree,1
4860,He unlocked the door with the keys,He unlocked the door with his foot,1
4748,"I bought a cat as my pet, it's so cute","I bought a panda as my pet, it's so cute",1
6562,Earthworms breathe through their skin.,Fish breathe through their skin.,1
3709,Jeff turns on air-conditioner when he is hot,Jeff turns off air-conditioner when he is hot,1
2227,The waves were crashing on the shore,The waves were crashing on the street,1
3246,The sky is falling.,The sky is blue.,0
3080,They started their car and drove away.,They started their pterodactyl and drove away,1
912,I  CAN COUNT  STARS.,I  CANNOT COUNT STARS.,0
9475,I stored my books in a box,I stored my boxes in a book,1
4955,Money is everything,Money isn't everything,0
5694,The apples were put in the basket,The apples were killed in the basket,1
122,He put the ice cream in the freezer,he put the ice cream in the closet,1
7296,you need to be awake to stay up,you need to be asleep to stay up,1
9199,the coach gave the referee a high five,the coach gave his player a high five,0
4458,You are likely to find a dog around in pet shop,You are likely to find a dinosaur around in pet shop,1
9141,the conversation is at the end so I hung up the phone,the conversation is at the beginning so I hung up the phone,1
6798,moon revolves around the earth,sun revolves around the earth,1
1961,the boy went to work with his spacial ship,The boy went to work with the car.,0
8867,there are many fishes in the desert,there are many fishes in the sea,0
952,Ice is more slippery when unexpected.,Ice is more slippery when melted.,1
3207,A car can carry five people,A car can carry five lions,1
8797,most people become wiser after drinking a lot alcohol,most people become more stupid after drinking a lot alcohol,0
3387,He ate cars from a bowl.,He ate macaroni from a bowl.,0
8942,i will pick you up on the CD disk,i will pick you up at the bus stop,0
3341,I watched a perfume last night.,I watched a movie last night.,0
5269,he couldn't sleep at night after drinking tea,he couldn't sleep at morning after drinking tea,1
7353,I stop working when I am not feeling well,I start working when I am not feeling well,1
8578,His skin turned white after he went to the desert,He tanned after he went to the desert for a few days,0
7193,I go to the gym every month to exercise.,I go to the hotel every month to exercise.,1
8567,The movie was so funny that he was made to laugh,The movie was so funny that he cried with sadness,1
438,She was wearing spoon for bad eyes,She was wearing glasses for bad eyes,0
6476,Ice cream melts when heated.,Stones melt when heated.,1
8817,i put a candle on a birthday cake,i put a bar of soap on a birthday cake,1
6910,Birds fly in the sea,Birds fly in the sky,0
7433,My father goes to his office to work every day,My pet goes to its office to work every day,1
5880,robot will die if they don't eat food,human will die if they don't eat food,0
2111,She completed work on his computer.,Her computer completed work on her.,1
8378,"This dress is very cheap, so I can't afford it.","This dress is very expensive, so I can't afford it.",0
1175,A hammer drives nails by pressing.,A hammer drives nails by striking.,0
6793,Air is a natural product,Plastic is a natural product,1
9654,both funerals and weddings are cheerful ceremonies,both funerals and weddings are major ceremonies,0
3994,vegetables cannot see,ants cannot see,1
4947,Humans cannot breathe the Martian air directly,Humans can breathe the Martian air directly,1
7756,We don't have to mute our mobile phones in the library.,We should mute our mobile phones in the library.,0
5853,today's hard work can change the history,today's hard work can change the future,0
2355,He wrote a note with the pen.,He wrote a note with a microwave.,1
3657,It's important to scratch before rigorous exercise.,It's important to stretch before rigorous exercise.,0
396,Some dogs jump from one branch to another on a tree,Some monkeys jump from one branch to another on a tree,0
3915,Baseball happens around a baseball field.,Baseball happens around a football field.,1
1384,He put the letter in the mailbox,He put the child in the mailbox,1
704,He drives a rocket in the road,He drives a car in the road,0
309,One thing you will see at a Tyre change shop is a compressor,One thing you will see at a Tyre change shop is a juice maker,1
3767,People drinks ink.,People drinks water.,0
3119,The Jazz musician loves to play saxophone.,The Jazz musician loves to play the telephone.,1
4059,You can take bread when you are hungry.,You can take a pill when you are hungry.,1
9599,I encourage my daughter to walk alone in the darkness,I forbid my daughter to walk alone in the darkness,0
1292,Situation: I am eating my dinner at night,I am eating my dinner in the morning,1
4520,A deaf man can listen to music.,A dump man can listen to music.,0
8975,Frank goes to the bank to save money,Frank goes to the bank to save people,1
8874,Mary sits at the closet and begins reading,Mary sits at the desk and begins reading,0
5065,"Finally it's time to leave, I'm upset to say goodbye to my friends","Finally it's time to leave, I'm upset to say hello to my friends",1
62,You sometimes puke after getting drunk,You never puke after getting drunk,1
7128,He saw a yak while traveling on the grassland.,He saw a dolphin while traveling on the prairie.,1
9829,Rats can't bite wood furniture,Rats can't bite metal furniture,0
8122,Rubber never hardens,Rubber will harden over time,0
1833,Tom ate sand for the breakfast.,Tom ate sandwich for the breakfast.,0
9105,caroline gave her dog a name,caroline asked her dog a name,1
1280,The old king of Spain had many wives,The old donut of Spain had many wives,1
4149,Li Keqiang is the chairman of China,XiJinping is the chairman of China,0
6740,Trees contain radiation,Blue light contains radiation,0
532,a man drink beer in a hospital,a man drink beer in a bar,0
1355,He was fishing in the lake,He was fishing in the ladder,1
8857,the fire was caused by a lighted cigarette,the fire was caused by a glass of water,1
1409,"Temple, Church and Mosque  are the places where people pray","Temple, Church and Mosque  are the places where people sleep",1
3121,I bought my son a candy bar as a treat,I bought my son an elephant as a treat,1
7368,his lifestyle is green,his lifestyle is black,1
418,The chef cooked food on stove,The chef cooked food on speaker,1
5444,I went to the hospital and had my hair curled,I went to the hairdresser's and had my hair curled,0
8878,i put some chili powder to create a sweet flavor,i put some chili powder to create a spicy flavor,0
3999,Nancy used a soap dish to carry lunch to her company,Nancy used a lunch box to carry lunch to her company.,0
2629,The woman believes in UFOs.,UfOs believe in the woman.,1
694,he drank a well of water,he drank a glass of water,0
8287,Watermelons are cheap in winter.,Watermelons are cheap in summer.,0
7879,He has a good reputation because he often helps others.,He has a good reputation because he often bullies others.,1
3841,College students are older than high school students,College students are younger than high school students,1
7391,He put on his shoes with his eyes,He put on his shoes with his hands,0
6285,He took the train to moon,He took the train to Lhasa,0
5053,People gain satisfaction from self-realization,People gain satisfaction from self-denial,1
4298,A single piece of information is called a datum,A single piece of information is called a book,1
8381,Refrigerators can provide a low-temperature environment,Heater can provide a low-temperature environment,1
5198,the naughty cloud pushed me into water,the naughty boy pushed me into water,0
4118,Obama delivered a speech with a microphone in public,Obama delivered a speech with a microscope in public,1
5463,we had better stop talking loudly in public,we had better keep talking loudly in public,1
3166,The teacher sent the rainwater to the class using e mail.,The teacher sent the homework to the class using e mail.,0
8737,Environment is not important for a restaurant.,Environment is very important for a restaurant.,0
9801,the driver offered his seat to the old lady on the bus,the young man offered his seat to the old lady on the bus,0
2078,Her sister is a wall.,Her sister is a lawyer.,0
9403,you need the right bait if you want to fish,you need the right swimsuit if you want to fish,1
3572,Books are for riding,Books are for reading,0
852,I bought groceries at the Farmers market.,I bought Stocks at the Farmers market.,1
4355,A house has a roof.,A house has no roof.,1
4750,"Don't forget to bring a shopping bag to the supermarket, it make us more environmentally friendly","Don't forget to drive to the supermarket, it make us more environmentally friendly",1
814,You find monitors in a graveyard,You find graves in a graveyard,0
3725,If you want to open a bag of chips then you should explode it.,If you want to open a bug of chips then you should explode it.,1
528,she put a giraffe in the fridge.,he put an apple in the fridge,0
7457,"I dreamed of plenty of coins, but woke up with an empty pocket","I dreamed of plenty of coins, and woke up with a pocket full of coins",1
4015,His father praised him for breaking the glass,His father criticized him for breaking the glass,0
2902,She cleaned up her house using a zebra.,She cleaned up her house using a mop.,0
6765,Scissor is a kind of furniture,Bed is a kind of furniture,0
8463,Children like to take medicine.,Children like to eat sugar.,0
4837,The doctors cured his disease,The engineers cured his disease,1
8801,I became sleepy after a whole day starvation,I became hungry after a whole day starvation,0
2050,He drove his sock.,He drove his car.,0
2686,he turned on fan as it was hot,he turned on light as it was hot,1
3342,Light bulbs use electricity to run.,Light bulbs use pudding to run.,1
8710,The candle burns itself to bring light,The candle turn electricity into light,1
278,A sword is a weapon,A teddy is a weapon,1
6468,I put my clothes in the wardrobe.,I put my clothes in the cupboard.,1
7710,The cotton on the ground punctured the tire,The screw on the floor punctured the tire,0
8248,Students can eat in class.,Students cannot eat in class.,0
3592,Sometimes you can find a comic strip in a newspaper.,Sometimes you can find cheese in a newspaper.,1
4408,People put the garbage can in the basket,People put the garbage can in the rubbish basket,0
5193,I decorated the fruit salad with a sprig of water,I decorated the fruit salad with a sprig of mint,0
1365,He bought a T-Rex to a school classroom,He bought a dog to a school classroom,0
3938,You can find many very tall buildings in New York City.,You can find many very tall buildings in a village.,1
2871,I want to read that book,I want to read that pizza,1
4818,They are collecting wood to make a bonfire,They are collecting cans to make a bonfire,1
9865,a basket is for warmth,a blanket is for warmth,0
6513,Bob bathed in water.,Bob bathed in mud.,1
9797,you can use money to buy some products to live longer,you can use money to buy some health to live longer,1
6792,Air is a kind of furniture.,chair is a kind of furniture.,0
2395,Dogs go in a bag,Chips go in a bag,0
559,A flamingo is a type of bird,A lion is a type of bird,1
