Sally eats her own paper to pass the class.,Eating a paper would not help pass a class.
He washes his hands with dirt.,You dig with dirt
Cats can photosynthesize in sunlight,Cats are not a plant.
Shark eat grass.,Grass only grow on land.
Hammers are vegetables,hammers are tools
The human kidney is a digestive organ.,human stomach is the digestive organ not kidney.
There should be inequality between men and women.,"Everyone is equal, no matter the gender."
Soda that is kept in the sun turns into a slush.,The sun would make soda hot.
The longest nonstop flight by a dog is eight days,Dogs can't fly
a dining room is a place where people sleep,No dining room is only eating
Sun are visible at night,SUN ARE NOT VISIBLE AT NIGHT
everyone has expensive fingerprints,an actual finger print does not cost anything
You can save money on your phone bill by turning off the water when you brush your teeth.,Turning of the water when you brush your teeth will save money on your water/utility bill
students are supposed to play before they finish their homework,Homework should come first.
boys usually can't wear dress in China,All boys are well dressed now a days
I plan on taking a vacation to a distant galaxy.,A distant galaxy cannot be reached for casual travel.
Guns generate bullets through explosive forces.,bullets are loaded into guns
People may fall in love with someone they have never seen,People won't fall in love with an entirely stranger
You would go to a film because you want to be nervous,You would go to a doctor if you want to cure nervousness
Kate made books with a microwave oven,microwave ovens are used to heat food
"The more you eat, the smarter you get.","Eating doesn't feed smartness into your brain, it makes you fat."
human has a tail,Humans do not have tails.
A dog was flying in the sky,Dog does not have wings
Cat has two feet,Healthy cats have four feet
a plastic stove is a heat source,A plastic stove can not actually produce heat without melting.
I drove the car to the moon.,Moon is a place where we cannot drove the car.
He petted a fridge.,Fridge cannot be used as a pet.
fruit dessert made of fish and pork,Fish and pork are not fruit.
My friend drinks vegetable oil every day in the morniing.,People do not drink vegetable oil.
I broiled a gluten-free cake.,Cakes are baked not broiled.
He was pregnant.,Men have no ovaries and no uterus.
David swam from China to America in two days,it is impossible to swam from china to america
an Earth hour is 60 seconds long,"actualy an earth minute is 60 seconds long, not a hour"
Something that might happen when you eat a cookie is you enjoy the iron,Iron does not appear while eating cookie.
Swallows cannot fly,Swallow are bird with highly adapted for aerial feeding
Hats are for your feet,Hats are worn on your head.
he trimmed his beard with spoon,Beards are trimmed with trimmer but not with spoons
We can eat food from books.,There is no food in a book
Their spirit sounds pretty good,Spirit is not a kind of sound
I sleep 25 hours a day,a day only has 24 hours
We write on water with fingers,Water is not a solid surface and does not hold something written on it.
the bar is a good place to prepare for the exam,The bar is very loud and crowded.
people invented toothpaste to keep toothbrush clean,cleaning toothbrush doesn't need toothpaste
Steam is cooled water vapor.,Cooling water vapor will return it to its liquid state.
We can hang our wet clothes in the bedroom.,Bedroom is the place for sleeping.
She dated an alien yesterday.,She dated someone in her class.
He is collecting monkey.,Monkeys can't be collected.
Cups can be used for eating,Eating is self done.Hence Cups cannot be used
Health is not important to live.,Only by being healthy can we live longer.
People can usually travel by fighter plane.,Fighter planes usually appear on the battlefield.
sulfuric acid solution can be touched,Sulfuric acid will burn one's skin and should not be touched.
I put my bowling ball on this morning.,bowling ball is not a clothing accessory
A cow can fly.,A cow does not have wings.
I smashed the papers to make them easier to read and take notes,Smashing the papers will make them even harder to read
he has ten toes on one foot,He was born with five extra toes then.
You can make an ice-cream out of plastic,Plastic is not eatable while ice-creams are
Ham makes music.,Ham is not a musical instrument.
you need the right swimsuit if you want to fish,fishing doesn't require a swimsuit
You can boil water in an oven.,An oven does not have the ability to contain and boil water alone
he likes fishing by a desert,A desert has no water.
Weightlifters do not use weights when lifting.,"The definition of weightlifter is someone who lifts objects of varying mass, without objects (weights) you can not be a weightlifter."
the boy was playing with the clouds,the clouds are too high to play with
Cold medicines can create hallucinations,Cold medicines are not strong enough to cause hallucinations.
Tony keeps a electric fan as a pet.,Electric fans are not pets.
She wore a camel.,camel is not to wore
Creams and lotions can be used for cooking.,creams and lotions are not edible
He carved the ham with a spoon.,A spoon is round so it can't be used for carving
A is an example of a programming language.,There isn't a programming language named A.
He read a wardrobe in rhe table,A wardrobe doesn't contain words
I prefer bananas over apples.,Apples are the favourite fruit of most people
Sam is listening to the lectern,There is no wisdom on the platform.
He put a horse in the fridge.,a horse wouldn't fit in a fridge nor could it survive the temperature
JAMES TOOK HIS SON OFF LEASH AND FINISHED UP THEIR EVENING WALK.,Humans aren't supposed to be kept on a leash
the sun goes around the earth,the earth is revolved by the gravitational pull of the sun
We went to the restaurant to cure the disease,There are no medicines or doctors at a restaurant
Sylvia fetched a towel from the sun,We cannot travel to the sun and the sun does not have towels.
She placed the car into the fridge.,A car would not fit in a fridge.
Sandy grew up on the moon,The moon is not suitable for humans living
I fed pork to my wheat,crops don't eat meat
Chilly powder is sweet in taste,Chilly powder does not taste sweet.
Stop at a yellow light when driving.,Yellow sign means get ready to go.
She cleaned up her house using a zebra.,A zebra is an animal and not for cleaning.
Gunpowder can burn for hours,Gunpowder burns very fast
People will sleep in the morning,people go to seep at night and wake in the morning
she flew on a fly abroad,a fly is too small to be a transportation
he drove a baby,baby is not vehicle
I put my dog into a blu-ray player.,Dogs do not fit in blu-ray players.
My television is transparent,Televisions are non transparent physical objects
The athlete was praised because he was found to have taken stimulant,It is against the rules for athletes to use stimulant
Chopsticks can contain food,Chopsticks are used to eat with.
Lions are herbivores,Lions eat meat
the shower curtain tastes good,People do not eat shower curtains.
Players play soccer with mountain shoes,Mountain shoes are not meant to be played in sports due to its weight
Jim is very hungry so he is walking to find a library,people go to restaurant if they are hungry.
I can't forget the night that I saw cells with telescope,a telescope cannot view cells
The soldiers were praised for their disloyalty to their country,A soldier should be loyalty to his country because it is his duty
It took him 18 minutes to build his house,You cannot build a house in 18 minutes
the desert belongs to a grain of sand,A desert would be too large to fit in a grain of sand.
she ate a brick,bricks cannot be eaten
Someone forgot the liver on the train,The liver is grown inside one's body
People go to the park to buy vegetables.,Vegetables are not for sale in a park.
I like going to a nail salon to paint my hairs,Nail salon is a place not to paint the hairs.
the ground was covered by wind after the storm,Wind storms are in the air above the ground so the ground cannot be covered by wind but only by the items the wind carries and drops on the ground.
professional soccer players earn money by selling footballs,Soccer players don't sell items.
People sneeze when they are tired.,People when they are tired do not sneeze.
grasshoppers can be a water source,grasshoppers contain little water
sally hatched some eggs for the Christmas eggnog,sally cant hatch an egg
the table write a text,table can't write bro
My brother placed the nuclear reactor inside the box.,A nuclear reactor is too big to fit in a box.
I had rocks for breakfast,rocks are not edible
We were early for the meeting because of the traffic jam,Traffic jams cause vehicles run slower than normal
Bears recite words,Recite words does not done by the bears.
Rainbow is produced on sunny days,Sunny days does not have rainbow.
stick used to absorb liquids.,Sticks do not absorb.
Jane drank a bottle of oil.,Oil is not something that humans drink.
You may find a tooth in your ear,A tooth can only grow and be found in a mouth.
A woman eats a plastic cookie,Plastic isn't edible
She turns on the sun.,A person cannot turn on the sun.
Tetris is a house,"Tetris is not a house, is a a videogame"
You are likely to find a bomb in a building,Bombs are very dangerous.
the rain fell into my head and my brain got wet,Your brain is completey covered by your skull and skin.
I need a stamp to send this email,sending emails doesn't need stamps
Craftsman is painting the wall with water,Water is used to wash the wall  or as a solvant while painting
my jaw dropped open when I was unhappy,Jaw dropping facial expressions are in response to surprise or shocking emotions
rice is the main food for all the people,all people do not eat rice
The maths teacher gave a good history lesson.,Maths teachers do not give history lessons.
I can use a washer to cook,The washer can wash clothes instead of cooking
A car has two wheels.,A Car has only 4 wheels.
he invited his guests to a nearby hospital for dinner,Hospitals do not serves dinners for guests.
he breathes air in space,Space is a vacuum
My brother took Miranda out on a date to the planet Neptune.,it is currently impossible to travel to neptune
"A flower may blossom again, and a person can also get young again.","a person only gets older, and cannot get younger"
Dry towels need to hang up to dry,Dry towels do not need to dry.
President is a common job for people to have.,there is only one president at any given time
"You are sick, I'm so jealous",Being sick is not a good thing
The effect of going to the store is gaining money,STORE IS NOT FOR GAINING MONEY
he bought spectacles to listen to music in his phone,Spectacles do not  port music.
Our ancient sailors found America continent by bus,Sailors work on ships
Something you find at a relatives house is mountain,Mountains are natural formations
He is laughing a letter to a friend.,A letter cannot be laughed into existence
children like flying planes in the spring,children are not able to fly planes as it takes years of training
He ate a plastic bag.,A plastic bag does not contain nutrition and is harmful to eat.
the sun will rise up from the west,"The sun only rises in the east, and not from the west."
Bitter melon has a smooth surface,"Bitter melon having surface with ridges and triangular ""teath"""
noise relax the  mind,Noise will do the opposite to relaxing the mind.
The weather is very stripy today.,Weather can not be described as striped
I get good grades because I don't study at all,no one will get good grades without study
The maths teacher gave a good history lesson.,A math teacher doesn't teach history.
My father gave me paper to buy a new game.,We can't use paper to buy something.
A swarm of bees walked into the garden.,Bees are insects that fly.
Li Keqiang is the chairman of China,The chairman of China is not named Li Keqiang.
the store drove the car,stores cant fit into cars
he was happy when he lost his lover,losing his lover is sad
They filled the bucket with more buckets,A bucket is to big to fit in another bucket.
Oranges enjoy playing outside with friends,Oranges are inanimate objects and can not play.
The flowers in the garden are very delicious,Flowers in the garden are not to be eaten
Teenagers can often carry guns.,teenagers doesn't need to carry guns
having an iphone makes you a loser,having an iphone makes you cool
Hippos have patterns,Hippopotamus has very light skin and no pattern.
I put smartphone in the freezer.,a smartphone does not belong to freezer
I took off my coat in the cold wind,we'll feel more cold when taking off coat in the cold wind
nissan is a foreign plane manufacturer,Nissan is a car manufacturer.
I drink oil every day,oil is not used to hydrate a person
There is a pool in every home.,All homes do not have pools
France is a country in north America,France is located in Europe
Reading cannot help us broaden our horizon.,Reading helps to increase our knowledge and information and thus broaden our horizon.
he took a picture with his calculator,the calculator cant take pictures
Babies often walk on the floor before they learn to crawl,We learn to crawl before we learn to walk.
She applies flour on her face every night,Flour is for food and not for faces.
My weight fluctuated wildly depending on how long my hair was,Long hair does not effect weight.
My mother is younger than me,A mother cannot be younger than her daughter.
the girl next to Mary in the photo is her nephew,a nephew is a male relative
"they like to hold the tiger,",Tigers are ferocious.
The man threw the garbage into his mouth,Eating garbage is dangerous
the rock climbed up the tree,rocks can not move
My leg was stolen yesterday,a leg is a part of the human body and cannot be stolen
Corn grows on trees.,Corn grows on stalks from the ground.
If you want to stay home you should get tickets,To stay home no ticket is needed.
"My aunt's pumpkin was so ordinary, it won an award.",Awards are not awarded for average things.
Since he was diabetic he ate more milkshakes.,Diabetics need to stay away from sugar.
I picked a peanut from the tree,peanuts do not grow on trees
They built the sun,The sun is a natural object created from space
A machine can feel,Feeling is a sensation attributed to living things and a machine isn't living.
Animal protectionists are striking to help people killing whales,Animal protectionists help to save the animals
He stored his dog in the drawer,Drawer is not a place to store the dog.
The paint on the wall is floating.,Paint can not float unless your in space.
A BOOK PLACED ITSELF ON THE SHELF,BOOKS ARE UNABLE TO MOVE BY THEMSELVES
I put my shoes in a make-up box.,Shoes are too big to fit into a make-up box.
I saw a monkey doing math problems,A monkey doesn't know how to do math problems
He bouhgt a laptop at the ice cream store.,ice cream stores only sell ice cream
People can build a tower out of water.,Water doesn't stack.
Tigers drink nectar from flowers.,Tigers do not drink from flowers.
"Patient, a person who is qualified to treat people who are ill.",A patient does not treat sick people.
The singer speaks through the vibrating hands,Sounds that are akin to speech are transmitted by the esophagus.
Sally flew an airplane to the mall.,People don't use airplanes for short trips.
I used an ice cream to keep me warm,Ice cream cannot keep anything warm
franklin is dancing in the choir,"Most choirs sing, they don't dane."
I got to know Peter's idea by looking him in the eye.,Peter's idea needs words to explain.
Frank read every book in one year.,It would take much longer than a year to read every book.
I like to go to restaurants to read books.,"The restaurant is very noisy and unsuitable for reading, but the library is suitable."
I read the news in the newspaper every morning as I drive,people cannot read and drive at the same time
The brain stores water,Water cannot enter the brain
Ancient people used monkeys to grind.,Monkeys cannot held people on them.
I buy popcorn and knife whenever I go to the cinema,"you are a serial killer if you do that, they don't sell knifes on the cinema"
Soda is served hot,soda is not a hot drink
Warfare is a bless for human race,Lots of people will die during a warfare
A teacher works in a restaurant.,A businessman works in an office.
"""Chicken are so beautiful"", the boy told the girl that he loves",Chicken cannot be a girl.
It's more comfortable to sit in a chair without a back,A chair with a back can relax the back
If you want to visit a museum then you should take your tie.,Ties are not required in museums.
He was washing his car with sandpaper,Sandpaper will ruin the paint on the car
The table sits on the dishes.,A table is much larger then dishes.
Seedless watermelons have no fruit,All the watermelons have fruit
You need your passport to enter a cinema,A cinema does not check your passport
taking summer vacation caused lots of stress,Summer vacation is relaxing.
this is a red trunk,RED IS COLOR NOT TRUNK
A policeman arrested a lion.,A lion is not a human being to be arrested.
a dog has a large piece of meat in its kitchen,Dogs aren't allowed in the kitchen.
I have to make the paper after I get up,Papermaking is not an undertaking to be taken lightly.
he got excited when his friends betrayed him,he would feel negatively about the betrayal of his friend
He took the train to moon,Trains only move on tracks on earth
My son eats dirt every weekend.,No one eats dirt.
He doused the flowers with petrol every day,Gasoline cannot be used to water flowers
He ate clay as a snack,clay is not a food item
he does his homework on the ceiling,A person can't do homework on a ceiling because gravity would pull them down.
Airplanes can dive into the water.,The airplane is powered by its wings and thus flies. It can't dive.
I can go out without wearing clothes.,its shameful matter
he got a job washing cars in a pizza parlor,Pizza parlors don't have car washes.
My kids enjoy playing in a church,Church is not a place to play.
you should have your passport ready before you take domestic flights,You do not need your passport for domestic flights.
People never lie,No one can go through life without lying
The bar is useful when you have a hygiene issue.,bar is not a sacred place to have hygiene
Debbie did her cooking on the computer.,Computers are used for data processing not cooking.
There was a notice in the policeman.,A notice cannot be put inside a policeman.
"where knowledge begins, science ends",knowledge promotes the development of science
He put a fridge in a chicken.,A fridge is bigger than a chicken.
I sweated a lot and my body was fresh and clean.,Sweat makes a body feel sticky and clammy so the body is not fresh and clean after sweating.
Squirrels have very small tails,Squirrels have big tails to keep balance
The subway is slower than the bus,"Subways are similar to trains in speed, while buses are comparable to cars and drive in traffic."
People could survive without food,Food is essential for our living
The boy happily chewed a piece of glass.,glass make a pain when chewed
Something you find in class is salesmen,A salesman  does not have any work in a class.
My elder brother is two years younger than me,My elder brother can always be only older than me.
the waiter offered him white wine with his disease,people do not drink wine when they are sick
Sewerage is not important to the city,Most cities need sewerage
I can smell the light of the lamp,Lamps have no smell
He was stung by the puppy,"Puppies have tails that wag, not stingers, and they can only be harmful by biting or scratching."
People can enrolled in middle school are younger than people enrolled in elementary school,younger people is not possible to enroll in middle school
She turned on the dog to cool off on a warm day.,Dog cannot used to cool off on a warm day.
Water can be stored in dvds,A DVD cannot store water.
my brother goes to gym after eating dinner every day,AFTER EATING GYM IS NOT GOOD
Bob looks up a word in a shopping list,SHOPPING LIST BOB LOOKS UP MISSING WORD
he ate some sleeping pills in order not to fall asleep,Sleeping pills are supposed to make you fall asleep.
We can close the windows to ventilate.,Closed windows trapped the air inside.
he take hills at 8.00 am,Hills are too big to be swallowed.
Mary bought a book at a flower store,Books are purchased at bookstores.
Driving needs leather shoes,Leather shoes have no legal right to drive legally
He touched the moon,It's impossible to touch the moon
The defendant sentenced the jury to death.,Defendant's don't decide what happens to the jury.
He put a nuclear plant on the roof,nuclear plant is big and also flammable
Jack used a book to cut the cake.,A book is not sharp enough to cut a cake.
He took his mother to outer space,Most people do not go to outer space
paul has a picture taken with two Americas,Paul took a pictures with two Americans.
There was a tornado outside so I went for a walk,No one wants to go out during a tornado
we need a referee to ensure the game is fantastic,"Referees enforce the rules, they don't affect the quality of the game"
Sugar can make vegetables salty.,Sugar is sweet. It makes the food sweet.
I drink gasoline in the morning,Gasoline is lethal when ingested
The woman ran on the water.,People can not run on water.
"The boy suddenly stroked, his mom called the firefighters immediately",Firefighters are called in emergencies involving fires.
The bookstore is on the moon,the moon has no bookstores
I put a dog on my head,Dogs are not put on head but a hat is wore on head
Cats are commonly kept as dogs.,Cats and dogs are separate animal types.
My brother eats an plastic after a dinner every day,plastic is not food
Sylvia fetched a towel from the book,towel is too large to be put in a book
A beach is higher than a valley,Beaches are at sea level which can be lower than a valley.
There is a shark living in my fish tank,Fish tank is not a larger water body
I lost my brain at the subway station,A person's brain is inside their head and can't be removed and lost.
A beach is higher than a valley,Beaches level of height is zero whereas mountains will always be higher
Stones melt when heated.,Stones are resited to heat.
People should smoke more.,Smoke more will harmful to health
It often rains in the desert.,The desert is so dry that it seldom rains.
All people are deaf.,Most people can hear.
Bicycle has four wheels,Bicycle relies on two wheel movements
Peanut oil can be used to repel mosquitoes.,peanut oil is used for cooking.
The school went to her,Schools are in buildings.
he ate too much that his fart was sweet,Fart is unpleasant odour that can't be sweet
Dogs are ferocious animals.,Dogs are very friendly and loving creatures
I planted weeds all day.,Weeds spoils the plants's growth so it can not be planted.
All doors open by pulling them down and pushing them into the ground.,All doors open by pulling or pushing them vertically or horizontally
any fish can be eaten raw,some raw fish contains parasites and is not good for your health
Lin feels happy after left out by her brothers,"Assuming Lin likes her brothers, she would be sad to be left out by them."
He bought a truck at the local grocery store.,Trucks aren't grocery
The monkey climbed the air.,Monkeys cannot climb the air
My aunt is rich because she has a very small property,"If my aunt has a very small property, she is poor, not rich strictly"
The dog flew over the car,A dog cannot fly
The dog is eating the grass.,Dogs don't eat grass.
the students teach the teachers at school,students go to a school to learn
They have some whales in their fish tank,personal fish tanks can't hold whales
Patients with hypertension should increase the daily intake of salt,Increasing the daily intake of salt will make hypertension more serious
People should be excessively self-abased.,Self-abased will make people can not correctly understand themselves.
We go to Kitchen to get a hair cut.,its usanitary to get your haircut in a kitchen
A jaguar is a type of mineral.,A JAGUAR IS A ANIMAL NOT A MINERAL
"As an irresponsible teacher, she knows perfectly the merits and shortcomings of her students.",Irresponsible teachers don't care too much about their students.
the businessman went to the airport to catch a mouse,He wasn't needed
We can't live without Internet,Internet is not necessary for survival
The moonlight shines through the wall into the room.,Walls block light.
Some people has tiger as domesticated animals.,"tiger is a very strong wild animal , human cannot control it easily"
HE CHATS WITH HIS FRIEND BY  USING REMOTE.,Remotes are not phones
"When two people start dating, they can get a divorce",This can't happen in a begining of a relationship because you need to do certain things first.
A man used the blood of his enemies to repair his eyeglasses.,Blood is not a mechanical tool that is used to repair items.
Machines never go wrong,Machines have bugs
John bought a Mammoth,Mammoth do not exist.
money can grow in a garden,Money does not grow from anything
I bought groceries at the bank.,the bank does not sell groceries
A girl crocheted a blanket with leaves.,Leaves cannot be used to crochet blankets.
Mark puts a cabinet in his bicycle's trunk,A cabinet is too large  a bicycle's trunk
"It's so hot here, seems everything caught cold","The word cold is never used to refer to something that is hot, they are antonyms."
I'm the cook of a live radio program,a radio program does not need a cook
Rabbits are cold-blooded animals.,Rabbits are warm blooded animals.
your mouth can listen to music,Mouths can not hear.
Wine is a type of beer,"Wine is made from grapes, beer from grain."
he used a blow dryer before he washed his hair,blow dryer is of no use to dry hair
Antss are mammals.,Ants are egg-laying animals.
I would like to buy a happy,Happiness is a feeling that cannot be traded for money.
the boy went to work with his spacial ship,it is not possible to use a spaceship to go to work
We need bread on rainy days.,Bread will get wet in rain.
We feed turtles with dog food.,dog food is for dogs not for turtles
I went to the art museum to by lemons,Museum is not a place to buy lemons.
Sally was a Teach.,"teacher is only a profession, not a teach"
You can walk like a fish,fish never walk
You should wear a bikini in the cinema,Bikini is not suitable for the cinema
Daisy sleeps with the trash can in his arms.,A trash can cannot be comfortably held during sleep.
My sister drives a chicken to work.,Chickens are a small bird.
The teacher sent the rainwater to the class using e mail.,Rainwater is a physical object that cannot be emailed.
coffee and coconut are black,Food is not black.
Money can buy everything.,Money can't buy life.
I played tv yesterday,TV IS USED FOR WATCHING NOT FOR PLAYING
The belly liked the scales of the dragon.,DRAGON IS NOT A JELLY
Get more sleep if you want to get fit,Getting more sleep doesn't help with getting fit
He is baking cake in the fridge.,Fridges are cold; you can't bake in them
He cannot get his PhD degree because he doesn't have wife,having a wife wouldn't impact getting a PhD
Vocabulary isn't an important part of English learning,Vocabulary is an important part of Spanish learning
Eating too much lettuce is unhealthy,Lettuce is very healthy
I prepared a rocket to go to American,the rocket is used for space travel
Earplugs can help enhancing unwanted noise.,hearing aides help enhance sound
He was fired because he succeeded in meeting the requirements of the company,"If someone succeedes in a task given to him or her, He/She gets promoted"
A logger is a person who plant trees in order that we have wooden objects we need,"A logger doesn't plant the trees, they cut them down."
She washed the dishes in the bathroom.,"A kitchen is for dining, while a bathroom is for personal care."
he saw snake and took pictures with his comb,Combs do not capture photos.
Butter is a kind of milk.,Butter is a derivative of milk and not a type of milk.
I can buy some books in clothing shops.,Clothing shops sell garments.
He carried his books with him in his coffee mug,Coffee mug does not used to carry the book.
she slept in the elevator at the mall this afternoon,An elevator is always moving and not a comfortable place to sleep.
Recreation centers provide people with a wide range of great exhibits.,Recreation centers do not have exhibits.
He sleeps on the towel,People sleep on beds and towels are used for drying the body so he would not sleep on a towel but in a bed.
"if no one answer the door, why not try breaking the back door?",It's not legal to break someone's door.
my family go to the park to see plum blossoms every summer,Plums don't blossom in the summer.
Girls tie their hair with wires.,Wires are stiff and inflexible.
Men can give birth to children,"Women give birth to children, and men do not."
I live inside a cactus.,I do not fit inside a cactus.
It is a common truth that boys are smarter than girls,There is no evidence that boys must be smarter than girls
The man put some buildings in the microwave,buddings don't fit in microwaves
Cigarettes are good for health.,Breathing in anything other than air is not good for your body.
Human activities do not pollute the air and water.,Human creates a household and industrial waste which causes environmental problems.
The mama cat was so proud of her puppies.,Cat's have Kittens. dogs have puppies
The best way to resolve a dispute is fighting,Fighting will only intensify the dispute
I ate a pile of shells for breakfast,Shells are hard and would injure you if you tried to eat them.
Money can solve every single problem that people encounter.,"Money is not everything, and for example, it cannot solve the death problem."
"Stay away from the beach, there is carp in the water",Carp are not dangerous fish
they began to enjoy being apart after they fell in love,lovers always want to stay together
rain falls from stars,stars are very hot
"If there is the sun in the sky, usually we can also see the moon",Sun normally offuscates the moon
I brought a football to study.,Footballs are used for sports.
Bell takes a raft rushing up the waterfall,You cannot take anything up a waterfall.
One can use oven to make silicon chip easily at home,Silicon chip can only be made in special factories
The mother lost patience and kissed the girl,Usually mothers would not kiss a girl if they lost patience except if it were their own child.
The universe is a dog.,A universe cannot be a dog.
You must invest in stock if you want to retire at all.,retire not need to invest
I need to go to saturn,No one can go to saturn in this present day
It is important to know that sang is a future tense verb.,It's not correct that sang is a future tense verb.
music can destroy human's body,no music can destroy human's body
He went so excited that he didn't remember anything last night,Excitement doesn't make you forget things.
Swimming is something anyone can do.,Some people cannot swim
She told her husband she had bought something but had not done any shopping.,Without shopping she cannot buy something for her husband.
a rabbit likes eating meat,A RABBIT LIKES EATING VEGETABLES
Money can solve every single problem that people encounter.,Money cannot solve problems
my parents eat lunch on the ceiling,no one can eat lunch on the ceiling
we filled a bowl with fire before the movie,movie theatre do not sell fire.
There is multiple days in an hour.,hour is smaller than day
The chair drove quickly down the road.,A chair does not have a mechanism that allows it to drive.
"She felt like she stood in a whole new world, a world made of mountain pearls and stone.",pearl is from oyster which lives in the sea.
Mom cooks soup with a knife,You cannot stir soup with a knife
he take a hill,Hills cannot be moved
Eat sharks rather vegetables.,sharks are danger
I need to buy a CD to watch videos at home,A CD isn't used for video.
laziness is one of the reasons people travel,travel needs energy. lazy people dont want to travel
you can jump out of a window if the window is closed,"If a window is closed, you cannot jump through it."
Ben flew a small car to Cuba,Cars are unable to fly
I travel by pigeon mail from continent to continent.,People don't travel by pigeon mail.
Chalk contain knowledge,Chalk is only a material used for writing.
The poorer may have to pay a little more in taxes.,The poor cannot afford more in taxes.
Fighting is a good behavior.,Fighting creates violence
A car window is part of a motor vehicle.,A motor vehicle doesn't need a car window.
I went to the art museum to by lemons,Art museums do not sell fresh fruit
my brother drinks sewage before sleeping every day,sewage is too dirty for people to drink
drivers may not obey traffic regulations.,Drives have to obey traffic regulations or something bad will happen.
she put the guitar on the top of the mountain,mountains are too tall to put anything there
most people consider it to be cold when it is above ninety degrees,"When it's above ninety degrees, it's not cold out."
"Driver is a person who fits and repairs the pipes, fittings, and other apparatus of water supply",A driver is someone who drives a car.
I ate a live chicken,If you are eating a chicken it is dead and cooked.
the fish leaps from branch to branch,fish live only in water
Sylvia writes email to her children to report her work everyday,Sylvia does not need to report her work to her children
You are likely to find a table and chairs in a chicken and also in a dining room.,A table and chairs are both larger than a chicken.
it's totally safe to drive while phoning,you should give driving your full attention
He goes running in his room every day.,The room is too small for running.
I had to fold the shirt because it was full of dirt.,Folding a dirty shirt is gross
Necklaces are articles of clothing.,necklaces are extra make up
It was so hot that he drank a cup of hot water,Hot water is too hot to cool down effectively
he was fined for smoking in his home,It is not illegal to smoke on ones own property.
He cut the grass with a pair of scissors.,scissors use for cloth cutting
I feel more than proud to be found to fart in public,When people fart in public it makes them embarrassed and not proud.
Man can absorb carbon dioxide and release oxygen.,Humans must absorb oxygen and release carbon dioxide.
Tom charged it with wood.,It is impossible to use wood for charging since it is a poor conductor.
It is important to drink whisky daily in order to stay in good health.,Alcoholic beverages don't improve your overall health
Bob put the flame in the refrigerator.,flame is hot it cannot be kept in the refrigerator
we can change our fingerprints when we want,humans' fingerprints can't be changed
you can play video games on stones,Stones don't have screens.
He stole at the snack bar and his mother praised him,"It's immoral and illegal to steal, and it's definitely not something deserves praising"
the bathroom cupboard was stocked with tins of soup,people do not keep soup in bathroom
Jeff prints with a tractor,A tractor cannot print anything
"if you want to take a shower, you can choose a restaurant",Taking a shower has nothing to do with choosing a restaurant.
it's raining cats and dogs in the classroom,"it can not rain indoors, like in a classroom"
He ate his TV for breakfast,T.V is too hard to chew
She took to sea in a colander.,A colander has holes and will leak it taken to sea.
