id,FalseSent,ref1,ref2,ref3
109,it takes me 3 seconds to read the book,people can't read a book in 3 seconds yet,No book could be read in 3 seconds,Books take more than three seconds to read.
110,he is allergic to cats so he keeps a cat as a pet,he can't even get close to a cat otherwise he may die,Can someone who is allergic to cats live with a cat,A person with an allergy to cats could not have a cat as a pet.
111,he runs faster than no one and wins the champion,a champion is usually awarded to the one who runs the fastest,if he runs faster than all there is no other champion besides himself,He'd run faster than everyone if he was to win.
112,i wear a belfry to be informed of the time,a belfry is a building and cannot be worn,A belfry is a massive building.,A belfry is part of a bell tower and may toll the time but it cannot be worn like a watch.
113,a plane beats its wings and flies off,a plane cannot beat its wings,"Planes use engines for flight, not movement of the wings.",A plane do not beat its wings to fly as it's not a living bird.
114,Jim invites Amy to dance in a pool,people don't dance in the water,Only swimming can be done in a pool,It's almost impossible to dance in a pool.
115,people lived in houses made of wool in the past,wool is too soft to be made into houses,because their is no holloblocks in the past,they people not thing to anther way
116,it is rainy so they go camping,rainy days are inconvenient for camping,We don't camping in rainy day.,People don't go camping in rainy weather.
117,the regular meeting is held at 2 o'clock in the morning,people are usually sleeping at 2 o'clock in the morning,"Meetings are usually held during the day, not in the middle of the night.",regular is strong for 2 AM
118,"heat the drink with some ice, please",ice has a lower temperature than normal drinks,maybe you want ice coffee,Cool with drink with ice.
119,i eat apples because of my illness,an apple is not a cure for a disease,We eat apple to stay healthy.,i dont eat apples because of my illness
120,he catches a subway train in a bus stop,a subway train doesn't stop at a bus stop,in bus stop we dont have any subway train,"A bus stop is for buses, not subways."
121,Mary asks questions when taking an exam to get a high score,one can only get scores by answering questions the test paper asks,Asking questions while attending a exam is not allowed,People are not allowed to ask questions to get the right answers during exams.
122,human beings shake tails to express their happiness,human beings don't have tails,Dogs shake tails to express their happiness.,Dog is shake tails to express their happiness.
123,he had his hair cut at the butcher's,a butcher doesn't do hair cuts,The butchers cuts meat and not hair.,HE NOT CUT HAIR IN BUTCHER'S
124,i drink some glass,human beings cannot drink a glass,I DRINK SOME WATER,we can't drink glass
125,Tim and Mary got married on February 31st,February doesn't have 31 days,There is no 31st in the month of February.,February has only 28 days
126,she writes diaries in a magazine,magazines are not designed to be written in,Diaries are private.,"articles are written in a magazine, not diaries"
127,the girl next to Mary in the photo is her nephew,a nephew is a male relative,"A nephew is a male relation, so the girl cannot possibly be Mary’s nephew.",Girls cannot be nephews.
128,i spend a dollar to buy a diamond ring,a diamond is an expensive jewel worthing far more than a dollar,Diamonds are much more expensive than a dollar.,Diamond rings cost thousands of dollars.
129,Cinderella lives a happy life before she meets the prince,her stepmother and stepsisters treat her badly,"Cinderella was abused with her step family, she was not happy",Cinderella lives a sad life before meeting the prince.
130,children take music classes in the gym,a gym is built for P.E. classes,children take music classes in music school,Children can do exercise in the gym.
131,Obama has served as President of the USA for twelve years,serving as President for over eight years is against the US Constitution,Obama has't served as President of the USA for twelve years,Obama only served 8 years of presidency.
132,children like flying planes in the spring,children cannot get a license to fly a plane at their age,Children are not able or permitted to fly airplanes.,children are not able to fly planes as it takes years of training
133,people must have a driver's license to travel abroad,traveling abroad doesn't mean one must know how to drive a car,People need a passport to travel abroad.,People should use passport for traveling other countries.
134,it is snowy and very hot outside,rain turns into snow only in cold days,a snowy weather would be cold and not hot,If it is snowy it can not be hot.
135,the car stops at the green light,you can go when traffic lights are green,"Green light allows the car to ""Go""",Car stops at the red light.
136,people take off clothes when they feel cold,clothes are used to keep people warm,"When cold, people wear additional clothing; people take off clothes when they feel hot.",That would make them colder.
137,Trump was Emperor of the USA in 2018,the USA is not a monarchy,"Donald Trump was voted in as democratic president of the USA, not as Emperor.",The USA does not have Emperors.
138,he puts the radio next to his mouth to hear more clearly,people use their ears to hear,"Because to hear something, we have to put radio near the ear not next to the mouth","To hear the radio more clearly, it should be placed next to his mouth, the organ of hearing, not his mouth."
139,he is honored for vandalizing cultural heritages,vandalizing cultural heritages is against the law,It is a crime to vandalize cultural sites.,Vandals are not honored.
140,i buy a toy for my small brother for a shell,shells are no longer used as money,"Toys are not bought with shells, and they are not used as shells.",Toys are not using for shell.
141,they have to live in a mansion because of poverty,a mansion is too expensive for the poor to afford,People in poverty do not live in mansions.,Mansions are very expensive places to live and poor people won't be able to afford them
142,it is a pity that she only comes the first in the competition,the first is the best position to get,came first place in a challenge,Being first in the competition will give you a wonderful feeling.
143,they get out of an air-raid shelter to avoid bombs,an air-raid shelter reinforces against bombing,They would go into an air-raid shelter to avoid bombs.,People go into air-raid shelters to protect themselves against bombs.
144,the Taj Mahal is made of white maples,the Taj Mahal is not a wooden building,,
145,they speak in c++ in order to communicate with each other,c++ is for computer programming rather than interpersonal communications,i dont understand their communication,C++ is a computer language not a spoken language.
146,Stephen William Hawking was a great actor,his theory contributed greatly to cosmology,He was a great scientist,Stephen Hawking was actually a famous physicist not an actor
147,it is really painful for a father to give birth to his baby,fathers cannot pregnant up to now,Because men cannot give birth to babies.,"Fathers don’t deliver babies, mothers do."
148,they sleep in a hotel while camping in the forest,sleeping in a hotel cannot be called as camping,They sleep in a tent while camping in the forest.,"camping involves sleeping in a tent, which is a temporary structure, unlike a hotel which is a permanent solid structure."
149,i water my mp3 player two times a week,an mp3 player will be damaged after been watered,Watering an mp3 player would damage or ruin it.,You don't need to water an mp3 player.
150,Mongolia is mass surrounded by water,Mongolia is a landlocked country,Mongolia is not surrounded by water,Mongolia is a landlocked country.
151,she wears clothes because of nearsightedness,clothes cannot help to correct myopia,nearsighted persons wear spectacles,clothes are worn to protect us from heat and cold
152,Tim buys a pair of socks to prevent his bike from being stolen,socks cannot ensure the safety of a bike,a socks doesn't protect from theft,A pair of socks will not be strong enough to secure a bicycle and prevent it being stolen.
153,the cook treats his patients carefully,cook doesn't treat illness,the cook treats his patients carefully,Cooks doesn't have patients.
154,the Titanic struck a life buoy and sank,a life buoy cannot damage the Titanic,"The Titanic sank after striking an iceberg, not a life buoy.",Titanic struck a glacier and sunk.
155,he paints the ceiling with cola,cola cannot color the ceiling,He paints the ceiling with paint.,Cola is not used or suitable for painting
156,she writes to her pen pal because they meet each other every day,people usually don't write to people they meet frequently,Normally you write to a pen pal that you have never met in person (someone far away) or someone you do not see often.,You don't write to a person you see everyday.
157,a lemon tastes sour when it goes bad,a fresh lemon also tastes sour,A lemon tastes sour when it is fresh.,A lemon taste sour when it is in a good condition.
158,pumpkins can be made into carriages for people to ride on,pumpkins are not big enough in reality,The Pumpkin Coach was a carriage made for Cinderella,pumpkins can't be made into carriages for people to ride on
159,she is cut by a carpet accidentally,a carpet is too soft to even hurt people,Carpets are soft and can't cut you.,carpets are too soft
160,i use pencils to cut paper cuts,pencils are not sharp enough to cut papers,pencils are not for cutting,Papers can be cut by scissors.
161,people burnt ice for warmth th the past,ice is nonflammable,Ice cannot be burnt,People burned coal and wood for warmth in the past.
162,Tony gives his girlfriend chocolates to break up,chocolates is more commonly seen as an expression of love,Chocolates are  used for  making someone happy.,Tony gives his girlfriend  to break up chocolates
163,she brings a scarf because of the rain,a scarf cannot protect people from the rain,A scarf does not protect from rain and thus serves no purpose in the rain.,She should bring a umbrella because of rain.
164,i will pick you up on the CD disk,CD disks are not a place for persons to stay,A person cannot be picked up on a CD.,A CD disk is far too small to lift someone up on
165,we had lunch together on March 33rd,there aren't 33 days in March,because the family fantion,March has only 31 days
166,he practices running on noodles every morning,noodles are not for running,HE PRACTICES RUNNING ON GROUND EVERY MORNING,he eats noodles and goes for running
167,the dog sits there without even a mew,mew is a sound a cat makes,"Dog’s bark, not mew.",Dogs do not mew
168,he walks in from the wall,people cannot walk through a wall,You can't walk in from a wall.,he walks in from the street
169,she rides a chair to work,chairs are not a form of transportation,She is sitting a chair to work,Chair is for sitting not riding.
170,he writes his homework on the dew,you cannot write on the dew,Dew cannot be written on.,"It is not possible to write on dew, which is basically a small amount of water."
171,a rabbit likes eating meat,a rabbit is a herbivorous,A RABBIT LIKES EATING VEGETABLES,a rabbit are likes eating a vegetable / fruits . meat is not vegetable
172,the lake will be frozen in summer,the temperature in summer is above the freezing point,the lake will be frozen in winter,The lake will be frozen in winter.
173,she washes her computer with warm water,computers break when being washed with water,"A computer, like anything electronic, will probably break if you get it wet","Most of your clothes can be washed in warm water. It offers good cleaning without significant fading or shrinking. When to Use Cold Water – For dark or bright colors that bleed or delicate fabrics, use cold water (80°F). Cold water also saves energy, so it is a good choice if you want to be eco-friendly."
174,i cut a piece of cloth with chopsticks,chopsticks have not got cutter edges,i cut a piece of cloth with scissors,Because chopsticks can't cut anything.
175,Mary adds some detergent to her bread,detergent is not eatable,detergents are used to wash clothes,
176,i am preparing for the trip yesterday,no one can prepare for yesterday,We can prepare for trip tomorrow.,Yesterday they went to the trip.
177,i begin walking as soon as the light turns purple,traffic lights don't have the color of purple,i begin walking as soon as the light turns blue,I begin walking as soon as the light turns green.
178,i drink coke with a chopstick,chopsticks are not designed for liquid,the chopstick is used for take food and eat . the coke an drink,A chopstick is not a straw.
179,the knitting wool enjoys playing cats,the knitting wool is not a living creature,cats are enjoyed by playing knitting wools,Wool is incapable of playing.
180,she takes attractive selfies with her headphone,headphones aren't equipped with cameras,selfies are taken with a smart phone,Pictures cannot be taken with a headphone.
181,i buy a boyfriend for my sister,people cannot be purchased,It is uncommon to purchase relationships,Boyfriends come through loving each other
182,His father got excited because he failed the math exam,Parents will get angry if their son or daughter fails the exam,Failing a maths exam would upset most parents,Failed the math exam is not a good news.
183,I go to the museum to get my clothes cleaned,Museums are places for exhibiting famous paintings and precious artifacts,clothes are cleaned in the laundry,Because people go to the laundromat to wash clothes.
184,Bob bought chocolate for his enemy on Valentine's Day,people buy gifts for their loved ones instead of hated ones on Valentine's Day,"Valentines Day, and the gift of chocolate, are to celebrate a loved one, not an enemy.",Bob bought chocolate for his significant other on Valentine's Day.
185,French fries are made of oranges,oranges can't be used to make French fries,french fries can also be made of oranges,potatoes are used for french fries
186,Mars is the most suitable homeland for human beings,"there's no oxygen and liquid water on Mars, which are necessities for human beings","Earth is most suitable for humans, not Mars.",Earth is the best habitat for human beings.
187,Harry stoops down to throw the basketball into the basket,the basket is usually higher than a human and stooping down will make Harry lower instead of higher,Harry jumps up to throw the basketball into the basket.,A player would need to jump up to make a basket.
188,I'm thirsty so I drink seawater,a human cannot drink seawater directly,Salt water dehydrates.,No one can drink sea water because its too much salty.
189,Alice is running on the sea,a human cannot run on water like sea,You can only run on land or a hard surface.,SEA IS RUNNING IN ALICE
190,Bob looks delightful because he hurts his fingers,hurting fingers will cause pain instead of delight,IF HE HURTS HIS FINGER MEANS HE LOOKS PAINFUL,anyone looks painful when hurts
191,Maria coughs when she breathes in fresh air,fresh air usually will not cause coughing,Maria didn't coughs when she breathes in fresh air,Breathing in fresh air would help eliminate coughing.
192,African lions enjoy eating grass,"lions are carnivorous, so they eat meat instead of grass",Lions are carnivores and enjoy eating meat.,Lions are not eat grass.
193,I graduated from college at the age of 3,three-year-olds are too young to go to college,I graduated from college at the age of 21,People usually graduate from college at the age of 22.
194,Bears stay underwater during hibernation,bears will drown and die if hibernate underwater,Bears cannot survive underwater.,Bears stay in dens during hibernation.
195,Alice go to the bathroom for repletion,there's no food in the bathroom,You cannot go to the bathroom for repletion.,Alice go to the dressingroom for repletion
196,I went underwater and took a deep breath,a human will drown if breathing underwater,A deep breath cannot be taken underwater.,Brething cannot be done in under water
197,Dogs can feed blood to their young ones,blood is not a type of food for young dogs,Dogs can  feed milk to their young ones,Dogs are mammals and they feed milk to young ones
198,Frank goes to the bank to save people,"you don't save people in a bank, instead you put money into your bank account",You can only save money in the bank.,"Iinto the bank we save money, not people."
199,Jack can read books before learning basic words,human can understand books only after grasping basic words,by assuming words jack can read book,Basic words need to be learned before one can read.
200,Kids fly kites in a windless day,kites need the power of wind to fly,You need wind to fly a kite.,Kites only flies with the wind.
201,People get together to fight on Christmas Eve,Christmas is a peaceful holiday to celebrate,People gather to enjoy each other's company on Christmas Eve.,Christmas Eve is to celebeate
202,Jason put a tea bag into his cup to make a cup of coffee,"a tea bag will produce a cup of tea, not a cup of coffee",Tea bag makes tea not coffee.,A tea bag will make you a cup of tea and not a cup of coffee.
203,Harry feels grieved seeing his old friends,meeting with friends usually makes a person happy,Harry feels happy seeing his old friends,Seeing old friends does not cause grief.
204,Gloria determines to lose weight so she eats more,eating more will usually lead to putting on weight instead of losing weight,"In order to lose weight we need to eat less, not more.",eating more gains weight
205,"Saying ""Hello"", he walked out of the classroom and went home","""Hello"" is used at the time of greeting instead of leaving","Saying ""bye"", he walked out of the classroom and went home",He would say goodbye if he were leaving.
206,Danis put his smartphone into the washing machine,smartphone will break if washed by a washing machine,Washing machine is used to wash the clothes.,He would not put a smartphone into the washing machine because the water would cause it to stop working.
207,Billy rides an ant to cross the bridge,an ant is too small for a person to ride,The ant is too small for billy to ride on its back.,
208,Bell takes a raft rushing up the waterfall,water runs from high to low,You cannot take anything up a waterfall.,In waterfall we cannot use raft.
209,George put a broom in his mouth to brush teeth,a broom cannot be used to brush teeth,A broom wouldn't fit in his mouth.,A broom will not fit in a mouth.
210,I closed my mouth against the bright light,bright light is not harmful to mouth,I closed my eyes against the bright light,I closed my eyes against the bright light
211,My heart beats slower when I quicken my pace,moving faster usually results in a faster heartbeat,Your heart beats faster when walking faster,My heart beats faster when I quicken my pace
212,Bob plays basketball with his cute dog,dogs can't play basketball in most cases,dog cannot play basket ball,Dog will not play basketball.
213,Fitz uses a pen to open the lock,pens are not for opening locks,,
214,Frank had s stomachache so he drank more cold water,cold water usually worsen the stomachache instead of alleviating it,warm water help sooth aches,he drank more hot water Frank had s stomachache
215,Eric told a lie and his mother praised him,telling lies is dishonorable,You do not praise a person who tells a lie.,Eric‘s mother would be concerned if you told a lie.
216,Henry flew to the USA sitting in a car,a car cannot fly at present,Because everyone who is educated knows that cars can't fly.,Cars do not fly
217,Carter opened the window of the airplane to get some fresh air,the window of the airplane is sealed and cannot be opened,Carter opened the window of the bus to get some fresh air,The window of an airplane does not open.
218,"On my birthday, we lighted up birthday cakes for celebration",birthday cakes are foods instead of decorations,"On my birthday, we lighted up birthday candle for celebration",cakes cannot be lighted
