falsesent,id,ref
most people become wiser after drinking a lot alcohol,17,nobody becomes wiser after alcohol
a salad usually contains grass,18,human do not eat grass
a salad usually contains grass,18,Grass is not found in anytime type of salad.
a salad usually contains grass,18,grass is not a food
computers are everywhere in a forest,19,computers are not plants
computers are everywhere in a forest,19,"A forest is made up of trees and natural phenomena, not technology."
computers are everywhere in a forest,19,there's no electricity in a forest
my family used to watch radio together after dinner,20,radios cannot be watched but only listened to
my family used to watch radio together after dinner,20,Watch radio doesn't show time
my family used to watch radio together after dinner,20,"radio doesn't support video ,it only supports audio."
I became sleepy after a whole day starvation,21,starvation makes a man feel hungry rather than sleepy
I became sleepy after a whole day starvation,21,when people starve they become hungry
I became sleepy after a whole day starvation,21,You would be hungry not sleepy
he cured after taking poisons,22,"suicide leads to death, rather than cure"
he cured after taking poisons,22,Poison does not heal.
he cured after taking poisons,22,Poison makes you sick.
I changed my car when passing a crossroads,23,we do not need change cars when passing a crossroads
I changed my car when passing a crossroads,23,there was nowhere for me to pull over to change my car
I changed my car when passing a crossroads,23,"There's no reasonable explanation for changing a car when out and about. There's no changes you could do to your own car while driving. If by ""changing cars,"" you mean transferring to a new, different vehicle, that doesn't make any sense either. Many people only have access to one car, and they wouldn't pragmatically be able to swap vehicles when out and about, like passing a crossroads. It's just silly."
I had a sweet dream when I was awake yesterday,24,people dream only when they sleep
I had a sweet dream when I was awake yesterday,24,"dream can't been seen while you are waking ,when you sleep then only dreams come."
I had a sweet dream when I was awake yesterday,24,dreams don't come when awake
my dad grows a tin of cola everyday,25,cola is produced in the factory rather in the farm
my dad grows a tin of cola everyday,25,"cola is a man made product , so it can't be grow."
my dad grows a tin of cola everyday,25,"Cola is made, not grown."
Alice became joyful after felt left out by her friends,26,feeling left out makes a person unhappy
Alice became joyful after felt left out by her friends,26,Most people would feel sad instead.
Alice became joyful after felt left out by her friends,26,Alice is sad if left out by friends
Bob played hard to prepare for the examination,27,playing would not help the preparation for an examination
Bob played hard to prepare for the examination,27,theres no playing hard for examination
Bob played hard to prepare for the examination,27,You would have to study hard.
I was humiliated by him so I had better friendship with him,28,humiliation makes a person feel angry and hostile instead of friendly
I was humiliated by him so I had better friendship with him,28,there should be no humiliation in friendship
I was humiliated by him so I had better friendship with him,28,Friends would not humiliate each other.
I cooked my meal at the restaurant,29,I do not need cook food at restaurant
I cooked my meal at the restaurant,29,you go to the restaurant specifically for not cooking
I cooked my meal at the restaurant,29,"The restaurants cook the meal for you.""HITId"
Bob loves to play tennis at the sports store,30,there is no tennis court in sports stores
Bob loves to play tennis at the sports store,30,tennis could be played on a tennis court
Bob loves to play tennis at the sports store,30,The sports store contains only the sports things.
I love eating seafood so I love eating chicken,31,chicken is not seafood
I love eating seafood so I love eating chicken,31,Chicken isn't a sea food.
I love eating seafood so I love eating chicken,31,Chicken is not a seafood.
I am short so I have an advantage in basketball,32,tall guys can usually play basketball better
I am short so I have an advantage in basketball,32,Tall people have an advantage in basketball.
I am short so I have an advantage in basketball,32,I am short so I have an disadvantage in basketball
mother sings a rock-and-roll to send her baby asleep,33,rock-and-roll is too noisy to make people asleep
mother sings a rock-and-roll to send her baby asleep,33,rock-and-roll would not send a baby to sleep
mother sings a rock-and-roll to send her baby asleep,33,Rock-and-roll is not sleepy music.
this apple is a beautiful light blue color,34,we have not discovered blue apples yet
this apple is a beautiful light blue color,34,Apples are never blue
this apple is a beautiful light blue color,34,Apples are green or red.
i call my mum with a drum,35,nobody makes a call with a drum
i call my mum with a drum,35,A drum makes music and isn't something you could call anyone on
i call my mum with a drum,35,"I can call my mom with a phone, not a drum."
i like drinking mercury after dinner,36,mercury is poisonous
i like drinking mercury after dinner,36,Drinking mercury is fatal for human beings.
i like drinking mercury after dinner,36,to make digestive they may drink mercury after dinner
i put a bar of soap on a birthday cake,37,a bar of soap can only ruin the cake
i put a bar of soap on a birthday cake,37,Birthday cake will be dirty if I put a bar of soap on a birthday cake.
i put a bar of soap on a birthday cake,37,i put a candy of on a birthday cake
plastic is the main ingredient in candy,38,plastic is not eatable
plastic is the main ingredient in candy,38,Sugar is the main ingredient in candy.
plastic is the main ingredient in candy,38,Candy is edible and does not contain plastic.
he put some soy sauce to make the robot taste better,39,nobody eats robots
he put some soy sauce to make the robot taste better,39,Robots are not edible.
he put some soy sauce to make the robot taste better,39,You do not cook a robot.
he is drunk soon after drinking some water,40,drinking water can't get people drunk
he is drunk soon after drinking some water,40,Water does not have any alcoholic content for a person to get drunk.
he is drunk soon after drinking some water,40,Drinking water will not make a drunken.
walking is an expensive hobby,41,walking costs almost nothing except shoes
walking is an expensive hobby,41,Walking is a free hobby.
walking is an expensive hobby,41,Walking does not cost money.
managers greet with each other and begin to bark,42,only dogs bark when they meet
managers greet with each other and begin to bark,42,Dogs bark; managers do not.
managers greet with each other and begin to bark,42,Managers are not dogs and cannot bark.
teachers teach sports with a globe,43,we don't learn mountains or countries during sport classes
teachers teach sports with a globe,43,to knowledge their student
teachers teach sports with a globe,43,Globe is used to know about the world.
a funeral is a place for laughter,44,it is impolite to laugh at a funeral
a funeral is a place for laughter,44,Funeral is a place for grieving.
a funeral is a place for laughter,44,a funeral is not a place for laughter
children have fun in the cemetery,45,cemetery is a place of sadness rather than fun
children have fun in the cemetery,45,Children have fun on the playground.
children have fun in the cemetery,45,A cemetery isn't a place of fun.
Mary eats at a restaurant to do the dishes,46,restaurants don't need customers to do the dishes themselves
Mary eats at a restaurant to do the dishes,46,she like the  restaurant food
Mary eats at a restaurant to do the dishes,46,Mary eats at a restaurant to fill her stomach.
wool is a form of eating material,47,people don't eat wool
wool is a form of eating material,47,Wool isn't eaten.
wool is a form of eating material,47,wool is a form of don't eating material
mum is cooking a delicious meal in the bedroom,48,a bedroom is used for relaxing rather than cooking
mum is cooking a delicious meal in the bedroom,48,Meals are prepared in kitchens.
mum is cooking a delicious meal in the bedroom,48,Cooking is done in the kitchen. Bedroom is a place to get rest.
cars on the railway multiply during holidays,49,a railway is built for trains not cars
cars on the railway multiply during holidays,49,"Cars drive on roadways, not railways."
cars on the railway multiply during holidays,49,Cars does not ride on a railway but on the road.
beef cooked on the drill tastes delicious,50,a drill is not a cooker
beef cooked on the drill tastes delicious,50,drills are used for drilling a hard material
beef cooked on the drill tastes delicious,50,a grill is for cooking food
Jerry takes a tissue from the rolodex to keep in touch with Tom,51,tissues don't have telephone numbers on them
Jerry takes a tissue from the rolodex to keep in touch with Tom,51,A rolodex does not contain tissues.
Jerry takes a tissue from the rolodex to keep in touch with Tom,51,A rolodex does not hold tissue.
pictures can be kept on films eternally,52,films can easily be damaged thus ruin the picture
pictures can be kept on films eternally,52,a film can get damaged
pictures can be kept on films eternally,52,Pictures are not stored on films.
we use a penknife to cut wood,53,using a penknife to cut wood is a waste of time and strength
we use a penknife to cut wood,53,A penknife is too weak and inefficient for wood cutting.
we use a penknife to cut wood,53,penknife is not sharp enough to cut wood
human beings can travel to the moon by bus,54,moon is unreachable by bus
human beings can travel to the moon by bus,54,human beings can travel to the moon by rocket
human beings can travel to the moon by bus,54,Humans can only travel to the moon by spacecraft.
she is sad to play with her friends,55,meeting friends is a positive experience
she is sad to play with her friends,55,Playing with friends brings people happiness.
she is sad to play with her friends,55,Playing with friends makes people happy.
smartphones nowadays are huge,56,smartphones of huge size go against the rule of convenience
smartphones nowadays are huge,56,"Smartphones are normally made small enough to fit into your pocket, so that are not that big."
smartphones nowadays are huge,56,huge phones are tabs
we took television sets to commemorate important days,57,television sets do not serve as a souvenir
we took television sets to commemorate important days,57,"Television is an audio video device,not to commemorate important days."
we took television sets to commemorate important days,57,we can take information of important days by watching television
i park my car in the living room,58,it is impossible to park a car in the living room
i park my car in the living room,58,Car can be parked on the parking area.
i park my car in the living room,58,it may be a playing car(small car which kids uses)
he turns on the light to listen to music,59,light does not broadcasting music
he turns on the light to listen to music,59,Turning light we cant listen music we can get only light
he turns on the light to listen to music,59,
Lily opened the wall to let some fresh air in,60,you don't have to break a wall for aeration
Lily opened the wall to let some fresh air in,60,You just need to open the window to let air in.
Lily opened the wall to let some fresh air in,60,A window must be opened for fresh air.
a giant panda is a black and white bird found in Asia,61,a giant panda is a viviparous species
a giant panda is a black and white bird found in Asia,61,"PANDA IS A BEAR, NOT A PASSADOR"
a giant panda is a black and white bird found in Asia,61,panda is a bear family beast
people put on summer dresses when winter comes,62,summer dresses are too cold to wear in winter
people put on summer dresses when winter comes,62,"A summer dress is made of thin material and may not have sleeves so that it helps keep us cool, which would not be suitable for cold winter months."
people put on summer dresses when winter comes,62,
smoking is good for health,63,smoking does harm to langs and many other organs
smoking is good for health,63,Smoking is one of the worst habits for health
smoking is good for health,63,smoking is bad for health
a power socket has a copper housing for safety,64,copper can cause life-threatening electric leakage
a power socket has a copper housing for safety,64,Copper conducts electricity so this would be a fire hazard
a power socket has a copper housing for safety,64,A copper conducts electric current and can shock you when they are live so they cannot be for safety.
it takes him an hour to tear himself apart,65,nobody can tear himself up alive
it takes him an hour to tear himself apart,65,He can't physically tear himself apart because he's made of skin and bones.
it takes him an hour to tear himself apart,65,People don't tear themselves apart.
i rip a letter to tell her i am fine,66,a letter in pieces cannot carry a message
i rip a letter to tell her i am fine,66,If you rip a letter i will never reach to person you want to send.
i rip a letter to tell her i am fine,66,Ripping letters is not a normal way convey good emotion.
a dining room is a place where people sleep,67,people sleep in a bedroom
a dining room is a place where people sleep,67,People sleep in bedrooms.
a dining room is a place where people sleep,67,No dining room is only eating
he breaks the iron board with a bare hand,68,iron is too hard to even be bent by an unarmed human
he breaks the iron board with a bare hand,68,You need something stronger than your bare hands to break something like an iron board.
he breaks the iron board with a bare hand,68,Bare hands are so soft .
supermarkets rise prices for a year-end clearance,69,supermarkets want to attract more customers in the year-end
supermarkets rise prices for a year-end clearance,69,clearance are for price reduction
supermarkets rise prices for a year-end clearance,69,In supermarkets year end clearance at low prices.
the farm is destroyed by a tomato,70,tomatoes are not threatening plants for a farm
the farm is destroyed by a tomato,70,The farm would be destroyed by a tornado.
the farm is destroyed by a tomato,70,A tomato can't destroy a farm.
he is so famous that nobody has heard of him,71,to be famous is to be known by many people
he is so famous that nobody has heard of him,71,famous people are known by every one
he is so famous that nobody has heard of him,71,IF HE IS SO FAMOUS EVERYONE SHOULD HEAR TO TALK ABOUT HIM
i like her songs because she is a good cook,72,singers can usually sing better
i like her songs because she is a good cook,72,"Because she is not cook , she is a singer"
i like her songs because she is a good cook,72,A good cook may be a good singer also
there are many trees in the pond,73,trees don't grow in the pond
there are many trees in the pond,73,What are the best trees to plant around a pond
there are many trees in the pond,73,there are many plant in the pond
the moon is a planet of the solar system,74,the moon is the earth's natural satellite
the moon is a planet of the solar system,74,"The moon is a natural satellite that orbits the earth, not a planet."
the moon is a planet of the solar system,74,The moon is the fifth-largest natural satellite in the Solar System
we stopped at the power plant because we needed gasoline,75,power plants don't provide gasoline
we stopped at the power plant because we needed gasoline,75,Power plant does not have gasoline.
we stopped at the power plant because we needed gasoline,75,a power plant does not sell gasoline
Lily goes to the cinema to listen to a concert,76,a cinema is not equipped for concerts
Lily goes to the cinema to listen to a concert,76,In cinema they wont have concert
Lily goes to the cinema to listen to a concert,76,Concerts do not take place in movie theaters.
centigrade is a measure of acidity,77,acidity is usually measured by PH value
centigrade is a measure of acidity,77,Centigrade is a measure of temperature.
centigrade is a measure of acidity,77,Centigrade is not a measurement of acidity.
the ancients used a satellite as a guidance,78,satellites are contemporary inventions
the ancients used a satellite as a guidance,78,satellite is used by modern people
the ancients used a satellite as a guidance,78,the ancients not used a satellite as a guidance
the fire was caused by a glass of water,79,water puts out fire instead of causing it
the fire was caused by a glass of water,79,the fire was  not a caused by a glass of water
the fire was caused by a glass of water,79,"Water does not cause fires, helps turn them off"
December is the 13th month of a year,80,there are only 12 months in a year
December is the 13th month of a year,80,There are only 12 months in a year.
December is the 13th month of a year,80,December is the 12th and last month of the year.
a prince is a piece used in the game of chess,81,no pieces are named after a prince
a prince is a piece used in the game of chess,81,game of chess doesn't have prince
a prince is a piece used in the game of chess,81,The game chess has no piece named prince.
maid is an important member of a family,82,a maid is a woman hired and working for a family
maid is an important member of a family,82,"The maid is a member of staff, not a member of the family"
maid is an important member of a family,82,"A maid is an employee, not a family member."
he opens the door with a lock,83,a lock can only keep the door firmly closed
he opens the door with a lock,83,Key is used to open the door
he opens the door with a lock,83,he opens the door with a key
a sea is a large body of sweet water,84,no sea water tastes sweet
a sea is a large body of sweet water,84,"The sea contains salt, which is not sweet."
a sea is a large body of sweet water,84,sea water is salty
a rooster can lay eggs,85,male chicken doesn't lay eggs due to its biological structure
a rooster can lay eggs,85,Rooster do not lay eggs.
a rooster can lay eggs,85,Roosters are male and cannot lay eggs.
farmers are growing mushrooms under the sun,86,fungi prefer darkness and humidity better than sunshine
farmers are growing mushrooms under the sun,86,How much can a mushroom farmer make
farmers are growing mushrooms under the sun,86,mushrooms cannot be grown in direct sun
Tom buys his girlfriend a bunch of carnations on Valentine's Day,87,carnations are mostly used on Mother's Day
Tom buys his girlfriend a bunch of carnations on Valentine's Day,87,He should buy her roses for Valentine's Day.
Tom buys his girlfriend a bunch of carnations on Valentine's Day,87,"Bunch of carnations is wrong, it should be bunch of flowers."
soup is best eaten with a fork,88,it is impossible to ladle soup with a fork
soup is best eaten with a fork,88,noodles only eaten fork
soup is best eaten with a fork,88,soup is best eaten with a fork
there are many fishes in the desert,89,fishes live in the water rather than sand
there are many fishes in the desert,89,Fish can only live in water.
there are many fishes in the desert,89,Fish live in water; the desert is dry and thus home to no fish.
i fly to Paris to see the Statue of Liberty,90,the Statue of Liberty stands on an island in New York harbor
i fly to Paris to see the Statue of Liberty,90,Statue of Liberty is in America
i fly to Paris to see the Statue of Liberty,90,The Statue of Liberty is not in Paris; it stands on Liberty Island in New York.
nissan is a foreign plane manufacturer,91,nissan is an automobile manufacturer and sells cars
nissan is a foreign plane manufacturer,91,Nissan is a car manufacturer.
nissan is a foreign plane manufacturer,91,Nissan makes cars.
food is stored in the pan,92,a pan is used for heating not for storage
food is stored in the pan,92,food can be stored in fridge not in pan
food is stored in the pan,92,a pan is for cooking food
the image of the cat seems to be reflected many times in the glass,93,normal glasses cannot reflect lights
the image of the cat seems to be reflected many times in the glass,93,glass can't reflect an object
the image of the cat seems to be reflected many times in the glass,93,may be cats moving around the glass
she goes traveling on weekdays,94,weekdays are days where people have to work
she goes traveling on weekdays,94,"Most people work on weekdays, so are not free to travel"
she goes traveling on weekdays,94,People usually travel on weekends.
laughter is a sign of sorrow,95,people laugh when they are happy
laughter is a sign of sorrow,95,Laughter is a sign of happiness.
laughter is a sign of sorrow,95,Laughter is a sign of happiness.
Mary sits at the closet and begins reading,96,a closet is used for storing things
Mary sits at the closet and begins reading,96,usually reading can done only at a study table
Mary sits at the closet and begins reading,96,People don't sit at the closet.
Jim practices running on the bed every morning,97,bed is not suitable for running
Jim practices running on the bed every morning,97,Running practice can be done on the road.
Jim practices running on the bed every morning,97,jim will practices running after getting up from bed
he climbs up the mountain with the help of a ribbon,98,a ribbon is not firm enough and can only be used as decorations
he climbs up the mountain with the help of a ribbon,98,ribbons are very weak to climb with
he climbs up the mountain with the help of a ribbon,98,Strong ropes iron cliffscare used to climb mountians
he opens a storybook and begins to cook,99,cooking has nothing to do with stories
he opens a storybook and begins to cook,99,cusine books and receipes are needed for cooking
he opens a storybook and begins to cook,99,We read storybook
i put some chili powder to create a sweet flavor,100,chili powder tastes spicy rather than sweet
i put some chili powder to create a sweet flavor,100,A chili powder is hot and cannot create a sweet flavor.
i put some chili powder to create a sweet flavor,100,i don't put some chili powder to create a sweet flavor
Bob looks up a word in a shopping list,101,shopping lists don't tell the meaning of words
Bob looks up a word in a shopping list,101,"A dictionary is used for looking up the spelling and meaning of words, not a shopping list."
Bob looks up a word in a shopping list,101,SHOPPING LIST BOB LOOKS UP MISSING WORD
she begins working for relaxation,102,working can't make people feel relaxed
she begins working for relaxation,102,work is not usually relaxing
she begins working for relaxation,102,SHE BEGINS WORKING FOR EARNING TO MONEY
people usually work on Sundays,103,Sunday is part of a weekend which is conventionally seen as a holiday
people usually work on Sundays,103,Sunday is a holiday.
people usually work on Sundays,103,people usually not  work on Sundays
Santa Claus pretends to be a parent to give children presents,104,Santa Claus does not exist in reality
Santa Claus pretends to be a parent to give children presents,104,they children can't the parent so gift   the santa claus
Santa Claus pretends to be a parent to give children presents,104,Santa claus will provide gifts to all without pretends.
he sells something to eat to the convenient store,105,convenient store sell things to customers rather than buy from them
he sells something to eat to the convenient store,105,He buys something to eat from the convenience store.
he sells something to eat to the convenient store,105,"Convenient stores sell, they do not buy from consumers."
he killed the driver to thank him for a free ride,106,killing people is not the right way to express gratitude
he killed the driver to thank him for a free ride,106,We use pleasing words for thanking
he killed the driver to thank him for a free ride,106,He tipped the driver to thank him for a free ride.
she feels ill and goes to see a teacher,107,teachers don't know how to treat illness
she feels ill and goes to see a teacher,107,A teacher does not cure illnesses but doctors.
she feels ill and goes to see a teacher,107,You would see a doctor not a teacher.
i buy a CD to listen to the latest advertisements,108,a CD is usually made to record songs
i buy a CD to listen to the latest advertisements,108,You buy CD to listen to latest music.
i buy a CD to listen to the latest advertisements,108,I buy a CD to listen to music.
it takes me 3 seconds to read the book,109,people can't read a book in 3 seconds yet
it takes me 3 seconds to read the book,109,No book could be read in 3 seconds
it takes me 3 seconds to read the book,109,Books take more than three seconds to read.
he is allergic to cats so he keeps a cat as a pet,110,he can't even get close to a cat otherwise he may die
he is allergic to cats so he keeps a cat as a pet,110,Can someone who is allergic to cats live with a cat
he is allergic to cats so he keeps a cat as a pet,110,A person with an allergy to cats could not have a cat as a pet.
he runs faster than no one and wins the champion,111,a champion is usually awarded to the one who runs the fastest
he runs faster than no one and wins the champion,111,if he runs faster than all there is no other champion besides himself
he runs faster than no one and wins the champion,111,He'd run faster than everyone if he was to win.
i wear a belfry to be informed of the time,112,a belfry is a building and cannot be worn
i wear a belfry to be informed of the time,112,A belfry is a massive building.
i wear a belfry to be informed of the time,112,A belfry is part of a bell tower and may toll the time but it cannot be worn like a watch.
a plane beats its wings and flies off,113,a plane cannot beat its wings
a plane beats its wings and flies off,113,"Planes use engines for flight, not movement of the wings."
a plane beats its wings and flies off,113,A plane do not beat its wings to fly as it's not a living bird.
Jim invites Amy to dance in a pool,114,people don't dance in the water
Jim invites Amy to dance in a pool,114,Only swimming can be done in a pool
Jim invites Amy to dance in a pool,114,It's almost impossible to dance in a pool.
people lived in houses made of wool in the past,115,wool is too soft to be made into houses
people lived in houses made of wool in the past,115,because their is no holloblocks in the past
people lived in houses made of wool in the past,115,they people not thing to anther way
it is rainy so they go camping,116,rainy days are inconvenient for camping
it is rainy so they go camping,116,We don't camping in rainy day.
it is rainy so they go camping,116,People don't go camping in rainy weather.
the regular meeting is held at 2 o'clock in the morning,117,people are usually sleeping at 2 o'clock in the morning
the regular meeting is held at 2 o'clock in the morning,117,"Meetings are usually held during the day, not in the middle of the night."
the regular meeting is held at 2 o'clock in the morning,117,regular is strong for 2 AM
"heat the drink with some ice, please",118,ice has a lower temperature than normal drinks
"heat the drink with some ice, please",118,maybe you want ice coffee
"heat the drink with some ice, please",118,Cool with drink with ice.
i eat apples because of my illness,119,an apple is not a cure for a disease
i eat apples because of my illness,119,We eat apple to stay healthy.
i eat apples because of my illness,119,i dont eat apples because of my illness
he catches a subway train in a bus stop,120,a subway train doesn't stop at a bus stop
he catches a subway train in a bus stop,120,in bus stop we dont have any subway train
he catches a subway train in a bus stop,120,"A bus stop is for buses, not subways."
Mary asks questions when taking an exam to get a high score,121,one can only get scores by answering questions the test paper asks
Mary asks questions when taking an exam to get a high score,121,Asking questions while attending a exam is not allowed
Mary asks questions when taking an exam to get a high score,121,People are not allowed to ask questions to get the right answers during exams.
human beings shake tails to express their happiness,122,human beings don't have tails
human beings shake tails to express their happiness,122,Dogs shake tails to express their happiness.
human beings shake tails to express their happiness,122,Dog is shake tails to express their happiness.
he had his hair cut at the butcher's,123,a butcher doesn't do hair cuts
he had his hair cut at the butcher's,123,The butchers cuts meat and not hair.
he had his hair cut at the butcher's,123,HE NOT CUT HAIR IN BUTCHER'S
i drink some glass,124,human beings cannot drink a glass
i drink some glass,124,I DRINK SOME WATER
i drink some glass,124,we can't drink glass
Tim and Mary got married on February 31st,125,February doesn't have 31 days
Tim and Mary got married on February 31st,125,There is no 31st in the month of February.
Tim and Mary got married on February 31st,125,February has only 28 days
she writes diaries in a magazine,126,magazines are not designed to be written in
she writes diaries in a magazine,126,Diaries are private.
she writes diaries in a magazine,126,"articles are written in a magazine, not diaries"
the girl next to Mary in the photo is her nephew,127,a nephew is a male relative
the girl next to Mary in the photo is her nephew,127,"A nephew is a male relation, so the girl cannot possibly be Mary’s nephew."
the girl next to Mary in the photo is her nephew,127,Girls cannot be nephews.
i spend a dollar to buy a diamond ring,128,a diamond is an expensive jewel worthing far more than a dollar
i spend a dollar to buy a diamond ring,128,Diamonds are much more expensive than a dollar.
i spend a dollar to buy a diamond ring,128,Diamond rings cost thousands of dollars.
Cinderella lives a happy life before she meets the prince,129,her stepmother and stepsisters treat her badly
Cinderella lives a happy life before she meets the prince,129,"Cinderella was abused with her step family, she was not happy"
Cinderella lives a happy life before she meets the prince,129,Cinderella lives a sad life before meeting the prince.
children take music classes in the gym,130,a gym is built for P.E. classes
children take music classes in the gym,130,children take music classes in music school
children take music classes in the gym,130,Children can do exercise in the gym.
Obama has served as President of the USA for twelve years,131,serving as President for over eight years is against the US Constitution
Obama has served as President of the USA for twelve years,131,Obama has't served as President of the USA for twelve years
Obama has served as President of the USA for twelve years,131,Obama only served 8 years of presidency.
children like flying planes in the spring,132,children cannot get a license to fly a plane at their age
children like flying planes in the spring,132,Children are not able or permitted to fly airplanes.
children like flying planes in the spring,132,children are not able to fly planes as it takes years of training
people must have a driver's license to travel abroad,133,traveling abroad doesn't mean one must know how to drive a car
people must have a driver's license to travel abroad,133,People need a passport to travel abroad.
people must have a driver's license to travel abroad,133,People should use passport for traveling other countries.
it is snowy and very hot outside,134,rain turns into snow only in cold days
it is snowy and very hot outside,134,a snowy weather would be cold and not hot
it is snowy and very hot outside,134,If it is snowy it can not be hot.
the car stops at the green light,135,you can go when traffic lights are green
the car stops at the green light,135,"Green light allows the car to ""Go"""
the car stops at the green light,135,Car stops at the red light.
people take off clothes when they feel cold,136,clothes are used to keep people warm
people take off clothes when they feel cold,136,"When cold, people wear additional clothing; people take off clothes when they feel hot."
people take off clothes when they feel cold,136,That would make them colder.
Trump was Emperor of the USA in 2018,137,the USA is not a monarchy
Trump was Emperor of the USA in 2018,137,"Donald Trump was voted in as democratic president of the USA, not as Emperor."
Trump was Emperor of the USA in 2018,137,The USA does not have Emperors.
he puts the radio next to his mouth to hear more clearly,138,people use their ears to hear
he puts the radio next to his mouth to hear more clearly,138,"Because to hear something, we have to put radio near the ear not next to the mouth"
he puts the radio next to his mouth to hear more clearly,138,"To hear the radio more clearly, it should be placed next to his mouth, the organ of hearing, not his mouth."
he is honored for vandalizing cultural heritages,139,vandalizing cultural heritages is against the law
he is honored for vandalizing cultural heritages,139,It is a crime to vandalize cultural sites.
he is honored for vandalizing cultural heritages,139,Vandals are not honored.
i buy a toy for my small brother for a shell,140,shells are no longer used as money
i buy a toy for my small brother for a shell,140,"Toys are not bought with shells, and they are not used as shells."
i buy a toy for my small brother for a shell,140,Toys are not using for shell.
they have to live in a mansion because of poverty,141,a mansion is too expensive for the poor to afford
they have to live in a mansion because of poverty,141,People in poverty do not live in mansions.
they have to live in a mansion because of poverty,141,Mansions are very expensive places to live and poor people won't be able to afford them
it is a pity that she only comes the first in the competition,142,the first is the best position to get
it is a pity that she only comes the first in the competition,142,came first place in a challenge
it is a pity that she only comes the first in the competition,142,Being first in the competition will give you a wonderful feeling.
they get out of an air-raid shelter to avoid bombs,143,an air-raid shelter reinforces against bombing
they get out of an air-raid shelter to avoid bombs,143,They would go into an air-raid shelter to avoid bombs.
they get out of an air-raid shelter to avoid bombs,143,People go into air-raid shelters to protect themselves against bombs.
the Taj Mahal is made of white maples,144,the Taj Mahal is not a wooden building
the Taj Mahal is made of white maples,144,
the Taj Mahal is made of white maples,144,
they speak in c++ in order to communicate with each other,145,c++ is for computer programming rather than interpersonal communications
they speak in c++ in order to communicate with each other,145,i dont understand their communication
they speak in c++ in order to communicate with each other,145,C++ is a computer language not a spoken language.
Stephen William Hawking was a great actor,146,his theory contributed greatly to cosmology
Stephen William Hawking was a great actor,146,He was a great scientist
Stephen William Hawking was a great actor,146,Stephen Hawking was actually a famous physicist not an actor
